,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2024-06-25 00:00:00+00:00,-0.000338452,1.249,0.775414,0.217186,0.00931042,0.0583169,1.86686e-05,4.2512e-06,2.12232e-06,2.23392e-05,-0.000325497,29,0.0160035
2024-06-26 00:00:00+00:00,0.00149626,1.25086,0.766582,0.210792,0.00612145,0.0612061,1.95863e-05,2.44829e-06,2.76075e-06,6.3805e-05,0.0014634,29,0.0157848
2024-06-27 00:00:00+00:00,0.0017683,1.25308,0.771331,0.208308,0.00467475,0.161699,5.17432e-05,6.4679e-06,9.00762e-06,-2.54912e-05,0.00186629,29,0.0173177
2024-06-28 00:00:00+00:00,0.00264389,1.25639,0.775695,0.217136,0.0142974,0.169769,5.43317e-05,8.86032e-06,9.63247e-06,1.36867e-05,0.00270902,29,0.0185908
2024-06-29 00:00:00+00:00,-0.0012988,1.25476,0.802475,0.213745,0.00596249,0.115106,3.68289e-05,7.07991e-06,4.2569e-06,0.000130082,-0.00137529,29,0.0195397
2024-06-30 00:00:00+00:00,0.00288508,1.25838,0.81959,0.213406,0.00886464,0.242341,7.75673e-05,1.71583e-05,9.82416e-06,5.50785e-05,0.00293952,29,0.0222746
2024-07-01 00:00:00+00:00,-0.00316522,1.2544,0.946017,0.17011,-0.0221127,0.291066,9.31585e-05,1.41752e-05,3.06653e-05,2.62524e-05,-0.00304079,29.8333,0.0238265
2024-07-02 00:00:00+00:00,0.0042769,1.25976,0.905698,0.198404,-0.0141147,0.224066,7.17037e-05,1.1519e-05,1.01074e-05,2.05565e-05,0.00435589,30,0.0233601
2024-07-03 00:00:00+00:00,0.00414063,1.26498,0.924436,0.208246,0.00258143,0.285475,9.13663e-05,1.41493e-05,1.50866e-05,9.55386e-06,0.00426448,30,0.023372
2024-07-04 00:00:00+00:00,-0.017972,1.24224,0.898792,0.131139,-0.00728687,0.967073,0.000309293,6.46402e-05,4.88909e-05,1.1856e-05,-0.0176579,30,0.023503
2024-07-05 00:00:00+00:00,0.00322838,1.24625,0.769513,0.0114775,-0.00469721,0.781509,0.000250147,7.8956e-05,5.81193e-05,0.000147635,0.00349453,30,0.0207743
2024-07-06 00:00:00+00:00,0.00295204,1.24993,0.772454,0.103558,0.000621027,0.600916,0.000192281,7.6434e-05,3.85753e-05,0.000124354,0.00315175,30,0.0207591
2024-07-07 00:00:00+00:00,0.00587475,1.25727,0.784841,0.159462,0.00130155,0.478584,0.000153195,6.1944e-05,3.26795e-05,-3.56605e-05,0.00615591,30,0.0223975
2024-07-08 00:00:00+00:00,0.00985416,1.26966,0.755253,0.158645,-0.00415318,0.386486,0.000123728,2.62803e-05,4.75471e-05,-1.13251e-05,0.0100531,28.6458,0.0222265
2024-07-09 00:00:00+00:00,0.00151238,1.27158,0.737778,0.166825,0.00144073,0.19287,6.17305e-05,9.00448e-06,1.31026e-05,-1.27116e-06,0.00160707,29,0.0228828
2024-07-10 00:00:00+00:00,-0.0107955,1.25786,0.753479,0.165683,-0.00226627,0.154608,4.94719e-05,1.16406e-05,1.01549e-05,-1.97398e-05,-0.0107318,29,0.0224604
2024-07-11 00:00:00+00:00,0.00979373,1.27018,0.799356,0.163944,-0.00478783,0.583995,0.000186934,2.78883e-05,3.47987e-05,-2.72996e-05,0.0100584,29.2292,0.0216978
2024-07-12 00:00:00+00:00,-0.00912046,1.25859,0.959738,0.116715,-0.0122053,0.375045,0.000119994,1.49992e-05,2.33569e-05,1.20302e-05,-0.00899228,30,0.0227544
2024-07-13 00:00:00+00:00,0.00663349,1.26694,0.860445,0.127635,0.00147465,0.289311,9.25999e-05,1.19727e-05,1.52749e-05,-2.8986e-05,0.00677957,30,0.0220598
2024-07-14 00:00:00+00:00,0.00489763,1.27315,0.808774,0.134773,0.00706749,0.171332,5.48333e-05,7.9167e-06,8.5515e-06,-6.11803e-06,0.00497574,30,0.025113
2024-07-15 00:00:00+00:00,-0.00909379,1.26157,0.884437,0.167981,-0.0108718,0.347418,0.00011115,1.75867e-05,2.053e-05,7.49206e-05,-0.00902049,30,0.0283697
2024-07-16 00:00:00+00:00,-0.0108028,1.24794,0.912724,0.198543,-0.00145715,0.0642017,2.05318e-05,3.55545e-06,3.03577e-06,1.72325e-05,-0.0108159,30,0.0246623
2024-07-17 00:00:00+00:00,-0.00926732,1.23637,0.916528,0.204249,0.00375279,0.0680726,2.17756e-05,1.24207e-05,4.35031e-06,1.77783e-05,-0.00926847,30,0.0232406
2024-07-18 00:00:00+00:00,0.00797145,1.24623,0.864594,0.191093,0.0025655,0.326221,0.000104429,5.35903e-05,2.0007e-05,2.77372e-05,0.00811576,30,0.0210335
2024-07-19 00:00:00+00:00,0.00431702,1.25161,0.798394,0.178046,-0.00348531,0.342201,0.000109526,3.42271e-05,1.96609e-05,1.23467e-05,0.00447807,30,0.0241291
2024-07-20 00:00:00+00:00,0.00503865,1.25792,0.81932,0.191182,0.00215546,0.0876024,2.80293e-05,8.47842e-06,4.65405e-06,7.46818e-05,0.00501166,30,0.0241375
2024-07-21 00:00:00+00:00,0.00279629,1.26143,0.815771,0.173242,-0.00281458,0.17106,5.47696e-05,1.14675e-05,9.03989e-06,4.28108e-05,0.00283963,29.6042,0.0265758
2024-07-22 00:00:00+00:00,0.00258146,1.26469,0.830876,0.152125,-0.0111993,0.240719,7.70605e-05,3.97671e-05,3.02033e-05,3.2997e-05,0.00271125,28.3542,0.0262785
2024-07-23 00:00:00+00:00,-0.00174423,1.26248,0.915645,0.182943,-0.00653231,0.517209,0.000165534,3.52125e-05,3.08302e-05,7.64808e-05,-0.00156222,30,0.0283552
2024-07-24 00:00:00+00:00,0.000371453,1.26295,1.01834,0.207304,0.0107278,0.451525,0.000144473,4.16896e-05,2.79235e-05,9.2758e-05,0.000509982,30,0.0282657
2024-07-25 00:00:00+00:00,-0.0101332,1.25016,0.86553,0.224339,0.011975,0.579827,0.000185495,3.71848e-05,3.02908e-05,2.88455e-05,-0.00990253,30,0.0273219
2024-07-26 00:00:00+00:00,-0.0128956,1.23403,0.78749,0.18763,0.00669722,0.200673,6.41822e-05,8.02277e-06,1.0045e-05,6.85085e-05,-0.0129328,30,0.0246845
