kind,sym,tr,reason,ret,kx,entry_basis,ref_hit_bar,ref_h_at_kx_vs_stop,ref_maxh_vs_stop
mark,MEW-USDT-SWAP,0,end,-0.1052315093205049,168,-0.0004007212983369035,,,-0.05966459544330871
mark,MEW-USDT-SWAP,1,end,-0.194540727902946,168,0.00021668472372704528,,,-0.1697735017037484
index,MOODENG-USDT-SWAP,0,end,0.225789805630411,168,0.0008607827384368161,,,-0.31399193471322373
index,MOODENG-USDT-SWAP,1,end,0.0167479793198863,168,0.0011664358095795357,,,-0.3237773063471132
mark,MOODENG-USDT-SWAP,0,end,0.225789805630411,168,-0.00022929206076227615,,,-0.31578846778663316
mark,MOODENG-USDT-SWAP,1,end,0.0167479793198863,168,0.0002913540680311577,,,-0.3229746000802708
index,MORPHO-USDT-SWAP,0,stop,-0.5,53,-0.0008102086287219423,53.0,0.045476045678761956,0.045476045678761956
index,MORPHO-USDT-SWAP,1,end,0.0804904435629283,168,0.0010830324909747446,,,-0.23409063589373735
mark,MORPHO-USDT-SWAP,0,stop,-0.5,53,0.0006085192697768971,53.0,0.047435637543077336,0.047435637543077336
mark,MORPHO-USDT-SWAP,1,end,0.0804904435629283,168,0.0005773255394385668,,,-0.23327322995552358
index,NC-USDT-SWAP,0,end,0.4416830590605959,168,-0.0014372634503904136,,,-0.3083529242431512
index,NC-USDT-SWAP,1,end,0.078768207726409,168,0.0002375484994852073,,,-0.4821602776311792
index,NES-USDT-SWAP,0,end,0.2655046615322254,168,-0.008041817450743838,,,-0.3068504256181597
index,NES-USDT-SWAP,1,end,-0.0324786324786325,168,-0.0028409090909090606,,,-0.42494257532765844
mark,NES-USDT-SWAP,0,end,0.2655046615322254,168,0.0008113590263691961,,,-0.31144439940548563
mark,NES-USDT-SWAP,1,end,-0.0324786324786325,168,0.0005701254275940482,,,-0.42359140656668015
index,O-USDT-SWAP,0,end,-0.0161145926589079,168,0.008137908211615752,,,-0.05473987864319119
index,O-USDT-SWAP,1,end,0.1000396458305801,168,0.0018668326073429942,,,-0.18371630359096802
mark,O-USDT-SWAP,0,end,-0.0161145926589079,168,0.001943489310808788,,,-0.04585695812195367
mark,O-USDT-SWAP,1,end,0.1000396458305801,168,0.0001321702352630183,,,-0.17178951556749233
index,OFC-USDT-SWAP,0,end,-0.0655916321638701,168,-0.001088376142795,,,-0.09958596644149065
index,OFC-USDT-SWAP,1,end,0.0644729290223837,168,0.0011492051331161157,,,-0.09958596644149065
mark,OFC-USDT-SWAP,0,end,-0.0655916321638701,168,0.0,,,-0.09653519285247336
mark,OFC-USDT-SWAP,1,end,0.0644729290223837,168,0.0,,,-0.09653519285247336
index,OL-USDT-SWAP,0,stop,-0.5,90,0.004011729949526366,,-0.0011328389378096881,-0.0011328389378096881
index,OL-USDT-SWAP,1,stop,-0.4259312779331772,90,0.001550660064300713,,-0.0011328389378096881,-0.0011328389378096881
index,ORDI-USDT-SWAP,0,end,0.1396613648024627,168,0.001232918935579752,,,-0.2677270395074397
index,ORDI-USDT-SWAP,1,end,0.0076932181323232,168,0.000592136428232859,,,-0.4006499059346674
mark,ORDI-USDT-SWAP,0,end,0.1396613648024627,168,-0.000205191340925448,,,-0.26348554814434755
mark,ORDI-USDT-SWAP,1,end,0.0076932181323232,168,0.0003551977267346462,,,-0.3984607491021037
index,PEPE-USDT-SWAP,0,stop,-0.5,31,-0.0010985992859103844,31.0,0.1097058014847403,0.1097058014847403
index,PEPE-USDT-SWAP,1,end,0.3167681202807437,168,0.00019962072063073322,,,-0.274900486755591
mark,PEPE-USDT-SWAP,0,stop,-0.5,31,0.0006419662509171697,31.0,0.11520483915314816,0.11520483915314816
mark,PEPE-USDT-SWAP,1,end,0.3167681202807437,168,0.0033039647577093323,,,-0.27660801206355534
index,PI-USDT-SWAP,0,stop,-0.5,51,-0.0032324419629737866,51.0,0.677083333333333,0.677083333333333
index,PI-USDT-SWAP,1,stop,-0.5,150,0.0014365123977264638,150.0,0.13226061286433,0.13226061286433
mark,PI-USDT-SWAP,0,stop,-0.5,51,-0.0001473839351510131,51.0,0.6931996855345912,0.6931996855345912
mark,PI-USDT-SWAP,1,stop,-0.5,150,0.0001247504990020687,150.0,0.13384058874890847,0.13384058874890847
index,PIGGY-USDT-SWAP,0,end,0.2094845775143172,168,-0.007330573978955868,,,-0.09424294182658499
index,PIGGY-USDT-SWAP,1,end,0.0670540107903006,168,-0.006654888103651224,,,-0.09424294182658499
index,PONS-USDT-SWAP,0,end,0.3323615160349854,168,0.0031496062992126816,,,-0.2854152650071018
index,PONS-USDT-SWAP,1,end,0.1542613636363635,168,0.00227790432801811,,,-0.3364730507587651
mark,PONS-USDT-SWAP,0,end,0.3323615160349854,168,0.00011214534036119161,,,-0.2835463855872019
mark,PONS-USDT-SWAP,1,end,0.1542613636363635,168,0.00014206563432295205,,,-0.33490319204604924
index,PRCL-USDT-SWAP,0,end,-0.1784989858012169,168,-0.004040404040404066,,,-0.00608519269776886
index,PRCL-USDT-SWAP,1,end,-0.2441113490364024,168,0.0,,,-0.00608519269776886
index,PUFFER-USDT-SWAP,0,end,0.3490108249346771,168,0.003558718861210064,,,-0.2571855169839493
index,PUFFER-USDT-SWAP,1,end,0.0740642421024687,168,-0.004229447528416697,,,-0.4521587657085978
index,PYTH-USDT-SWAP,0,stop,-0.5,70,0.0,70.0,0.04290429042904309,0.04290429042904309
index,PYTH-USDT-SWAP,1,end,0.1963090650983573,168,0.00040576181781282195,,,-0.24694112080037844
mark,PYTH-USDT-SWAP,0,stop,-0.5,70,-0.0012360939431397266,70.0,0.04517326732673266,0.04517326732673266
mark,PYTH-USDT-SWAP,1,end,0.1963090650983573,168,0.0,,,-0.24640032447779348
index,RE-USDT-SWAP,0,stop,-0.5,50,-3.5609365263145065e-05,49.0,0.03825175530746816,0.03825175530746816
index,RE-USDT-SWAP,1,end,0.1661285114627059,168,-0.004899991967226236,,,-0.1607315835601274
