sym,cls,t0_exact,listTime,first_fund,first_fund_raw,okx_first,d_listTime,d_first_fund,d_first_fund_raw,d_okx_first
BLUR-USDT-SWAP,okx_first,23-02-15 02:55,23-02-15 02:55,23-02-15 08:00,23-02-15 16:00,23-02-15 16:00,0.015746944444444445,-5.0730916666666666,-13.073091666666667,-13.073091666666667
FLOKI-USDT-SWAP,okx_first,23-02-20 06:56,23-02-20 06:55,23-02-20 08:00,23-02-20 16:00,23-02-20 16:00,0.024163888888888888,-1.0623341666666666,-9.062334166666666,-9.062334166666666
GFT-USDT-SWAP,okx_only,23-02-23 06:58,,23-02-23 08:00,23-02-23 16:00,23-02-23 16:00,,-1.0366805555555556,-9.036680555555556,-9.036680555555556
GLMR-USDT-SWAP,okx_first,23-04-17 06:15,,23-04-17 08:00,23-04-17 16:00,23-04-17 16:00,,-1.7436344444444445,-9.743634444444444,-9.743634444444444
PEPE-USDT-SWAP,okx_first,23-05-03 03:55,23-05-03 03:55,23-05-03 08:00,23-05-03 16:00,23-05-03 16:00,0.014741666666666667,-4.0713558333333335,-12.071355833333334,-12.071355833333334
AIDOGE-USDT-SWAP,okx_only,23-05-03 03:55,,23-05-03 08:00,23-05-03 16:00,23-05-03 16:00,,-4.076251388888889,-12.076251388888888,-12.076251388888888
CETUS-USDT-SWAP,okx_first,23-05-10 11:01,,23-05-10 16:00,23-05-11 00:00,23-05-11 00:00,,-4.977854722222222,-12.977854722222222,-12.977854722222222
ORDI-USDT-SWAP,okx_first,23-05-21 09:55,23-05-21 09:55,23-05-21 08:00,23-05-21 16:00,23-05-21 16:00,0.008427222222222221,1.9222777777777778,-6.0777222222222225,-6.0777222222222225
WSM-USDT-SWAP,okx_only,23-10-06 03:56,,23-10-06 08:00,23-10-06 16:00,23-10-06 16:00,,-4.066271388888889,-12.06627138888889,-12.06627138888889
VRA-USDT-SWAP,okx_only,23-10-06 07:57,,23-10-06 08:00,23-10-06 16:00,23-10-06 16:00,,-0.053255555555555556,-8.053255555555555,-8.053255555555555
RACA-USDT-SWAP,okx_only,23-10-24 08:07,,23-10-24 16:00,23-10-25 00:00,23-10-25 00:00,,-7.8842475,-15.8842475,-15.8842475
PYTH-USDT-SWAP,okx_first,23-11-20 14:55,23-11-20 14:55,23-11-20 16:00,23-11-21 00:00,23-11-21 00:00,0.012775833333333333,-1.0753597222222222,-9.075359722222222,-9.075359722222222
AUCTION-USDT-SWAP,okx_first,23-12-01 07:55,23-12-01 07:55,23-11-30 16:00,23-12-01 00:00,23-12-01 00:00,0.0125425,15.925490555555555,7.925490555555555,7.925490555555555
RON-USDT-SWAP,okx_only,23-12-11 10:00,,23-12-11 16:00,23-12-12 00:00,23-12-12 00:00,,-6.0036016666666665,-14.003601666666667,-14.003601666666667
CTC-USDT-SWAP,okx_only,23-12-14 07:56,,23-12-14 08:00,23-12-14 16:00,23-12-14 16:00,,-0.06771305555555555,-8.067713055555556,-8.067713055555556
TURBO-USDT-SWAP,okx_first,23-12-14 09:56,23-12-14 09:55,23-12-14 16:00,23-12-15 00:00,23-12-15 00:00,0.01692361111111111,-6.072350833333333,-14.072350833333333,-14.072350833333333
METIS-USDT-SWAP,okx_first,23-12-28 09:58,23-12-28 09:55,23-12-28 16:00,23-12-29 00:00,23-12-29 00:00,0.052434166666666664,-6.033228611111111,-14.033228611111111,-14.033228611111111
DMAIL-USDT-SWAP,okx_only,24-01-30 10:59,,24-01-30 16:00,24-01-31 00:00,24-01-31 00:00,,-5.003831666666667,-13.003831666666667,-13.003831666666667
FLR-USDT-SWAP,okx_only,24-02-06 08:29,,24-02-06 16:00,24-02-07 00:00,24-02-07 00:00,,-7.504692222222222,-15.504692222222221,-15.504692222222221
GPT-USDT-SWAP,okx_only,24-02-28 12:55,,24-02-28 16:00,24-02-29 00:00,24-02-29 00:00,,-3.0734802777777777,-11.073480277777778,-11.073480277777778
VELO-USDT-SWAP,okx_only,24-03-12 08:26,,24-03-12 16:00,24-03-13 00:00,24-03-13 00:00,,-7.562025833333333,-15.562025833333333,-15.562025833333333
