,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2023-12-02 00:00:00+00:00,-3.00482e-05,0.752992,0.00070775,-0.000377368,-0.000478236,0.0856631,2.74122e-05,4.64244e-06,9.60554e-07,1.5459e-07,2.8127e-06,3.45833,0.0277476
2023-12-03 00:00:00+00:00,-7.1755e-06,0.752987,0.000873253,-0.000227331,-0.000283305,0.125801,4.02563e-05,8.06957e-06,1.64693e-06,2.19308e-08,4.27764e-05,4.35417,0.0289389
2023-12-04 00:00:00+00:00,-0.000140307,0.752881,0.00177952,-0.000202706,-0.000328635,0.233261,7.46435e-05,1.07892e-05,4.23687e-06,8.29951e-09,-5.06475e-05,7.72917,0.0297864
2023-12-05 00:00:00+00:00,-0.000105061,0.752802,0.00226301,-0.000149562,-0.000299512,0.276359,8.84351e-05,1.52845e-05,5.36281e-06,6.63938e-07,3.36246e-06,9.0625,0.0297373
2023-12-06 00:00:00+00:00,-0.000187377,0.752661,0.00243756,-0.000286606,-0.000165778,0.293665,9.39728e-05,1.63364e-05,4.94417e-06,2.15202e-07,-7.23492e-05,9.80208,0.0299864
2023-12-07 00:00:00+00:00,-0.000215639,0.752498,0.00225603,-0.000230374,-0.000175833,0.271964,8.70285e-05,1.62574e-05,4.44186e-06,7.69961e-07,-0.000108698,9.40625,0.0301719
2023-12-08 00:00:00+00:00,-8.20208e-05,0.752437,0.00200162,-0.000320596,-0.000217319,0.262985,8.41552e-05,1.57688e-05,3.88405e-06,3.5025e-07,2.14369e-05,9.66667,0.0294759
2023-12-09 00:00:00+00:00,3.15831e-05,0.75246,0.00178036,-0.000182568,-0.000176461,0.250958,8.03066e-05,1.971e-05,4.06675e-06,1.00241e-07,0.00013557,9.0625,0.0293264
2023-12-10 00:00:00+00:00,-0.000125679,0.752366,0.00153662,-0.000160908,-0.000203604,0.181915,5.82129e-05,1.20774e-05,2.70076e-06,2.76933e-07,-5.29704e-05,7.57292,0.0296864
2023-12-11 00:00:00+00:00,-1.37223e-05,0.752356,0.00160524,-0.000141558,-0.000140564,0.196591,6.29092e-05,1.66787e-05,3.63761e-06,1.92095e-07,6.93153e-05,8.04167,0.0291423
2023-12-12 00:00:00+00:00,-9.92763e-05,0.752281,0.00113237,-3.6647e-05,-0.000130196,0.142132,4.54824e-05,1.58911e-05,2.00639e-06,9.00263e-07,-3.67992e-05,6.95833,0.0286198
