coin,t,side,sec,okx_basis_bp
ETHUSDT,2025-02-03 02:07:00+00:00,-1,0,-110.6
ETHUSDT,2025-02-03 02:07:00+00:00,-1,1,-78.69
ETHUSDT,2025-02-03 02:07:00+00:00,-1,2,-73.64
ETHUSDT,2025-02-03 02:07:00+00:00,-1,5,-69.89
ETHUSDT,2025-02-03 02:07:00+00:00,-1,10,-4.769
ETHUSDT,2025-02-03 02:07:00+00:00,-1,30,-0.3122
ETHUSDT,2025-02-03 02:07:00+00:00,-1,60,-0.6149
ETHUSDT,2025-02-03 02:07:00+00:00,-1,90,11.53
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-30,-1.025
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-5,-20.63
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-1,-43.62
ETHUSDT,2025-10-10 21:16:00+00:00,-1,0,-31.57
ETHUSDT,2025-10-10 21:16:00+00:00,-1,1,-31.87
ETHUSDT,2025-10-10 21:16:00+00:00,-1,2,-17.15
ETHUSDT,2025-10-10 21:16:00+00:00,-1,5,-12.52
ETHUSDT,2025-10-10 21:16:00+00:00,-1,10,-4.125
ETHUSDT,2025-10-10 21:16:00+00:00,-1,30,-21.42
ETHUSDT,2025-10-10 21:16:00+00:00,-1,60,97.02
ETHUSDT,2025-10-10 21:16:00+00:00,-1,90,-1.365
ETHUSDT,2025-10-10 21:22:00+00:00,1,-30,-27.92
ETHUSDT,2025-10-10 21:22:00+00:00,1,-5,4.146
ETHUSDT,2025-10-10 21:22:00+00:00,1,-1,-10.52
ETHUSDT,2025-10-10 21:22:00+00:00,1,0,-7.786
ETHUSDT,2025-10-10 21:22:00+00:00,1,1,-16.04
ETHUSDT,2025-10-10 21:22:00+00:00,1,2,-6.922
ETHUSDT,2025-10-10 21:22:00+00:00,1,5,-2.476
ETHUSDT,2025-10-10 21:22:00+00:00,1,10,-9.805
ETHUSDT,2025-10-10 21:22:00+00:00,1,30,-3.45
ETHUSDT,2025-10-10 21:22:00+00:00,1,60,-10.68
