coin,day,k_bp,lat,t,t_exit,side,dev_bp,b0_bp,hold_s,gross_bp,net_bp,fee_in_bp,worst_bp
BTCUSDT,2024-12-05,80,2,2024-12-05 22:28:27.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-104.2,-77.94,226,75.63,45.04,14.96,-62.18
BTCUSDT,2024-12-05,80,10,2024-12-05 22:28:27.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-104.2,-108.8,226,105.4,74.62,14.95,-31.3
BTCUSDT,2024-12-05,120,0.5,2024-12-05 22:28:34.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-123.9,-117.2,219,115.7,85.03,14.94,-22.91
BTCUSDT,2024-12-05,120,2,2024-12-05 22:28:34.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-123.9,-103.8,219,101.5,70.75,14.95,-36.3
BTCUSDT,2024-12-05,120,10,2024-12-05 22:28:34.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-123.9,-24.66,219,21.22,-9.507,14.99,-115.5
BTCUSDT,2026-08-19,40,0.5,2026-08-19 15:27:44.999000+00:00,2026-08-19 16:15:01.999000+00:00,1,45.65,35.83,2837,39.61,9.706,15.02,-9.356
BTCUSDT,2026-08-19,40,2,2026-08-19 15:27:44.999000+00:00,2026-08-19 16:15:01.999000+00:00,1,45.65,11.74,2837,14.51,-15.33,15.01,-33.45
BTCUSDT,2026-08-19,40,10,2026-08-19 15:27:44.999000+00:00,2026-08-19 16:15:01.999000+00:00,1,45.65,45.17,2837,47.97,18.2,15.02,-0.01441
ETHUSDT,2022-01-21,40,0.5,2022-01-21 21:32:28.999000+00:00,2022-01-21 21:32:48.999000+00:00,-1,-48.6,-32.54,20,34.35,4.397,14.98,17.59
ETHUSDT,2022-01-21,40,2,2022-01-21 21:32:28.999000+00:00,2022-01-21 21:32:48.999000+00:00,-1,-48.6,-11.11,20,12.56,-17.42,14.99,-3.841
ETHUSDT,2022-01-21,40,10,2022-01-21 21:32:28.999000+00:00,2022-01-21 21:32:48.999000+00:00,-1,-48.6,-5.822,20,6.307,-23.71,15,-9.128
ETHUSDT,2022-01-24,40,0.5,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-18.78,18,21.81,-8.138,14.99,-8.002
ETHUSDT,2022-01-24,40,0.5,2022-01-24 15:10:54.999000+00:00,2022-01-24 15:11:00.999000+00:00,-1,-40.85,-4.559,6,5.802,-24.19,15,1.98
ETHUSDT,2022-01-24,40,0.5,2022-01-24 15:25:09.999000+00:00,2022-01-24 15:25:23.999000+00:00,1,73.28,43.47,14,41.4,11.27,15.02,-6.757
ETHUSDT,2022-01-24,40,2,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-25.03,18,25.29,-4.693,14.99,-1.754
ETHUSDT,2022-01-24,40,2,2022-01-24 15:10:54.999000+00:00,2022-01-24 15:11:00.999000+00:00,-1,-40.85,-3.222,6,1.841,-28.14,15,0.6433
ETHUSDT,2022-01-24,40,2,2022-01-24 15:25:09.999000+00:00,2022-01-24 15:25:23.999000+00:00,1,73.28,45.68,14,41.58,11.48,15.02,-4.546
ETHUSDT,2022-01-24,40,10,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-11.72,18,9.205,-20.75,14.99,-15.06
ETHUSDT,2022-01-24,40,10,2022-01-24 15:10:54.999000+00:00,2022-01-24 15:11:00.999000+00:00,-1,-40.85,-4.976,6,5.851,-24.14,15,2.397
ETHUSDT,2022-01-24,40,10,2022-01-24 15:25:09.999000+00:00,2022-01-24 15:25:23.999000+00:00,1,73.28,7.708,14,3.451,-26.57,15,-42.52
ETHUSDT,2022-01-24,60,0.5,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-18.78,18,21.81,-8.138,14.99,-8.002
ETHUSDT,2022-01-24,60,0.5,2022-01-24 15:25:09.999000+00:00,2022-01-24 15:25:23.999000+00:00,1,73.28,43.47,14,41.4,11.27,15.02,-6.757
ETHUSDT,2022-01-24,60,2,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-25.03,18,25.29,-4.693,14.99,-1.754
ETHUSDT,2022-01-24,60,2,2022-01-24 15:25:09.999000+00:00,2022-01-24 15:25:23.999000+00:00,1,73.28,45.68,14,41.58,11.48,15.02,-4.546
ETHUSDT,2022-01-24,60,10,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-11.72,18,9.205,-20.75,14.99,-15.06
ETHUSDT,2022-01-24,60,10,2022-01-24 15:25:09.999000+00:00,2022-01-24 15:25:23.999000+00:00,1,73.28,7.708,14,3.451,-26.57,15,-42.52
ETHUSDT,2022-01-24,80,0.5,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-18.78,18,21.81,-8.138,14.99,-8.002
ETHUSDT,2022-01-24,80,2,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-25.03,18,25.29,-4.693,14.99,-1.754
ETHUSDT,2022-01-24,80,10,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-11.72,18,9.205,-20.75,14.99,-15.06
ETHUSDT,2022-01-24,120,0.5,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-18.78,18,21.81,-8.138,14.99,-8.002
ETHUSDT,2022-01-24,120,2,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-25.03,18,25.29,-4.693,14.99,-1.754
ETHUSDT,2022-01-24,120,10,2022-01-24 10:06:40.999000+00:00,2022-01-24 10:06:58.999000+00:00,-1,-144.3,-11.72,18,9.205,-20.75,14.99,-15.06
ETHUSDT,2022-06-11,40,0.5,2022-06-11 08:43:27.999000+00:00,2022-06-11 08:44:23.999000+00:00,-1,-40.82,-31.17,56,31.11,1.031,14.98,-23.41
ETHUSDT,2022-06-11,40,2,2022-06-11 08:43:27.999000+00:00,2022-06-11 08:44:23.999000+00:00,-1,-40.82,-13.53,56,13.34,-16.74,14.99,-41.04
ETHUSDT,2022-06-11,40,10,2022-06-11 08:43:27.999000+00:00,2022-06-11 08:44:23.999000+00:00,-1,-40.82,-12.68,56,14.35,-15.7,14.99,-41.89
ETHUSDT,2022-05-11,40,0.5,2022-05-11 12:50:45.999000+00:00,2022-05-11 12:51:24.999000+00:00,-1,-49.31,-7.474,39,8.62,-21.22,15,-15.46
ETHUSDT,2022-05-11,40,2,2022-05-11 12:50:45.999000+00:00,2022-05-11 12:51:24.999000+00:00,-1,-49.31,-6.373,39,6.189,-23.64,15,-16.56
ETHUSDT,2022-05-11,40,10,2022-05-11 12:50:45.999000+00:00,2022-05-11 12:51:24.999000+00:00,-1,-49.31,-10.05,39,-2.433,-32.24,14.99,-12.88
ETHUSDT,2022-05-12,40,0.5,2022-05-12 04:23:22.999000+00:00,2022-05-12 04:30:35.999000+00:00,-1,-53.45,-52.46,433,44.57,13.87,14.97,-31.2
