variant,seg,L,trades,cagr,maxdd,liqs,worst_day,sharpe,mean_net_bp,years
okx_native_k120_lat0.5s,OOS,20,2,-0.010339,-0.5147,0,-0.017151,-0.77481,0.79,2025:-0.0172;2026:+0.0000
okx_native_k40_lat2.0s,IS,1,58,-0.023589,-0.078908,0,-0.0092741,-2.1408,-12.318,2022:-0.0607;2023:-0.0006;2024:-0.0084
okx_native_k40_lat2.0s,IS,3,58,-0.069773,-0.22062,0,-0.027913,-2.1499,-12.318,2022:-0.1721;2023:-0.0021;2024:-0.0257
okx_native_k40_lat2.0s,IS,5,58,-0.11418,-0.34196,0,-0.046656,-2.1514,-12.318,2022:-0.2711;2023:-0.0037;2024:-0.0428
okx_native_k40_lat2.0s,IS,10,58,-0.21779,-0.57331,0,-0.093974,-2.1518,-12.318,2022:-0.4727;2023:-0.0080;2024:-0.0850
okx_native_k40_lat2.0s,IS,15,58,-0.31144,-0.72759,0,-0.14195,-2.1512,-12.318,2022:-0.6216;2023:-0.0128;2024:-0.1260
okx_native_k40_lat2.0s,IS,20,58,-0.3959,-0.82908,0,-0.19058,-2.1503,-12.318,2022:-0.7308;2023:-0.0181;2024:-0.1659
okx_native_k40_lat2.0s,OOS,1,35,-0.030717,-0.064037,0,-0.046646,-0.84135,-14.754,2025:-0.0492;2026:-0.0015
okx_native_k40_lat2.0s,OOS,3,35,-0.090518,-0.18178,0,-0.13504,-0.8455,-14.754,2025:-0.1422;2026:-0.0046
okx_native_k40_lat2.0s,OOS,5,35,-0.1479,-0.28651,0,-0.21684,-0.84966,-14.754,2025:-0.2279;2026:-0.0077
okx_native_k40_lat2.0s,OOS,10,35,-0.28097,-0.49931,0,-0.39488,-0.86088,-14.754,2025:-0.4132;2026:-0.0160
okx_native_k40_lat2.0s,OOS,15,35,-0.39969,-0.65501,0,-0.53936,-0.87341,-14.754,2025:-0.5615;2026:-0.0247
okx_native_k40_lat2.0s,OOS,20,35,-0.50476,-0.79178,0,-0.65522,-0.88732,-14.754,2025:-0.6787;2026:-0.0339
okx_native_k60_lat2.0s,IS,1,23,-0.0043253,-0.028277,0,-0.007398,-0.65591,-5.628,2022:-0.0146;2023:+0.0002;2024:+0.0015
okx_native_k60_lat2.0s,IS,3,23,-0.013166,-0.08325,0,-0.022201,-0.66263,-5.628,2022:-0.0434;2023:+0.0004;2024:+0.0042
okx_native_k60_lat2.0s,IS,5,23,-0.022087,-0.13611,0,-0.037004,-0.66369,-5.628,2022:-0.0717;2023:+0.0006;2024:+0.0069
okx_native_k60_lat2.0s,IS,10,23,-0.044732,-0.2593,0,-0.074011,-0.66386,-5.628,2022:-0.1404;2023:+0.0007;2024:+0.0133
okx_native_k60_lat2.0s,IS,15,23,-0.067856,-0.37029,0,-0.11102,-0.66332,-5.628,2022:-0.2059;2023:+0.0004;2024:+0.0196
okx_native_k60_lat2.0s,IS,20,23,-0.091447,-0.4698,0,-0.14803,-0.66259,-5.628,2022:-0.2685;2023:-0.0003;2024:+0.0255
okx_native_k60_lat2.0s,OOS,1,17,-0.0045671,-0.033308,0,-0.0099879,-0.57125,-4.4266,2025:-0.0099;2026:+0.0023
okx_native_k60_lat2.0s,OOS,3,17,-0.014068,-0.098893,0,-0.030073,-0.57932,-4.4266,2025:-0.0301;2026:+0.0070
okx_native_k60_lat2.0s,OOS,5,17,-0.023932,-0.16301,0,-0.050137,-0.58599,-4.4266,2025:-0.0506;2026:+0.0117
okx_native_k60_lat2.0s,OOS,10,17,-0.050135,-0.31667,0,-0.10012,-0.60212,-4.4266,2025:-0.1030;2026:+0.0234
okx_native_k60_lat2.0s,OOS,15,17,-0.07846,-0.46047,0,-0.14973,-0.61816,-4.4266,2025:-0.1568;2026:+0.0351
