,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2023-09-12 00:00:00+00:00,0.00569751,1.01002,0.211974,0.0258231,0.0115243,0.0156526,5.01096e-06,1.79605e-06,6.15344e-07,0.0014437,0.00424837,0.0052296,-0.000981227,15,0,0.0129417
2023-09-13 00:00:00+00:00,0.00348198,1.01353,0.23541,0.0270883,0.00799531,0.0646385,2.06849e-05,3.63386e-06,2.27193e-06,0.00159333,0.00191709,0.00523561,-0.00331852,15.875,0,0.0160461
2023-09-14 00:00:00+00:00,0.0108878,1.02457,0.317997,0.0232463,-0.00183441,0.0989126,3.16624e-05,9.5947e-06,4.59257e-06,0.00187468,0.00901131,0.00715,0.00186131,18.6042,0,0.0217624
2023-09-15 00:00:00+00:00,0.0116552,1.03651,0.425883,0.0203975,-0.00647523,0.183795,6.19472e-05,3.55504e-05,8.95841e-06,0.00176911,0.00994215,0.0155538,-0.00561167,19.2292,1,0.0281177
2023-09-16 00:00:00+00:00,0.00343566,1.04007,0.546531,0.0170185,-0.0139429,0.166264,5.32062e-05,1.85342e-05,7.49127e-06,0.00117295,0.00234827,-0.00153072,0.00387899,21.125,0,0.0327858
2023-09-17 00:00:00+00:00,-0.00669874,1.03311,0.623867,0.0184958,-0.0175452,0.116483,3.84719e-05,1.83614e-05,6.13331e-06,0.00102761,-0.0076522,-0.0115194,0.00386718,21.7292,1,0.0345032
2023-09-18 00:00:00+00:00,0.00150208,1.03466,0.659431,0.0335957,-0.00492435,0.155502,4.97595e-05,3.29589e-05,8.34621e-06,0.000915442,0.000703274,0.00712901,-0.00642574,23.2917,0,0.0346444
2023-09-19 00:00:00+00:00,0.00422308,1.03903,0.724424,0.051748,0.000608555,0.111185,3.5585e-05,2.12807e-05,4.61396e-06,0.000713219,0.00358009,0.0142229,-0.0106428,24,0,0.0349196
2023-09-20 00:00:00+00:00,-0.0050752,1.03375,0.871488,0.0854504,0.0151737,0.25368,8.11507e-05,5.66826e-05,1.07684e-05,0.000112,-0.00502515,-0.00878962,0.00376446,25.0625,0,0.0355221
2023-09-21 00:00:00+00:00,0.00139943,1.0352,1.02846,0.114575,0.0279733,0.356811,0.000114191,2.72373e-05,1.56923e-05,0.000105298,0.00146917,-0.0115188,0.012988,26.9583,0,0.0326929
2023-09-22 00:00:00+00:00,-0.00800272,1.02692,1.0319,0.105328,0.0318861,0.313286,0.000100043,1.99e-05,2.15875e-05,0.000153385,-0.00799421,0.0147292,-0.0227234,27,0,0.0305646
2023-09-23 00:00:00+00:00,-0.00770901,1.019,0.961238,0.0678197,0.0341066,0.0753019,2.4088e-05,3.011e-06,5.85196e-06,0.000274498,-0.00795647,-0.0114492,0.00349271,27,0,0.0257601
2023-09-24 00:00:00+00:00,-0.00406389,1.01486,0.893118,0.0735933,0.00842242,0.0956913,3.06176e-05,3.8272e-06,3.86098e-06,0.000157252,-0.00418354,-0.0118528,0.00766929,27,0,0.0227385
2023-09-25 00:00:00+00:00,0.00981936,1.02482,0.854334,0.106604,0.023829,0.241466,7.73599e-05,1.7051e-05,2.27932e-05,0.000106197,0.0097931,0.0143167,-0.00452356,27,0,0.0195651
2023-09-26 00:00:00+00:00,0.00322828,1.02813,0.866019,0.100776,0.027721,0.0766681,2.54405e-05,6.91732e-06,3.65911e-06,0.000154712,0.00311842,0.00317924,-6.08258e-05,27.0208,1,0.0199192
2023-09-27 00:00:00+00:00,0.00476096,1.03303,0.802032,0.0678002,0.0166861,0.0784911,2.51206e-05,8.14055e-06,4.3131e-06,8.27644e-05,0.00471946,0.00525915,-0.000539693,27,0,0.0173967
2023-09-28 00:00:00+00:00,-0.0110862,1.02157,0.737485,0.0666552,0.0362667,0.145292,5.12351e-05,1.17636e-05,6.76034e-06,3.27759e-05,-0.0110977,0.00457282,-0.0156706,27.1875,1,0.0153903
2023-09-29 00:00:00+00:00,-0.00997147,1.01139,0.561865,0.0531731,0.0327877,0.192337,6.14992e-05,1.06862e-05,8.18256e-06,7.40752e-06,-0.00993603,-0.00118295,-0.00875308,27,0,0.0083967
2023-09-30 00:00:00+00:00,0.000836422,1.01223,0.472493,0.0453949,0.0273718,0.0811435,3.15501e-05,5.10735e-06,2.39061e-06,1.94593e-05,0.000860881,0.00171508,-0.0008542,26.3125,2,0.00121116
2023-10-01 00:00:00+00:00,-0.00307334,1.00912,0.421614,0.0374926,0.020208,0.0793483,2.53809e-05,5.04908e-06,1.02442e-05,-1.26757e-05,-0.00301732,0.0105855,-0.0136028,25,0,0.00225779
2023-10-02 00:00:00+00:00,-0.000116626,1.009,0.340634,0.027153,0.0163664,0.0563959,1.8049e-05,5.54074e-06,7.56677e-06,3.41396e-05,-0.00011669,-0.00813596,0.00801927,22.7708,0,0.00368195
2023-10-03 00:00:00+00:00,0.000957648,1.00997,0.328953,0.0257167,0.0101053,0.0127234,4.07207e-06,5.09009e-07,2.38168e-07,-1.18815e-06,0.000965633,-0.00573595,0.00670158,23.7292,0,0.00536323
2023-10-04 00:00:00+00:00,0.00153708,1.01152,0.317966,0.0253585,0.00496107,0,0,0,0,-1.61324e-05,0.00155362,0.000884539,0.000669085,24,0,0.00445568
2023-10-05 00:00:00+00:00,0.00208693,1.01363,0.318592,0.0261662,0.00637802,0,0,0,0,-6.58489e-06,0.00209283,-0.00159204,0.00368486,24,0,0.000735084
2023-10-06 00:00:00+00:00,0.000941836,1.01459,0.321863,0.0306608,0.0107675,0.00473382,1.51446e-06,1.89307e-07,6.62855e-08,-1.19667e-05,0.000957256,0.00365312,-0.00269586,24,0,0.000199069
2023-10-07 00:00:00+00:00,-0.00127307,1.0133,0.320355,0.0289261,0.00815452,0.00426218,1.36356e-06,6.67298e-07,1.93919e-07,-1.26783e-05,-0.00125733,-0.00251466,0.00125733,24,0,0.000749391
2023-10-08 00:00:00+00:00,0.00335355,1.0167,0.316746,0.0284645,0.00999958,0.0224066,7.1809e-06,2.41589e-06,4.22707e-06,-1.21515e-05,0.00337731,0.00233433,0.00104297,24,0,0
2023-10-09 00:00:00+00:00,0.00095926,1.01767,0.23782,-0.00477979,-0.0188552,0.0935692,3.0666e-05,1.37241e-05,2.12846e-05,-2.37798e-05,0.00104959,-0.00548809,0.00653768,21.3958,1,0.000645812
2023-10-10 00:00:00+00:00,-0.00169031,1.01595,0.226912,-0.00300294,-0.014633,0.00211465,6.76572e-07,8.45714e-08,1.21505e-07,-1.75265e-06,-0.00168864,-0.00224305,0.000554408,21,0,0.0025458
2023-10-11 00:00:00+00:00,0.00099155,1.01696,0.224176,-0.00191551,-0.0118083,0,0,0,0,-4.12065e-06,0.000995715,0.000777661,0.000218054,21,0,8.71823e-05
2023-10-12 00:00:00+00:00,-7.90221e-05,1.01688,0.221519,-0.00237117,-0.0108069,0.000552273,2.76289e-07,5.52579e-08,4.27878e-09,-2.31565e-06,-7.56772e-05,-0.00203174,0.00195606,20.3958,1,0
2023-10-13 00:00:00+00:00,0.00131828,1.01822,0.223301,-0.00287476,-0.00917985,0.00247892,7.93352e-07,9.9169e-08,3.79464e-09,-1.32149e-05,0.00133244,0.00235958,-0.00102714,20,0,0
2023-10-14 00:00:00+00:00,-0.000575426,1.01763,0.22681,-0.00403358,-0.00712419,0,0,0,0,-5.7227e-06,-0.000569504,-7.42191e-05,-0.000495285,20,0,0
2023-10-15 00:00:00+00:00,-0.000708027,1.01691,0.226486,-0.00308905,-0.00795086,0.00173581,8.67515e-07,1.73503e-07,1.07362e-07,1.0237e-06,-0.0007076,0.000624808,-0.00133241,19.0625,1,0
2023-10-16 00:00:00+00:00,0.000550579,1.01747,0.21698,0.0104883,0.00701282,0.0278422,1.08952e-05,4.36892e-06,2.44193e-06,-7.37849e-07,0.000569772,0.00249278,-0.001923,18,1,0
2023-10-17 00:00:00+00:00,0.00112789,1.01862,0.212959,0.0137228,0.0105464,0,0,0,0,-3.67342e-05,0.00116538,-0.00166406,0.00282944,18,0,0
2023-10-18 00:00:00+00:00,-0.00195351,1.01663,0.210699,0.0129631,0.00737866,0.00331426,1.0597e-06,3.08275e-07,5.59479e-08,-1.96169e-05,-0.0019328,-0.00228439,0.000351596,18,0,0
