con,entry,tmin,E0,head_eq,head_bp,eq_min,per,L,asset
ETHUSDT_231229,2023-08-22 08:00:00,2023-08-29 14:50:00,1.2645025811230404,0.7523425068928395,493.93003661686004,0.910923236792547,IS,15,ETH
ETHUSDT_240628,2024-01-11 20:00:00,2024-02-25 20:20:00,1.2820323753356087,0.783940861542477,514.456571130528,0.9704778567931077,IS,15,ETH
ETHUSDT_240628,2024-03-24 16:00:00,2024-03-29 13:40:00,1.2137407713944885,0.7056768732134541,463.12479415401157,0.8702148894088615,IS,15,ETH
ETHUSDT_240628,2024-04-08 00:00:00,2024-04-08 23:00:00,1.0513996915862598,0.5440138322855049,357.0848312385622,0.7131524694058529,IS,15,ETH
ETHUSDT_240628,2024-04-18 19:00:00,2024-05-23 11:50:00,1.4426993833549595,0.7488238254035043,491.59057243575796,0.945740029098977,IS,15,ETH
ETHUSDT_240927,2024-06-23 08:00:00,2024-07-01 04:00:00,1.427316363633154,0.7959580475427929,522.5056104339354,0.9504787011499318,IS,15,ETH
ETHUSDT_241227,2024-08-06 16:00:00,2024-08-06 17:15:00,1.75996533807037,0.7572214602201709,497.0702128942421,0.9127151718988628,IS,15,ETH
ETHUSDT_250328,2024-12-15 15:00:00,2024-12-16 18:50:00,2.0362519381996247,0.7707325653920272,505.8879987973709,0.9346845373914581,IS,15,ETH
BTCUSDT_220325,2022-01-15 16:00:00,2022-01-15 16:55:00,0.9798496337875443,0.778712526705232,381.4724448144661,0.9845634246467452,IS,20,BTC
BTCUSDT_220325,2022-01-28 04:00:00,2022-02-07 15:40:00,1.0515281432441284,0.7424979681443769,363.757584781249,0.9819401960141014,IS,20,BTC
BTCUSDT_220624,2022-04-24 01:00:00,2022-05-01 22:40:00,1.0671582930714143,0.7480061257531921,366.47469199410705,0.9457111807223458,IS,20,BTC
BTCUSDT_221230,2022-11-10 08:00:00,2022-11-22 00:45:00,1.0035676250077645,0.7512610619218173,368.09660251772925,0.9453782148203935,IS,20,BTC
BTCUSDT_230630,2023-04-09 08:00:00,2023-04-14 04:05:00,0.9379880694666578,0.7284470252537119,356.8574556441316,0.954564625815243,IS,20,BTC
BTCUSDT_230929,2023-07-13 00:00:00,2023-07-13 15:50:00,0.8721085591409623,0.7499351312440564,367.3645603633136,0.9605734411518426,IS,20,BTC
BTCUSDT_230929,2023-08-23 00:00:00,2023-08-29 14:50:00,0.8681714570418051,0.6400331972610511,313.5628293669717,0.8551088245406954,IS,20,BTC
BTCUSDT_240329,2023-10-01 19:00:00,2023-10-27 12:25:00,0.9139677668039371,0.5040535391122721,246.90058122307494,0.7637297557750904,IS,20,BTC
BTCUSDT_240628,2024-03-25 08:00:00,2024-03-30 17:30:00,0.66419436933297,0.457783423915517,224.15863743735244,0.6792699494865306,IS,20,BTC
BTCUSDT_240927,2024-04-08 00:00:00,2024-04-08 12:45:00,0.45092969170533714,0.3624390395363339,177.41375393954192,0.5881189517543691,IS,20,BTC
BTCUSDT_240628,2024-04-19 08:00:00,2024-04-19 08:25:00,0.7208976855136536,0.7634056291297457,373.93620652230425,0.9701513507734623,IS,20,BTC
BTCUSDT_240927,2024-06-25 01:00:00,2024-07-01 02:35:00,0.8173453826450149,0.6988121947994909,342.27792518292864,0.9168211412098506,IS,20,BTC
BTCUSDT_241227,2024-07-15 03:00:00,2024-07-29 00:55:00,0.8796331253023578,0.6201957658905075,303.69155594382596,0.8521454742506455,IS,20,BTC
BTCUSDT_250328,2024-12-16 00:00:00,2024-12-16 16:20:00,0.9630095544936284,0.7703104778591405,377.2404956872484,0.9835780422043261,IS,20,BTC
ETHUSDT_220325,2022-01-12 16:00:00,2022-01-15 20:15:00,0.9798506807779708,0.7594701284765328,372.0464565634755,0.9651257486443582,IS,20,ETH
ETHUSDT_220325,2022-01-26 16:00:00,2022-01-26 19:10:00,1.0852062248926404,0.711969735688078,348.80136349741275,0.9264380199497853,IS,20,ETH
ETHUSDT_220624,2022-04-17 00:00:00,2022-04-20 12:40:00,1.1509031513507275,0.7709119964323676,377.69027330447784,0.9816374855109812,IS,20,ETH
ETHUSDT_220624,2022-05-13 02:00:00,2022-05-13 03:10:00,1.1346638320270916,0.7755358436979889,379.9556778557863,0.987985998602735,IS,20,ETH
ETHUSDT_220930,2022-06-20 04:00:00,2022-06-20 12:00:00,1.1270787658821155,0.765988023283536,375.2673579398402,0.9827207851897201,IS,20,ETH
ETHUSDT_221230,2022-09-23 04:00:00,2022-09-23 04:05:00,1.2300315246576432,0.8036237440789489,393.70693497123426,1.008188528982762,IS,20,ETH
ETHUSDT_221230,2022-11-10 06:00:00,2022-11-15 02:50:00,1.3695645090300161,0.7660457359963257,375.3324117748182,0.9811465351266909,IS,20,ETH
ETHUSDT_231229,2023-08-22 08:00:00,2023-08-29 14:50:00,1.361729752383355,0.6680918224143119,327.2800349503601,0.8806201832600125,IS,20,ETH
ETHUSDT_240628,2024-01-11 20:00:00,2024-02-25 20:20:00,1.3868922454082278,0.7103977870972881,347.8065694640279,0.9604289915095278,IS,20,ETH
ETHUSDT_240628,2024-03-24 16:00:00,2024-03-29 13:40:00,1.288387708866393,0.6055022537776693,296.4747924875115,0.826041758320432,IS,20,ETH
ETHUSDT_240628,2024-04-08 00:00:00,2024-04-08 23:00:00,1.0586095812894596,0.3888494342844456,190.4348295720623,0.6155430953631753,IS,20,ETH
ETHUSDT_240628,2024-04-18 19:00:00,2024-05-23 11:50:00,1.5839469883747688,0.6633692777480731,324.9405707692579,0.9272798336740226,IS,20,ETH
ETHUSDT_240927,2024-06-23 08:00:00,2024-07-01 04:00:00,1.561428019697109,0.7265344391249443,355.85560876743534,0.9336294835341015,IS,20,ETH
ETHUSDT_241227,2024-08-06 16:00:00,2024-08-06 17:15:00,2.046632151404794,0.6746165261757641,330.4202112277419,0.883016675998399,IS,20,ETH
ETHUSDT_250328,2024-12-15 15:00:00,2024-12-16 18:50:00,2.4750008633878187,0.6927141278625613,339.237997130871,0.9124580474063189,IS,20,ETH
BTCUSDT_250328,2025-01-01 01:00:00,2025-01-02 20:15:00,0.9898361128727615,0.8490652087430736,840.3513706606777,0.9558883598579355,OOS,10,BTC
BTCUSDT_250926,2025-03-28 10:00:00,2025-05-26 12:20:00,1.161002984608634,0.7416490489773614,734.0494697725763,0.8740471448949169,OOS,10,BTC
BTCUSDT_260327,2025-10-13 16:00:00,2025-10-13 20:05:00,1.0852299299585288,0.8860930892422096,876.999916785075,0.9899433419147889,OOS,10,BTC
BTCUSDT_260327,2025-11-29 19:00:00,2025-12-03 15:05:00,1.2206095302307218,0.888838611743964,879.7886022346435,0.9930009734428191,OOS,10,BTC
BTCUSDT_260626,2026-02-07 00:00:00,2026-02-08 13:45:00,1.2140184147184123,0.8603546969476786,851.6131119709861,0.9637886895292072,OOS,10,BTC
ETHUSDT_250328,2025-01-01 03:00:00,2025-01-04 15:20:00,0.9898459121500361,0.8467331977769899,838.0515893423474,0.9584630750856434,OOS,10,ETH
ETHUSDT_250926,2025-04-04 07:00:00,2025-05-12 09:35:00,1.1634828476628847,0.6904819271748674,683.4110892744083,0.8359050761068654,OOS,10,ETH
ETHUSDT_251226,2025-06-27 11:00:00,2025-07-16 18:40:00,1.0423885378273783,0.6250911297020424,618.6970106041174,0.7662682431470558,OOS,10,ETH
ETHUSDT_251226,2025-08-31 17:00:00,2025-09-14 13:30:00,0.8070791864220325,0.8319755755101029,823.489726630982,0.9376606106716431,OOS,10,ETH
ETHUSDT_260327,2026-02-02 16:00:00,2026-02-07 16:15:00,0.8899931405086648,0.8474645630793514,838.887102808345,0.935708168540816,OOS,10,ETH
ETHUSDT_260925,2026-03-27 16:00:00,2026-04-07 23:30:00,0.9273932200655047,0.8776296796738865,868.700552918769,0.9939855321402579,OOS,10,ETH
ETHUSDT_260925,2026-06-10 00:00:00,2026-06-15 15:55:00,0.9638426647161001,0.8753711196465185,866.5082960542701,0.989140109173337,OOS,10,ETH
BTCUSDT_250328,2025-01-01 01:00:00,2025-01-02 20:15:00,0.9847541693091423,0.7724294371155133,507.05136732767767,0.9334910745674294,OOS,15,BTC
BTCUSDT_250926,2025-03-28 10:00:00,2025-05-26 12:20:00,1.2401885071712377,0.6104768921966488,400.74946643957594,0.8100972829283758,OOS,15,BTC
BTCUSDT_260327,2025-10-13 16:00:00,2025-10-13 20:05:00,1.1187776413793,0.8282579555549977,543.6999134520751,0.9848371709113323,OOS,15,BTC
BTCUSDT_260327,2025-11-29 19:00:00,2025-12-03 15:05:00,1.3281338413785941,0.8324043905298765,546.4885989016433,0.9894477197527748,OOS,15,BTC
BTCUSDT_260626,2026-02-07 00:00:00,2026-02-08 13:45:00,1.3173763463390733,0.7894621212870288,518.3131086379857,0.9454055931327594,OOS,15,BTC
ETHUSDT_250328,2025-01-01 03:00:00,2025-01-04 15:20:00,0.9847688682250543,0.7689145302863846,504.7515860093472,0.937373392900004,OOS,15,ETH
