per,asset,con,side,ts,why,lastprem_bp,markprem_bp,F_last_vs_mark_bp,P_last_vs_mark_bp,qv,basis_gap_bp
IS,ETH,ETHUSDT_221230,out,2022-09-30 16:00:00,signal,-12.130593654882116,-12.915297222058086,2.7956422306907314,2.0097659739182205,896783.59114,0.7847035671759706
IS,ETH,ETHUSDT_221230,in,2022-11-10 06:00:00,signal,-17.67613303175097,-28.071404668565947,16.608698607212258,6.177723847291539,485988.31889,10.395271636814975
IS,ETH,ETHUSDT_221230,out,2022-11-25 00:00:00,signal,-29.337455536717627,-29.262843345856382,0.5900795781532686,0.6649157219307256,149358.70984,-0.07461219086124515
IS,ETH,ETHUSDT_231229,in,2023-08-22 08:00:00,signal,158.40336134453904,155.44890900360153,2.90922869822019,0.0,7007.43773,2.9544523409375074
IS,ETH,ETHUSDT_231229,out,2023-10-09 02:00:00,signal,91.69638308711203,90.99696347416808,-0.6565170484840177,-1.349536010117891,32253.53198,0.6994196129439416
IS,ETH,ETHUSDT_240628,in,2024-01-11 20:00:00,signal,716.084044127745,707.7403362488876,7.448647729497715,-0.34330572901031253,34857.64537,8.343707878857344
IS,ETH,ETHUSDT_240628,out,2024-02-26 00:00:00,signal,488.66377231066014,489.6709330748905,-1.5024352292614118,-0.5423420594263817,43795.58923,-1.0071607642303775
IS,ETH,ETHUSDT_240628,in,2024-03-24 16:00:00,signal,635.26628886039,632.242805568648,3.3142389953533247,0.47041236777678463,21796.83125,3.023483291741968
IS,ETH,ETHUSDT_240628,out,2024-03-30 00:00:00,signal,628.539523011884,626.6760070078492,1.7821129796602442,0.02848718788861504,31069.17772,1.86351600403475
IS,ETH,ETHUSDT_240628,in,2024-04-08 00:00:00,signal,425.6836478224435,424.9174985948811,2.47378430386469,1.7387353783049342,45835.7387,0.76614922756238
IS,ETH,ETHUSDT_240628,out,2024-04-13 21:00:00,signal,149.32680538555675,148.8873661218837,2.0409668997212194,1.6079047270278757,957111.01752,0.43943926367305153
IS,ETH,ETHUSDT_240628,in,2024-04-18 19:00:00,signal,236.87623951618386,240.24870758331485,-4.673711173057704,-1.380820066345656,84283.22143,-3.3724680671309955
