scenario,L,period,cagr,maxdd_intrabar,sharpe,worst_day,liquidations,trades,y2022,y2023,y2024,BTC_cagr,BTC_maxdd,ETH_cagr,ETH_maxdd,y2025,y2026,seg_oos_cagr,seg_oos_maxdd,seg_oos_sharpe,seg_oos_worst_day,seg_oos_liq
okx_tiers_worstfill_slip2x,1,FULL,0.007839803051813199,-0.05588049921223259,0.38559180578210595,-0.017239720164204497,0,39,-0.0011148296618463949,-0.0090944143019136,0.03806981585456626,0.00759386553694541,-0.06714288427143955,0.008085520791269785,-0.06458392676896485,0.002737886217256902,0.006608414805271634,0.005615064359258071,-0.031698382869498776,0.3388454769302051,-0.006575877988427403,0.0
okx_tiers_worstfill_slip2x,3,IS,0.02487770399087652,-0.15959134531572305,0.39525830687991736,-0.051923875654185436,0,29,-0.0033830200289626244,-0.026859645032691892,0.10999155728827037,0.00392145757633644,-0.19086483110217523,0.045010023915645236,-0.1807829167913576,,,,,,,
okx_tiers_worstfill_slip2x,3,OOS,0.018059698336525765,-0.09120837282085315,0.3700612469968795,-0.019509526745965844,0,12,,,,0.05131022645972738,-0.0543260219343652,-0.015928908769165195,-0.1481886284027365,0.009745494399208354,0.02029914724989723,,,,,
okx_tiers_worstfill_slip2x,3,FULL,0.022041481262582874,-0.15959134531572305,0.381371901581813,-0.051923875654185436,0,39,-0.0033830200289626244,-0.026859645032691892,0.11530515174465505,0.021404803035670383,-0.19086483110217523,0.022676709080070356,-0.1807829167913576,0.003687216006868388,0.01971219225470433,0.014035188104718488,-0.09445337356144967,0.30094846764169103,-0.019687459714471944,0.0
okx_tiers_worstfill_slip2x,5,IS,0.0403230745351526,-0.25357831341642967,0.40566465829710247,-0.08689007779681324,0,29,-0.005702631381188983,-0.04406249255249706,0.18459706654427466,0.004081109859289667,-0.3014439984847278,0.07420111306878074,-0.28203772243863856,,,,,,,
okx_tiers_worstfill_slip2x,5,OOS,0.028714764859921527,-0.14755649879339316,0.36986286127137574,-0.032257020200346265,0,12,,,,0.08526082249853584,-0.08976320864236498,-0.029977961640945128,-0.2377961778581651,0.013465334479532576,0.03432608483167421,,,,,
okx_tiers_worstfill_slip2x,5,FULL,0.03426400147216779,-0.25357831341642967,0.37715487411718074,-0.08689007779681324,0,39,-0.005702631381188983,-0.04406249255249706,0.19384994935228872,0.033394518802633444,-0.3014439984847278,0.0351308132010788,-0.28203772243863856,-0.0013827361516426384,0.03267882462717164,0.018658117725650403,-0.1562128865315826,0.2624422609518926,-0.03274248886668529,0.0
okx_tiers_worstfill_slip2x,10,IS,0.07524419580873021,-0.4510631258552833,0.43286420886167554,-0.17561024371803569,0,29,-0.011726980677719823,-0.08462990242215818,0.37426101307073156,-0.00384748734857443,-0.5272638219856116,0.14414757075444795,-0.48392732913325276,,,,,,,
okx_tiers_worstfill_slip2x,10,OOS,0.05064050786727958,-0.2740390153067843,0.3714317312888819,-0.06325432912559803,0,12,,,,0.16898542152446017,-0.1757407690934557,-0.07733402432379932,-0.4327376263804239,0.013370279639622895,0.07138283781891208,,,,,
okx_tiers_worstfill_slip2x,10,FULL,0.056012399821139036,-0.4510631258552833,0.366698617285629,-0.17561024371803569,0,39,-0.011726980677719823,-0.08462990242215818,0.3946253787103662,0.0554516897223476,-0.5272638219856116,0.056572020807083234,-0.48392732913325276,-0.03994786254757343,0.06462576443714818,0.013216065176856251,-0.30518298610572925,0.16223142273568972,-0.06510570588706166,0.0
okx_tiers_worstfill_slip2x,15,IS,0.10527804902604898,-0.6037295469772197,0.46258506551502054,-0.2663226579122626,0,29,-0.01807385099011949,-0.12175591184040369,0.5658506210702845,-0.02340912575883225,-0.6924839850484381,0.20943235428872375,-0.6315857389656974,,,,,,,
okx_tiers_worstfill_slip2x,15,OOS,0.0661502710443771,-0.381892282045595,0.3762637600272518,-0.09306295369981843,0,12,,,,0.2506222644796898,-0.25816721799750597,-0.14264084818239608,-0.5908561872444131,0.0006490455456369393,0.11179605480294463,,,,,
okx_tiers_worstfill_slip2x,15,FULL,0.0646696151603332,-0.6037295469772197,0.35652146504514415,-0.2663226579122626,0,39,-0.01807385099011949,-0.12175591184040369,0.5988754127888136,0.06614458011322344,-0.6924839850484381,0.06318712236471535,-0.6315857389656974,-0.11376150283768471,0.09624121986881606,-0.017200780354293177,-0.44456014409332334,0.053819553320726264,-0.09701762502464584,0.0
okx_tiers_worstfill_slip2x,20,IS,0.1307819431768047,-0.7207301174905755,0.4957936418737065,-0.3591687890015688,0,29,-0.024743947800017096,-0.15550189774028722,0.7557221911372671,-0.054498575995045484,-0.8098756364142196,0.2696060842753114,-0.7410490641830304,,,,,,,
okx_tiers_worstfill_slip2x,20,OOS,-0.12323416041307433,-0.6772737369881592,0.07546768031953777,-0.45577779612506475,1,7,,,,0.3296104499812378,-0.33725810997688244,-1.0,-1.0,-0.33044954686054284,0.19988606062197123,,,,,
okx_tiers_worstfill_slip2x,20,FULL,-0.08187776523330126,-0.8089559436271275,0.19242095018562824,-0.6673018758369897,1,34,-0.024743947800017096,-0.15550189774028722,0.8025854146244242,0.06518700788448584,-0.8098756364142196,-1.0,-1.0,-0.6231516505549028,0.19988606062197056,-0.37923097364656844,-0.8089559436271275,-0.2201199564107981,-0.6673018758369897,1.0
