,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2024-10-26 00:00:00+00:00,0.00137172,1.06967,0.100654,0.0114284,-0.000647606,0.292896,9.37278e-05,3.80762e-05,8.13745e-06,3.31124e-06,0.00150843,0.00170809,-0.000199432,9.66667,0,0.0153566
2024-10-27 00:00:00+00:00,-0.00193853,1.0676,0.0995369,0.00719591,-0.00278203,0.297175,9.50921e-05,3.60843e-05,5.5581e-06,2.36301e-06,-0.00180534,-0.000364858,-0.00144097,9.97917,0,0.018126
2024-10-28 00:00:00+00:00,-0.000509377,1.06705,0.108938,0.0198122,0.00364177,0.500885,0.000160289,7.09222e-05,1.63685e-05,3.55451e-06,-0.000263698,-0.000713343,0.000449997,10.8125,0,0.017537
2024-10-29 00:00:00+00:00,-0.000677,1.06633,0.100626,0.011781,-0.0013287,0.431443,0.000138059,5.61941e-05,9.25331e-06,-9.67348e-06,-0.000462562,0.00339424,-0.00385692,11.8958,0,0.0174694
2024-10-30 00:00:00+00:00,-0.000593282,1.0657,0.0539692,0.00498877,-0.00228487,0.309362,9.89949e-05,2.47678e-05,5.3673e-06,-7.01843e-06,-0.000457087,-0.00135431,0.000897538,9.66667,0,0.0139527
2024-10-31 00:00:00+00:00,-0.000383735,1.06529,0.050097,0.00289844,-0.00253813,0.274783,8.79303e-05,2.43062e-05,5.7076e-06,-2.66615e-06,-0.000262588,-0.000280552,1.79351e-05,8.47917,0,0.0127512
2024-11-01 00:00:00+00:00,0.00184328,1.06725,0.0392691,-0.00333537,-0.000752387,0.150837,4.82692e-05,2.51352e-05,3.58902e-06,1.85763e-06,0.00191777,0.000580219,0.00133796,6.22917,0,0.01274
2024-11-02 00:00:00+00:00,-0.000681956,1.06652,0.0230091,-0.00188771,0.0011803,0.0703544,2.25133e-05,8.28607e-06,1.88274e-06,5.14897e-07,-0.00064985,-0.000297867,-0.000352081,3.75,0,0.0142216
2024-11-03 00:00:00+00:00,0.000110964,1.06664,0.0296188,-0.000592477,0.00240329,0.0998827,3.19629e-05,2.02844e-05,2.66102e-06,8.87099e-07,0.000165246,-3.80874e-05,0.000203317,3.70833,0,0.0140735
2024-11-04 00:00:00+00:00,-9.14221e-05,1.06654,0.0428006,-0.00584149,0.000290062,0.218896,7.00466e-05,2.44213e-05,5.73549e-06,2.56424e-06,6.37656e-06,-0.00129397,0.00130056,6.91667,0,0.0147935
2024-11-05 00:00:00+00:00,0.00140754,1.06805,0.0397375,-0.00127666,0.0014598,0.200349,6.4114e-05,4.52812e-05,5.59317e-06,-4.66277e-07,0.00152241,0.00171095,-0.000188409,7.0625,0,0.01488
2024-11-06 00:00:00+00:00,-0.00340847,1.0644,0.0809344,-0.0060285,0.000414451,0.381276,0.000121998,3.56816e-05,1.41715e-05,-5.96585e-06,-0.0032347,0.00295993,-0.00619535,10.6458,0,0.0168199
2024-11-07 00:00:00+00:00,-0.000680112,1.06368,0.0715873,-0.00186822,-1.70604e-05,0.287601,9.20312e-05,1.79106e-05,8.41456e-06,3.36961e-07,-0.000561494,-0.000506293,-5.48599e-05,9.27083,0,0.0141263
2024-11-08 00:00:00+00:00,-0.000486927,1.06316,0.0548472,0.00612304,0.00197847,0.181428,5.80578e-05,1.35449e-05,6.16922e-06,-6.60227e-07,-0.000407694,8.05342e-05,-0.000488351,6.04167,0,0.0127047
2024-11-09 00:00:00+00:00,0.00104763,1.06428,0.0499223,0.00428359,0.00048098,0.232463,7.439e-05,9.41757e-06,6.96701e-06,-4.81155e-07,0.00113885,0.00168989,-0.000551044,7.16667,0,0.0138519
2024-11-10 00:00:00+00:00,-6.28617e-05,1.06421,0.0292221,0.00540391,0.00118528,0.244992,7.83978e-05,1.22172e-05,7.24151e-06,-3.5729e-06,3.87951e-05,0.000225174,-0.000186955,7.33333,0,0.0125823
2024-11-11 00:00:00+00:00,0.000351276,1.06458,0.0389956,0.00963711,0.00322696,0.347481,0.000111195,3.5515e-05,1.39401e-05,7.10506e-06,0.000505304,0.00129485,-0.000796397,8.91667,0,0.0110539
2024-11-12 00:00:00+00:00,-0.000866473,1.06366,0.0325062,0.00470207,0.000582226,0.253857,8.1232e-05,2.8494e-05,9.87514e-06,6.12037e-06,-0.000752922,-0.00171379,0.000961609,8.45833,0,0.0109194
2024-11-13 00:00:00+00:00,0.000146694,1.06382,0.0113496,0.00242354,0.00110388,0.156195,4.99829e-05,3.67936e-05,5.17683e-06,1.203e-06,0.000237499,-0.000542208,0.000779714,5.75,0,0.0100074
2024-11-14 00:00:00+00:00,9.06879e-05,1.06391,0.000916464,0.000495256,0.000254019,0.0185323,5.93037e-06,1.54478e-06,4.27566e-07,-8.82203e-08,9.86782e-05,5.59075e-05,4.35476e-05,1.39583,0,0.00715468
2024-11-15 00:00:00+00:00,7.0486e-06,1.06392,0.00179173,-0.00084424,-0.000799004,0.0422155,1.3509e-05,4.21233e-06,1.12683e-06,3.15169e-07,2.5589e-05,8.53798e-05,-5.97788e-05,1.60417,0,0.00863868
2024-11-16 00:00:00+00:00,0.000890287,1.06487,0.00589931,3.9275e-05,-0.000537928,0.123602,3.95536e-05,1.5128e-05,3.25079e-06,1.77205e-06,0.000946136,0.000402846,0.000543528,5.52083,0,0.010295
2024-11-17 00:00:00+00:00,-0.000226128,1.06463,0.0143973,0.00398025,0.00126235,0.224036,7.16911e-05,1.90141e-05,5.35391e-06,7.37578e-07,-0.000130739,-0.000171516,4.01e-05,7.125,0,0.0105551
2024-11-18 00:00:00+00:00,0.000275739,1.06492,0.00983422,-0.00232458,-0.00426918,0.144842,4.63504e-05,2.94554e-05,3.74735e-06,4.86005e-06,0.000350508,0.000266554,6.69128e-05,4.14583,0,0.0105893
2024-11-19 00:00:00+00:00,0.000534735,1.06549,0.0172417,-0.00173408,-0.00361762,0.268329,8.5866e-05,4.82031e-05,6.3216e-06,2.03932e-06,0.000673081,-8.08482e-05,0.000754798,8.20833,0,0.0114032
2024-11-20 00:00:00+00:00,3.25471e-05,1.06553,0.0202803,0.00112028,-0.000654532,0.263432,8.42981e-05,4.22186e-05,6.07547e-06,-2.62591e-07,0.000165479,-0.00022418,0.000389576,6.1875,0,0.0117613
2024-11-21 00:00:00+00:00,-0.000507691,1.06498,0.0383283,0.00412533,0.000200351,0.327491,0.000104796,3.94195e-05,7.98636e-06,-7.8154e-06,-0.000347276,0.000941864,-0.00128941,8.875,0,0.0147857
2024-11-22 00:00:00+00:00,-0.000766987,1.06417,0.100666,0.00725017,0.000170362,0.504606,0.000161475,0.000119128,1.38515e-05,-1.51955e-05,-0.000456566,-0.000241909,-0.00021451,14.0833,0,0.0218926
2024-11-23 00:00:00+00:00,-0.00329018,1.06067,0.0832254,-0.00657773,-0.0040594,0.360635,0.000117239,0.000138871,9.56387e-06,-1.23039e-05,-0.00301548,0.000977184,-0.00399163,11.1458,1,0.0202006
2024-11-24 00:00:00+00:00,-0.00104597,1.05956,0.0237313,-0.00156131,-0.00264073,0.277462,8.87875e-05,7.51458e-05,1.04889e-05,-7.18694e-06,-0.000864503,-0.000622025,-0.000242698,8.10417,0,0.0139583
2024-11-25 00:00:00+00:00,-0.00103793,1.05846,0.0298969,0.0013044,-0.00292214,0.286645,9.17244e-05,0.000104177,9.0823e-06,5.27707e-06,-0.000838302,-0.000722727,-0.000127014,8.79167,0,0.0108999
2024-11-26 00:00:00+00:00,0.00071419,1.05921,0.0121623,-0.00341409,-0.00459305,0.113793,3.64143e-05,2.80578e-05,2.7476e-06,8.39493e-07,0.000780478,1.69316e-05,0.000763815,4.35417,0,0.008252
2024-11-27 00:00:00+00:00,3.50795e-05,1.05925,0.0104422,-0.00333368,-0.00376484,0.0901594,2.88511e-05,2.9517e-05,2.103e-06,5.13684e-06,9.04725e-05,0.000262629,-0.000172227,3.29167,0,0.010088
2024-11-28 00:00:00+00:00,-0.000256945,1.05898,0.00531685,-0.00108907,-0.00105127,0.0875549,2.80174e-05,4.11686e-05,1.87917e-06,1.70874e-06,-0.000187562,0.000144497,-0.000332146,2.8125,0,0.0114442
2024-11-29 00:00:00+00:00,9.43761e-05,1.05908,0.00228019,4.0362e-05,-0.000171544,0.0521576,1.66905e-05,1.1071e-05,8.33551e-07,1.22259e-07,0.000122852,-2.02415e-05,0.000142731,2.33333,0,0.00931838
2024-11-30 00:00:00+00:00,0.000198273,1.05929,0.0032028,0.00186489,0.00106971,0.0695149,2.22449e-05,3.03873e-05,1.14844e-06,-5.1973e-08,0.000252095,0.000207873,4.44947e-05,2.6875,0,0.00890187
2024-12-01 00:00:00+00:00,0.000162679,1.05946,0.0163128,0.000630102,8.26794e-05,0.244683,7.82987e-05,4.55992e-05,5.36299e-06,-4.2175e-06,0.000296423,0.000965812,-0.000669783,5.4375,0,0.00965679
2024-12-02 00:00:00+00:00,0.000774438,1.06028,0.0289962,0.00578757,0.00245243,0.296589,9.49088e-05,3.98925e-05,7.49999e-06,-4.18127e-07,0.000917622,0.000678259,0.000238341,9.39583,0,0.00936748
2024-12-03 00:00:00+00:00,0.000531131,1.06084,0.0500069,0.01396,0.00755067,0.429096,0.000137312,6.97587e-05,8.1682e-06,-5.08264e-06,0.000751984,-0.00022082,0.000972817,11.8125,0,0.0119899
2024-12-04 00:00:00+00:00,0.00125239,1.06217,0.0739992,0.0164322,0.00937795,0.371286,0.000118815,6.20689e-05,7.1804e-06,-1.31959e-05,0.00145516,0.00184541,-0.000390149,11.8333,0,0.016011
2024-12-05 00:00:00+00:00,-0.00300575,1.05898,0.102578,0.019405,0.00486123,0.416213,0.000133173,5.42978e-05,8.74067e-06,-6.40417e-06,-0.00280342,-0.000703573,-0.00209982,13.8125,0,0.0176208
