instId,instFamily,listTime,ctVal,lotSz,minSz,tickSz,lever,last,ct_usd,min_usd,lot_usd,vol24h_usd,spr_bp,cost50_bp,cost250_bp,cost1000_bp,cost2500_bp,cost10000_bp,mmr1,tier1_max_usd,sym,adv,rank,bucket
BEAT-USDT-SWAP,BEAT-USDT,1762964100610,10.0,0.1,0.1,1e-05,10.0,0.09573,0.9573,0.09573,0.09573,9908709.02736,1.0473979266225086,1.5591598485970026,3.4659555149529897,4.395670595568335,6.469322174525449,16.393617645949487,0.02,9573.0,BEATUSDT,31895596.67622,55.0,"(30, 60]"
BERA-USDT-SWAP,BERA-USDT,1738850401850,0.1,1.0,1.0,0.0001,20.0,0.2274,0.02274,0.02274,0.02274,1339188.2984399998,6.606480115533215,2.1829294913766617,3.926009769557037,6.559334927352944,9.364926980364729,16.555002678603216,0.02,10915.2,BERAUSDT,6065830.273419667,133.0,"(100, 150]"
BICO-USDT-SWAP,BICO-USDT,1639032617371,1.0,1.0,1.0,1e-05,20.0,0.02267,0.02267,0.02267,0.02267,4090325.33932,4.418913163132747,2.205071664830305,4.440754020932358,6.912961024990727,9.827795071417068,20.41900627258564,0.02,10881.6,BICOUSDT,20218885.134544335,75.0,"(60, 100]"
BIGTIME-USDT-SWAP,BIGTIME-USDT,1697115300862,10.0,1.0,1.0,1e-06,10.0,0.008447,0.0844699999999999,0.0844699999999999,0.0844699999999999,254128.8397,8.289078858420755,5.311928229946861,8.599769155234194,11.811587964010162,17.29179704624828,39.35868548213928,0.02,4392.44,BIGTIMEUSDT,2799908.3076894996,195.0,"(150, 200]"
BILL-USDT-SWAP,BILL-USDT,1778054400000,100.0,1.0,1.0,1e-05,20.0,0.01358,1.358,1.358,1.358,3025204.378,7.377355545949821,7.363770250368162,7.363770250368162,9.327597500610183,12.252978047664342,24.227261942919576,0.02,5432.0,BILLUSDT,3508111.7160923337,178.0,"(150, 200]"
BIO-USDT-SWAP,BIO-USDT,1735901100474,1.0,1.0,1.0,1e-05,20.0,0.03073,0.03073,0.03073,0.03073,3868721.54445,3.2637083539987817,3.245392685672366,3.816994883949487,5.682172851969036,7.768471939903487,12.973652617181974,0.02,11677.4,BIOUSDT,5200700.848066666,145.0,"(100, 150]"
BLUR-USDT-SWAP,BLUR-USDT,1676429700181,10.0,1.0,1.0,1e-05,20.0,0.02013,0.2012999999999999,0.2012999999999999,0.2012999999999999,799130.2011,4.992519010612007,4.851648448586099,4.931705947848197,4.946717014163715,6.255229735963597,14.98014698589678,0.02,20130.0,BLURUSDT,4048248.4298283327,162.0,"(150, 200]"
BNB-USDT-SWAP,BNB-USDT,1671778428049,0.01,1.0,1.0,0.1,50.0,778.2,7.782000000000001,7.782000000000001,7.782000000000001,52859211.65400001,1.2855122819534412,0.642549636959977,0.642549636959977,0.642549636959977,0.642549636959977,0.642549636959977,0.0065,155640.00000000003,BNBUSDT,408719076.14798665,8.0,"(0, 30]"
BOME-USDT-SWAP,BOME-USDT,1723717202042,1000.0,1.0,1.0,1e-07,20.0,0.0010377,1.0376999999999998,1.0376999999999998,1.0376999999999998,37762605.5229,0.9681948098703376,0.9645992090295818,0.9645992090295818,1.5296827809641034,3.7200095579753567,9.091211871189998,0.02,22829.4,BOMEUSDT,18496783.560954716,80.0,"(60, 100]"
BONK-USDT-SWAP,BONK-USDT,1704695217299,100000.0,1.0,1.0,1e-09,20.0,3.804e-06,0.3804,0.3804,0.3804,11368483.0008,2.637130847536948,1.3120910033648236,2.360173691523526,3.138050198277509,4.854632241750867,10.958406592402326,0.02,38040.0,1000BONKUSDT,27754289.85917773,62.0,"(60, 100]"
BRETT-USDT-SWAP,BRETT-USDT,1725617701730,100.0,1.0,1.0,1e-06,10.0,0.005639,0.5639,0.5639,0.5639,224019.4252,15.119167089657669,10.455861626358365,11.711317893092213,16.66462038211691,25.44913251636416,68.02635555758552,0.05,6766.799999999999,BRETTUSDT,1844268.9606892667,230.0,"(200, 300]"
BREV-USDT-SWAP,BREV-USDT,1767099600000,1.0,1.0,1.0,1e-05,20.0,0.0879,0.0879,0.0879,0.0879,329450.34270000004,8.535109654586243,6.850143137513975,9.261625516479576,11.01652056552216,13.268524411113036,22.478875535589246,0.02,7207.8,BREVUSDT,1258388.6721653335,251.0,"(200, 300]"
