instId,instFamily,listTime,ctVal,lotSz,minSz,tickSz,lever,last,ct_usd,min_usd,lot_usd,vol24h_usd,spr_bp,cost50_bp,cost250_bp,cost1000_bp,cost2500_bp,cost10000_bp,mmr1,tier1_max_usd
WIF-USDT-SWAP,WIF-USDT,1713173100603,1.0,1.0,1.0,0.0001,50.0,0.2385,0.2385,0.2385,0.2385,20249075.2455,4.200798151649517,2.0916126333409,2.0916126333409,4.7172910912107735,5.651808050813889,7.120695625365547,0.01,13833.0
WLD-USDT-SWAP,WLD-USDT,1690199721595,1.0,1.0,1.0,0.0001,50.0,0.4415,0.4415,0.4415,0.4415,116194751.8965,2.2678312863646104,1.1334013374136864,1.1334013374136864,1.1334013374136864,1.5253448609336973,3.256030841320978,0.01,52980.0
WLFI-USDT-SWAP,WLFI-USDT,1755954000424,10.0,1.0,1.0,1e-05,50.0,0.0565,0.5650000000000001,0.5650000000000001,0.5650000000000001,9472286.585,1.76881577783728,0.8844078889180818,1.7912491408444975,2.4377388902141472,2.5670304644204167,4.840556804150409,0.01,16950.0
WOO-USDT-SWAP,WOO-USDT,1676357700337,10.0,1.0,1.0,1e-05,10.0,0.01276,0.1276,0.1276,0.1276,174645.6096,15.698596799285347,7.836990595611604,10.597941605430815,13.07975137556705,18.595732301283086,40.57774473423148,0.05,4848.799999999999
XLM-USDT-SWAP,XLM-USDT,1587463971000,100.0,0.1,0.1,1e-05,50.0,0.22004,22.004,2.2004,2.2004,34509185.6568,0.4563188765802923,0.22701990964657526,0.9421890669214505,1.3511982814867762,1.6122385823108543,3.8365699531145436,0.01,26404.800000000003
XPL-USDT-SWAP,XPL-USDT,1756378800384,10.0,1.0,1.0,1e-05,50.0,0.11271,1.1271,1.1271,1.1271,92441428.326,0.8902341333400734,0.8246107180098772,1.8118486540102952,3.673559762494283,5.263675884840113,9.321250007447436,0.01,22542.0
XTZ-USDT-SWAP,XTZ-USDT,1587463971000,1.0,1.0,1.0,0.0001,20.0,0.3308,0.3308,0.3308,0.3308,473263.98199999996,7.569127974814526,4.989976240031835,6.131308093743626,9.84053037898336,11.66000251809296,16.95942173081999,0.01,2315.6
YB-USDT-SWAP,YB-USDT,1760252400368,1.0,1.0,1.0,1e-05,20.0,0.09026,0.09026,0.09026,0.09026,167845.78106,10.001116452372003,6.688722633020339,8.097790723665677,17.097912111288526,26.174021342202924,63.9673632184834,0.02,2256.5
YFI-USDT-SWAP,YFI-USDT,1599041571000,0.0001,1.0,1.0,1.0,20.0,2421.0,0.2421,0.2421,0.2421,799830.3698999999,8.283291662435538,2.0639834881319707,2.703965531974384,5.973908933146199,9.741877778436937,21.698968456069778,0.02,7747.200000000001
YGG-USDT-SWAP,YGG-USDT,1628240400000,1.0,1.0,1.0,1e-05,10.0,0.02724,0.02724,0.02724,0.02724,1319310.34368,5.506946890796304,5.086406028325108,5.547818883298028,8.139716114072826,12.247570901347537,25.300962054132793,0.05,9534.0
