config,cost,scope,mode,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,sharpe_IS,sharpe_OOS,worstday_IS,worstday_OOS,liq_IS,liq_OOS,entries_IS,rolls_IS,entries_OOS,rolls_OOS,margin_rebalances_OOS,y2022_fullrun,y2023_fullrun,y2024_fullrun,y2025_fullrun,y2026_fullrun
two_A,mmr1pct,BTC+ETH,cross,3,15.25,-0.66,-17.9,-6.1,1.32,-0.23,-8.5,-0.9,0,0,58,2,20,0,0,-6.0,23.0,32.3,-3.1,2.0
two_A,mmr1pct,BTC+ETH,cross,5,25.34,-1.12,-27.8,-10.0,1.33,-0.22,-13.3,-1.5,0,0,58,2,20,0,0,-9.9,39.6,56.6,-5.1,3.4
two_A,mmr1pct,BTC+ETH,cross,10,49.82,-2.36,-47.4,-19.2,1.36,-0.22,-23.1,-3.0,0,0,58,2,20,0,0,-19.6,85.4,125.6,-10.2,7.0
two_A,mmr1pct,BTC+ETH,cross,15,72.32,-3.73,-61.6,-27.6,1.36,-0.21,-30.7,-4.5,0,0,58,2,20,0,0,-28.9,137.2,203.4,-15.1,10.8
two_A,mmr1pct,BTC+ETH,cross,20,91.55,-5.22,-72.2,-35.4,1.36,-0.2,-36.7,-6.0,0,0,58,2,20,0,0,-37.8,195.0,283.2,-19.9,14.9
two_A,mmr1pct,ETH,cross,1,4.98,0.28,-6.8,-2.5,1.16,0.25,-2.9,-0.4,0,0,29,2,10,0,0,-2.5,5.7,12.2,-0.6,1.1
two_A,mmr1pct,ETH,cross,3,15.02,0.8,-18.9,-7.3,1.19,0.25,-8.1,-1.1,0,0,29,2,10,0,0,-7.5,17.8,39.7,-2.0,3.4
two_A,mmr1pct,ETH,cross,5,25.11,1.28,-29.2,-12.0,1.21,0.25,-12.6,-1.9,0,0,29,2,10,0,0,-12.5,30.5,71.5,-3.3,5.7
two_A,mmr1pct,ETH,cross,10,50.12,2.27,-49.5,-22.7,1.26,0.25,-21.8,-3.8,0,0,29,2,10,0,0,-24.5,65.7,170.4,-6.9,11.5
two_A,mmr1pct,ETH,cross,15,73.7,2.97,-64.0,-32.4,1.28,0.26,-28.8,-5.6,0,0,29,2,10,0,0,-35.9,105.7,297.8,-10.6,17.4
two_A,mmr1pct,ETH,cross,20,94.19,3.36,-74.6,-41.1,1.29,0.26,-34.2,-7.5,0,0,29,2,10,0,0,-46.6,150.1,448.9,-14.5,23.5
two_A,slip_x2,BTC,cross,1,4.38,-1.19,-7.1,-3.1,1.06,-1.04,-3.1,-0.5,0,0,29,0,10,0,0,-2.3,8.8,7.1,-1.8,-0.1
two_A,slip_x2,BTC,cross,3,12.82,-3.55,-19.9,-9.0,1.07,-1.03,-8.9,-1.4,0,0,29,0,10,0,0,-6.9,26.9,21.5,-5.5,-0.4
two_A,slip_x2,BTC,cross,5,20.81,-5.89,-30.9,-14.6,1.08,-1.03,-13.9,-2.4,0,0,29,0,10,0,0,-11.4,45.9,36.3,-9.0,-0.7
two_A,slip_x2,BTC,cross,10,38.54,-11.6,-52.8,-27.3,1.09,-1.02,-24.2,-4.7,0,0,29,0,10,0,0,-22.0,96.9,73.2,-17.4,-1.5
two_A,slip_x2,BTC,cross,15,52.53,-17.14,-68.6,-38.2,1.08,-1.01,-32.2,-7.0,0,0,29,0,10,0,0,-31.9,152.1,106.7,-25.1,-2.3
two_A,slip_x2,BTC,cross,20,62.21,-22.51,-80.1,-47.6,1.07,-0.99,-38.6,-9.1,0,0,29,0,10,0,0,-41.0,210.9,132.6,-32.4,-3.3
two_A,slip_x2,BTC+ETH,cross,1,4.26,-0.69,-6.5,-2.5,1.09,-0.72,-3.0,-0.3,0,0,58,2,20,0,0,-3.0,7.0,9.1,-1.5,0.4
two_A,slip_x2,BTC+ETH,cross,3,12.57,-2.09,-18.1,-7.3,1.1,-0.72,-8.5,-0.9,0,0,58,2,20,0,0,-8.7,21.7,28.4,-4.5,1.1
two_A,slip_x2,BTC+ETH,cross,5,20.56,-3.48,-28.2,-11.9,1.11,-0.71,-13.3,-1.5,0,0,58,2,20,0,0,-14.3,37.2,49.0,-7.4,1.8
two_A,slip_x2,BTC+ETH,cross,10,38.72,-6.98,-48.0,-22.7,1.13,-0.71,-23.2,-3.0,0,0,58,2,20,0,0,-27.2,79.3,104.6,-14.5,3.7
two_A,slip_x2,BTC+ETH,cross,15,53.62,-10.5,-62.4,-32.3,1.12,-0.7,-30.8,-4.5,0,0,58,2,20,0,0,-38.9,126.3,162.3,-21.2,5.8
two_A,slip_x2,BTC+ETH,cross,20,64.28,-14.05,-73.2,-41.0,1.11,-0.69,-36.9,-6.1,0,0,58,2,20,0,0,-49.3,177.6,215.1,-27.6,8.0
two_A,slip_x2,ETH,cross,1,4.14,-0.2,-6.9,-3.0,0.97,-0.16,-2.9,-0.4,0,0,29,2,10,0,0,-3.6,5.3,11.3,-1.2,0.8
two_A,slip_x2,ETH,cross,3,12.32,-0.63,-19.1,-8.6,0.99,-0.16,-8.1,-1.1,0,0,29,2,10,0,0,-10.5,16.3,36.2,-3.5,2.5
two_A,slip_x2,ETH,cross,5,20.3,-1.11,-29.6,-14.1,1.01,-0.15,-12.7,-1.9,0,0,29,2,10,0,0,-17.2,27.8,64.4,-5.8,4.2
two_A,slip_x2,ETH,cross,10,38.91,-2.51,-50.1,-26.4,1.05,-0.15,-21.9,-3.8,0,0,29,2,10,0,0,-32.5,59.1,149.5,-11.7,8.5
two_A,slip_x2,ETH,cross,15,54.69,-4.18,-64.8,-37.3,1.06,-0.14,-28.9,-5.7,0,0,29,2,10,0,0,-45.9,93.8,253.5,-17.5,12.9
two_A,slip_x2,ETH,cross,20,66.3,-6.11,-75.5,-46.8,1.06,-0.14,-34.4,-7.5,0,0,29,2,10,0,0,-57.7,131.2,369.8,-23.2,17.3
two_A_mk,maker_fut,BTC,cross,1,5.82,-0.35,-6.8,-2.2,1.4,-0.33,-3.1,-0.5,0,0,29,0,10,0,0,-0.7,9.4,9.2,-1.0,0.5
two_A_mk,maker_fut,BTC,cross,3,17.53,-1.06,-19.1,-6.4,1.42,-0.32,-8.8,-1.4,0,0,29,0,10,0,0,-2.3,29.0,28.8,-3.1,1.4
two_A_mk,maker_fut,BTC,cross,5,29.26,-1.78,-29.8,-10.5,1.44,-0.32,-13.8,-2.4,0,0,29,0,10,0,0,-3.9,49.9,50.0,-5.2,2.3
two_A_mk,maker_fut,BTC,cross,10,58.32,-3.67,-51.0,-20.0,1.47,-0.31,-24.0,-4.7,0,0,29,0,10,0,0,-8.1,107.0,108.7,-10.2,4.6
