variant,L,band,cagr_is,sharpe_is,maxdd_is,liq_is,lookback_d,theta,K
rotate_10coins,3,0.05,0.04287691255540582,1.6204031194459472,0.07765221306879333,0,14.0,0.05,2.0
rotate_10coins,3,0.1,0.08787478488215594,3.3118413962640347,0.04497704987780016,0,14.0,0.05,2.0
rotate_10coins,3,0.05,0.05610024793779633,2.557517212703312,0.07191141836061743,0,14.0,0.05,4.0
rotate_10coins,3,0.1,0.0947625898169353,4.318513404684112,0.04341128518124371,0,14.0,0.05,4.0
rotate_10coins,3,0.05,0.05132584770709836,2.192211924542333,0.04116757914226421,0,14.0,0.1,1.0
rotate_10coins,3,0.1,0.07710098701867873,3.2592826695484605,0.03607981184094744,0,14.0,0.1,1.0
rotate_10coins,3,0.05,0.06277425087154742,3.156993095133195,0.02319813455724873,0,14.0,0.1,2.0
rotate_10coins,3,0.1,0.0915792014482466,4.527828768706481,0.021504713924037633,0,14.0,0.1,2.0
rotate_10coins,3,0.05,0.053720652108569134,3.3522731298489075,0.013082036442061629,0,14.0,0.1,4.0
rotate_10coins,3,0.1,0.07728672307442341,4.616619421387159,0.01184943581298148,0,14.0,0.1,4.0
rotate_10coins,3,0.05,0.045610010489024244,2.5368833828948425,0.036076510424834285,0,14.0,0.2,1.0
rotate_10coins,3,0.1,0.0625841178622406,3.5038612712910684,0.020341462630109164,0,14.0,0.2,1.0
rotate_10coins,3,0.05,0.04318641422272207,3.129842987476487,0.013209669183539274,0,14.0,0.2,2.0
rotate_10coins,3,0.1,0.055473964958924205,3.9828772790246862,0.010434531924371049,0,14.0,0.2,2.0
rotate_10coins,3,0.05,0.04666221194144882,3.9801752501745833,0.008970480348716281,0,14.0,0.2,4.0
rotate_10coins,3,0.1,0.0577719890158408,4.736622763125884,0.00580468183669014,0,14.0,0.2,4.0
rotate_10coins,5,0.05,-0.2721868808561937,-2.7998395158879523,0.6235153435589389,0,3.0,0.0,1.0
rotate_10coins,5,0.1,-0.2190601646214888,-2.173230944527539,0.5415035386687692,0,3.0,0.0,1.0
rotate_10coins,5,0.05,-0.2504734871295877,-3.486501522196014,0.5854275344051856,0,3.0,0.0,2.0
rotate_10coins,5,0.1,-0.19192462273205768,-2.604437333756239,0.48763187741300407,0,3.0,0.0,2.0
rotate_10coins,5,0.05,-0.24632511027037685,-4.411137882012674,0.57733178387401,0,3.0,0.0,4.0
rotate_10coins,5,0.1,-0.19109622217703703,-3.2940433149282975,0.4813408663741283,0,3.0,0.0,4.0
rotate_10coins,5,0.05,-0.16438038299546098,-1.9028906514269261,0.43015783264618845,0,3.0,0.05,1.0
rotate_10coins,5,0.1,-0.10894303534338046,-1.2137281061483125,0.31885609140963145,0,3.0,0.05,1.0
rotate_10coins,5,0.05,-0.1586919909132618,-2.5305788556432303,0.4136739837984542,0,3.0,0.05,2.0
rotate_10coins,5,0.1,-0.0990694229362794,-1.522671079899086,0.28987789624091276,0,3.0,0.05,2.0
rotate_10coins,5,0.05,-0.17005183561782322,-3.5797235583620353,0.43554539826546346,0,3.0,0.05,4.0
rotate_10coins,5,0.1,-0.1148856728369475,-2.3217882501427245,0.32107060132235743,0,3.0,0.05,4.0
rotate_10coins,5,0.05,-0.02584430683270389,-0.4406501455882259,0.14172496761051523,0,3.0,0.1,1.0
rotate_10coins,5,0.1,0.004980959974706156,0.11740273915689105,0.1232702644182454,0,3.0,0.1,1.0
rotate_10coins,5,0.05,-0.013537412470499444,-0.31841209802370046,0.15222991040550093,0,3.0,0.1,2.0
rotate_10coins,5,0.1,0.018137295158625832,0.47105512725991305,0.1231019609370374,0,3.0,0.1,2.0
rotate_10coins,5,0.05,0.010311973722434198,0.3424169808643343,0.10680867716576325,0,3.0,0.1,4.0
rotate_10coins,5,0.1,0.04049900966846298,1.2624381745777515,0.08125899079914423,0,3.0,0.1,4.0
rotate_10coins,5,0.05,0.012800684454511435,0.3531740719525531,0.08760076048442911,0,3.0,0.2,1.0
rotate_10coins,5,0.1,0.03386996561877442,0.887489251511944,0.06484239090281463,0,3.0,0.2,1.0
rotate_10coins,5,0.05,0.03283685099671052,1.1442365051303727,0.039836427420495424,0,3.0,0.2,2.0
rotate_10coins,5,0.1,0.050623091519307106,1.7067389788033518,0.031239073177442456,0,3.0,0.2,2.0
rotate_10coins,5,0.05,0.033348337941758066,1.346320524594221,0.03235955293738757,0,3.0,0.2,4.0
rotate_10coins,5,0.1,0.04628436796308688,1.8035188855006232,0.028130984826780225,0,3.0,0.2,4.0
rotate_10coins,5,0.05,-0.09171534548560178,-1.0618973744258715,0.31673967903682787,0,7.0,0.0,1.0
rotate_10coins,5,0.1,-0.03126665787287353,-0.3241824705940583,0.24963975856168852,0,7.0,0.0,1.0
rotate_10coins,5,0.05,-0.057127121787949875,-0.8986172721637983,0.2321112511413188,0,7.0,0.0,2.0
rotate_10coins,5,0.1,0.008366326089459086,0.16495591974277246,0.16773283246242754,0,7.0,0.0,2.0
rotate_10coins,5,0.05,-0.054617161292226823,-1.2027879292977082,0.23954756607178773,0,7.0,0.0,4.0
rotate_10coins,5,0.1,0.012067366256697909,0.2854370801815799,0.1776447220652806,0,7.0,0.0,4.0
rotate_10coins,5,0.05,-0.08388948293344467,-1.0450372612562981,0.28721309133735595,0,7.0,0.05,1.0
rotate_10coins,5,0.1,-0.0211060411786278,-0.22638391995630539,0.22301096661770603,0,7.0,0.05,1.0
rotate_10coins,5,0.05,-0.017791284410218045,-0.32555023812308836,0.16617847982674927,0,7.0,0.05,2.0
rotate_10coins,5,0.1,0.0561567675628889,1.1094171355426272,0.11384764878589537,0,7.0,0.05,2.0
rotate_10coins,5,0.05,-0.008043368419897612,-0.18506514140311126,0.1796471214536861,0,7.0,0.05,4.0
rotate_10coins,5,0.1,0.05627258998924001,1.4105046925959213,0.13077374186339075,0,7.0,0.05,4.0
rotate_10coins,5,0.05,0.047347243691130636,1.1830549798472307,0.07483457703567886,0,7.0,0.1,1.0
rotate_10coins,5,0.1,0.081019760537131,1.9743839093322206,0.07092635620006027,0,7.0,0.1,1.0
rotate_10coins,5,0.05,0.06319475125052665,2.0345829769625103,0.08542037062011232,0,7.0,0.1,2.0
rotate_10coins,5,0.1,0.10145074739612592,3.136686413080577,0.07982954925247876,0,7.0,0.1,2.0
rotate_10coins,5,0.05,0.0606810867228913,2.2549505844028483,0.05704151971806004,0,7.0,0.1,4.0
rotate_10coins,5,0.1,0.09680597300505855,3.432542786825897,0.05329740285397844,0,7.0,0.1,4.0
