variant,leverage,params,cagr_is,cagr_oos,maxdd_is,maxdd_oos,maxdd_full,worst_day_is,worst_day_oos,worst_day_full,sharpe_is,sharpe_oos,liq_is,liq_oos,liq_full,liq_dates_full,trades_full,trades_oos,imr_rejects_full,okx_openable,avg_util_lev_full,funding_full,interest_full,fees_full,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
i_always_BTCETH_splitmargin,5,"{""L"": 5, ""mode"": ""always"", ""band"": 0.2, ""margin"": ""separate accounts, daily transfer""}",-0.71550287942175,-0.5387393453769833,0.981149067197262,0.8133220309944773,0.995440321023547,-0.28250375267206096,-0.06959527025933643,-0.28250375267206096,-3.222860488973589,-4.265840882342844,72,32,103,2022-01-05 22;2022-01-21 23;2022-01-24 10;2022-01-26 14;2022-02-04 15;2022-02-15 23;2022-02-17 21;2022-02-24 05;2022-02-25 23;2022-02-28 16;2022-05-05 19;2022-05-09 17;2022-05-11 19;2022-05-18 23;2022-05-26 13;2022-05-30 21;2022-06-01 20;2022-06-11 15;2022-06-13 00;2022-06-15 07,456,142,0,True,4.678149005655092,0.11763926709682247,0.05207086091477416,0.16499757399914913,-0.8725386142912457,-0.42991952440570314,-0.6833750316682079,-0.5698319968432912,-0.3193186246384774
i_always_BTCETH,8,"{""L"": 8, ""mode"": ""always"", ""band"": 0.2, ""borrow"": ""okx"", ""stress"": ""mark"", ""fees"": ""taker""}",0.2563613413720569,0.0051788421496477,0.09831671962076538,0.1017835479550998,0.10117419983235043,-0.02545077751171687,-0.015077050905300204,-0.02545077751171687,5.1295105535403875,0.19788986712966516,0,0,0,,156,62,0,True,7.959165170526002,3.8136744265465436,2.543505683741421,0.2192669983666473,0.03503560646093096,0.3851906507234071,0.38339656172411973,0.06698234026092043,-0.039864698564189505
i_always_BTCETH_borrow5,8,"{""L"": 8, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.05}",0.2644361038129204,-0.07184043815842567,0.23819453146714598,0.1639264199358541,0.23819453146714598,-0.029778711848677197,-0.014710400680014502,-0.029778711848677197,4.246280434056454,-2.5736281697646146,0,0,0,,148,50,0,True,7.976696064661089,3.3635790075250687,2.348071530341072,0.18489354168053473,-0.19502119757434588,0.3223438450769134,0.8994661826058241,0.03243800460324908,-0.13262903868466358
i_always_BTCETH_borrow8,8,"{""L"": 8, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.08}",0.03198512294592559,-0.25462650367942774,0.3920853254130702,0.392250155132959,0.3920853254130702,-0.028365018763590655,-0.015260382915239568,-0.028365018763590655,0.6142567716054309,-10.204958175766034,0,0,0,,152,54,0,True,8.012808918975738,2.066802490916595,2.242514750525821,0.12548272295471039,-0.33489272776269363,0.08097484029841939,0.5287004252396039,-0.16558718829760488,-0.24815432821871497
i_always_BTCETH_borrow12,8,"{""L"": 8, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.12}",-0.23220600914359468,-0.44485161670249473,0.6515050212981224,0.6253024505492674,0.8236017517443966,-0.02931197208222791,-0.015993756939538528,-0.02931197208222791,-4.803012374899723,-20.307249215890852,0,0,0,,162,60,0,True,8.086495622204643,1.0792337198636726,1.8070577648805342,0.08436976601129696,-0.5057087215896114,-0.2043441397432203,0.15066093027906868,-0.36496833767623316,-0.3849067103242968
i_always_BTCETH_rawpremiumstress,8,"{""L"": 8, ""mode"": ""always"", ""band"": 0.2, ""stress"": ""raw premium index""}",0.2563613413720569,0.0051788421496477,0.3763314590610636,0.14442200644142877,0.3763314590610636,-0.02545077751171687,-0.015077050905300204,-0.02545077751171687,5.1295105535403875,0.19788986712966516,0,0,0,,156,62,0,True,7.959165170526002,3.8136744265465436,2.543505683741421,0.2192669983666473,0.03503560646093096,0.3851906507234071,0.38339656172411973,0.06698234026092043,-0.039864698564189505
i_always_BTCETH_makerfees,8,"{""L"": 8, ""mode"": ""always"", ""band"": 0.2, ""maker"": true, ""fees"": ""maker""}",0.26436864345495437,0.015693608962243033,0.09682541028364922,0.09921565600404847,0.09682541028364922,-0.025439923763382888,-0.01107697282813902,-0.025439923763382888,5.362552993205183,0.6128991954264296,0,0,0,,150,62,0,True,7.950517468358679,3.879798609385062,2.59667742817348,0.15951478821715334,0.04898783981398491,0.39018618705094266,0.3862688231425977,0.07570723049073846,-0.03230723971089777
i_always_BTCETH_splitmargin,8,"{""L"": 8, ""mode"": ""always"", ""band"": 0.2, ""margin"": ""separate accounts, daily transfer""}",-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-7.669926604754937,-6.565855466610134,100,115,100,2022-01-05 20;2022-01-07 04;2022-01-08 17;2022-01-10 14;2022-01-12 15;2022-01-17 21;2022-01-20 16;2022-01-21 21;2022-01-24 09;2022-01-26 11;2022-01-27 21;2022-01-31 16;2022-02-02 21;2022-02-04 08;2022-02-07 15;2022-02-10 23;2022-02-15 08;2022-02-17 13;2022-02-20 21;2022-02-24 03,400,460,0,True,1.0474378375087632,0.021660885301570194,0.004632192656582031,0.15794714348703098,-1.0,0.0,0.0,0.0,0.0
i_always_BTCETH,10,"{""L"": 10, ""mode"": ""always"", ""band"": 0.2, ""borrow"": ""okx"", ""stress"": ""mark"", ""fees"": ""taker""}",0.3150126084930285,0.0032985508688456733,0.12838002628567802,0.12213373261562255,0.12838002628567802,-0.03315031235293753,-0.018892265159204058,-0.03315031235293753,4.9008975794387934,0.11471836016204912,0,0,0,,138,52,33,False,9.960813058863165,5.257703272426354,3.6327079317735715,0.2714863216323,0.039145611523055734,0.4835681981153648,0.4753234000084845,0.0741969090158241,-0.04905899874636632
i_always_BTCETH_borrow5,10,"{""L"": 10, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.05}",0.3156694737204728,-0.0999513203924115,0.2947275641174141,0.20727704413521153,0.2947275641174141,-0.03192624582685277,-0.018420822545403226,-0.03192624582685277,4.120269789073465,-2.8987889832122877,0,0,0,,166,50,40,False,9.971559161665322,4.408740260838567,3.2006777537885642,0.2717813471501692,-0.2438751342279062,0.401045563172598,1.1501866781679593,0.017685264362800268,-0.17082333782879267
i_always_BTCETH_borrow8,10,"{""L"": 10, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.08}",0.005545510594842984,-0.3136207173186333,0.4935687774154801,0.47273459555344866,0.4935687774154801,-0.0336187095194338,-0.019127995335038506,-0.0336187095194338,0.11648912662111542,-10.584164465384914,0,0,0,,164,46,32,False,10.044857363476275,2.296581728549808,2.5832938784583286,0.15278975398568082,-0.423023238971977,0.06526826734343527,0.6542057510993518,-0.20811477104463827,-0.3130831577609767
i_always_BTCETH_borrow12,10,"{""L"": 10, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.12}",-0.3015470186705129,-0.5364188824837061,0.7460129660118122,0.7226151948897224,0.9026009506049044,-0.03680008971790849,-0.020070975167870486,-0.03680008971790849,-5.2780512080185895,-21.391056396691663,0,0,0,,170,60,26,False,10.154425096830886,1.0548761348292068,1.8552842147887603,0.0952344092805146,-0.5989808892136441,-0.265343741806806,0.15626024004537342,-0.4599118045340356,-0.46911957962089135
i_always_BTCETH_rawpremiumstress,10,"{""L"": 10, ""mode"": ""always"", ""band"": 0.2, ""stress"": ""raw premium index""}",-0.20417442190247548,0.0032985508688456733,0.8502926775923073,0.1727604057405674,0.8502926775923073,-0.7729880265077926,-0.018892265159204058,-0.7729880265077926,0.02200639060930946,0.11471836016204912,1,0,1,2023-01-14 00,148,52,37,False,9.921078350651396,1.3921828665318154,0.9168154474566467,0.12259095306933444,0.039145611523055734,-0.6646056326898122,0.4459511506842846,0.07234413944420814,-0.04707705984060773
i_always_BTCETH_makerfees,10,"{""L"": 10, ""mode"": ""always"", ""band"": 0.2, ""maker"": true, ""fees"": ""maker""}",0.323811796381424,0.013828142342282135,0.1213987702430005,0.11987313179423764,0.1213987702430005,-0.03188716434286043,-0.013892167562747915,-0.03188716434286043,5.1783371442404516,0.45091779326900777,0,0,0,,140,52,35,False,9.848907376386208,5.330427040152227,3.6803079327592263,0.19875230041459058,0.058242239580675204,0.48042366186890906,0.4811226229819694,0.08391161684262483,-0.03779819711392529
i_always_BTCETH_splitmargin,10,"{""L"": 10, ""mode"": ""always"", ""band"": 0.2, ""margin"": ""separate accounts, daily transfer""}",-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-10.884680663789075,-9.170016338860014,86,84,86,2022-01-04 14;2022-01-05 19;2022-01-07 03;2022-01-08 17;2022-01-10 13;2022-01-11 16;2022-01-14 00;2022-01-17 17;2022-01-20 15;2022-01-21 20;2022-01-23 09;2022-01-24 10;2022-01-26 09;2022-01-27 20;2022-01-31 15;2022-02-02 15;2022-02-04 06;2022-02-07 14;2022-02-09 19;2022-02-11 00,344,336,86,False,0.5964718315110761,0.01867078575692647,0.0032350940107784875,0.18383932420755833,-1.0,0.0,0.0,0.0,0.0
