rule,family,L,period,cfg_id,cfg,cagr,maxdd,worst_day,worst_intraday,sharpe,liq,trades,per_year,coin_cagr
S1_bestIS_CAGR_at_L,wick,10,OOS,227,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 0.3, ""stop"": 0.5, ""hold"": 240, ""side"": ""long""}",-0.2941451213941946,0.628712437348454,-0.1888317667852198,-0.3305856548231283,-0.6846552710656502,0,323,"{""2025"": -0.4735, ""2026"": 0.0636}","{""BTC"": -0.4392, ""ETH"": -0.3541, ""SOL"": -0.3435, ""XRP"": 0.3964, ""DOGE"": -0.6782, ""AVAX"": -0.2808, ""LINK"": -0.7564}"
S1_bestIS_CAGR_at_L,wick,15,IS,227,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 0.3, ""stop"": 0.5, ""hold"": 240, ""side"": ""long""}",-0.6671109380393496,0.97769739161872,-0.5132354435934228,-0.5530787365367841,-0.8356595023835998,7,889,"{""2022"": -0.1347, ""2023"": -0.8628, ""2024"": -0.6895}","{""BTC"": -0.8177, ""ETH"": -0.4849, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,wick,15,OOS,227,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 0.3, ""stop"": 0.5, ""hold"": 240, ""side"": ""long""}",-0.4748092391016691,0.7848599993504751,-0.3025254506809185,-0.4565885110537789,-0.7073402231915016,1,323,"{""2025"": -0.6275, ""2026"": -0.0811}","{""BTC"": -0.6034, ""ETH"": -0.5546, ""SOL"": -0.5705, ""XRP"": 0.4064, ""DOGE"": -1.0, ""AVAX"": -0.8242, ""LINK"": -0.8511}"
S1_bestIS_CAGR_at_L,wick,20,IS,249,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 0.5, ""hold"": 30, ""side"": ""long""}",-0.8485079544634742,0.99852636408025,-0.6114401978775446,-0.6114401978775443,-1.3718303277750523,11,533,"{""2022"": -0.6801, ""2023"": -0.9771, ""2024"": -0.5265}","{""BTC"": -0.8199, ""ETH"": -0.7235, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,wick,20,OOS,249,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 0.5, ""hold"": 30, ""side"": ""long""}",-0.7723433763017185,0.9383996769733592,-0.4868254275121068,-0.5970548429238882,-1.2436426933438398,9,185,"{""2025"": -0.9055, ""2026"": -0.0994}","{""BTC"": -0.0346, ""ETH"": -0.5494, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1,grid,1,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",0.1606433177655,0.1561556202133095,-0.0988915150894026,-0.153124520733715,1.3050069155440964,0,43675,"{""2022"": 0.1985, ""2023"": 0.0781, ""2024"": 0.2102}","{""BTC"": 0.0564, ""ETH"": 0.0803, ""SOL"": 0.2584, ""XRP"": -0.0288, ""DOGE"": 0.3379, ""AVAX"": 0.1331, ""LINK"": 0.1994}"
S2_bestIS_Sharpe_L1,grid,1,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",0.0113777204527061,0.3744163138604638,-0.0651786930087916,-0.3440099683471996,0.165714880897202,0,16580,"{""2025"": -0.0157, ""2026"": 0.0353}","{""BTC"": 0.0242, ""ETH"": -0.0195, ""SOL"": 0.0815, ""XRP"": 0.0269, ""DOGE"": 0.0058, ""AVAX"": -0.0589, ""LINK"": 0.0114}"
S2_bestIS_Sharpe_L1,grid,3,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",0.3892816512844947,0.402183253668444,-0.2133234603534713,-0.3696715618157272,1.155275633450626,6,41712,"{""2022"": 0.5303, ""2023"": 0.2359, ""2024"": 0.4181}","{""BTC"": 0.1683, ""ETH"": 0.2363, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": 0.3541, ""LINK"": 0.6261}"
S2_bestIS_Sharpe_L1,grid,3,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.349375418763734,0.7663117793569515,-0.5648846566443727,-0.7247140175233828,-0.4421650800334512,4,16102,"{""2025"": -0.5562, ""2026"": 0.1016}","{""BTC"": 0.0707, ""ETH"": -0.085, ""SOL"": 0.2311, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S2_bestIS_Sharpe_L1_chosenL,grid,5,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",0.6575216817075544,0.6481322461904504,-0.3416102231895939,-0.5656020283793195,1.220414904741456,11,39915,"{""2022"": 0.6629, ""2023"": 0.3565, ""2024"": 1.0194}","{""BTC"": 0.2757, ""ETH"": 0.3737, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
