sym,inst,entry_time,oos,bn_ret,reason,notional,entry_px,okx_live_now,ctVal,lotSz,minSz,lever,tier1_maxSz,tier1_mmr,okx_entry,okx_exit,okx_ret,okx_reason,entry_gap_bp
SAHARAUSDT,SAHARA-USDT-SWAP,2025-06-29 12:00:00,True,0.2298406566875905,end,0.1856436550320683,0.10355,True,10.0,1.0,1.0,20.0,100000.0,0.02,0.10317,0.07974,0.22710090142483275,end,-36.69724770642202
TREEUSDT,TREE-USDT-SWAP,2025-08-01 14:00:00,True,0.2064128256513027,end,0.2113404641617262,0.5489,False,,,,,,,,,,,
USELESSUSDT,USELESS-USDT-SWAP,2025-08-18 12:00:00,True,0.2555856465809072,end,0.2061832853075154,0.2954,True,10.0,1.0,1.0,10.0,10000.0,0.02,0.2952,0.2197,0.2557588075880759,end,-6.7704807041291115
WLFIUSDT,WLFI-USDT-SWAP,2025-08-26 08:00:00,True,-0.105050505050505,end,0.1634287653189723,0.2475,True,10.0,1.0,1.0,50.0,30000.0,0.01,0.2513,0.2798,-0.1134102666136092,end,153.53535353535452
LINEAUSDT,LINEA-USDT-SWAP,2025-09-04 08:00:00,True,-0.0759089093088294,end,0.2309997714981581,0.02503,True,100.0,1.0,1.0,50.0,12000.0,0.01,0.02515,0.02695,-0.07157057654075549,end,47.94246903715438
BARDUSDT,BARD-USDT-SWAP,2025-09-21 11:00:00,True,-0.0053216763280434,end,0.2703697988985966,1.0523,True,1.0,1.0,1.0,20.0,35000.0,0.02,1.0531,1.0586,-0.005222675909220431,end,7.602394754346875
XANUSDT,XAN-USDT-SWAP,2025-10-02 10:00:00,True,-0.0149922296370783,end,0.1188047144827451,0.10939,False,,,,,,,,,,,
EDENUSDT,EDEN-USDT-SWAP,2025-10-03 11:00:00,True,-0.0323634204275535,end,0.1594627680836121,0.3368,True,1.0,1.0,1.0,20.0,220000.0,0.02,0.3368,0.3477,-0.03236342042755358,end,0.0
2ZUSDT,2Z-USDT-SWAP,2025-10-05 12:00:00,True,0.2030146879818226,end,0.1734644914825,0.49292,True,10.0,1.0,1.0,20.0,18000.0,0.02,0.4931,0.393,0.20300141959034668,end,3.651708187939473
MONUSDT,MON-USDT-SWAP,2025-10-13 07:00:00,True,0.1967173545739803,end,0.1458404325556454,0.08286,True,10.0,1.0,1.0,50.0,28000.0,0.01,0.08278,0.0668,0.19304179753563666,end,-9.654839488293376
YBUSDT,YB-USDT-SWAP,2025-10-13 14:00:00,True,0.6440457242077847,end,0.090258913588427,1.3822,True,1.0,1.0,1.0,20.0,25000.0,0.02,1.3748,0.4931,0.6413296479487925,end,-53.53783822891089
METUSDT,MET-USDT-SWAP,2025-10-14 12:00:00,True,0.2986230636833047,end,0.2546353899758086,1.3944,True,1.0,1.0,1.0,20.0,48000.0,0.02,1.3982,0.9801,0.2990273208410814,end,27.251864601263165
ZBTUSDT,ZBT-USDT-SWAP,2025-10-20 11:00:00,True,0.2060363412380659,end,0.2046447786394459,0.3247,True,1.0,1.0,1.0,10.0,62000.0,0.05,0.3254,0.258,0.2071296865396436,end,21.558361564522066
BLUAIUSDT,BLUAI-USDT-SWAP,2025-10-24 11:00:00,True,-0.5,stop,0.115639009210182,0.02298,False,,,,,,,,,,,
TURTLEUSDT,TURTLE-USDT-SWAP,2025-10-25 15:00:00,True,0.1751018033740545,end,0.2106813234605812,0.1719,False,,,,,,,,,,,
APRUSDT,APR-USDT-SWAP,2025-10-26 10:00:00,True,0.2527945421149304,end,0.0899005162372727,0.3811,True,10.0,1.0,1.0,20.0,2500.0,0.02,0.38114,0.28407,0.2546833184656556,end,1.0495932826026788
KITEUSDT,KITE-USDT-SWAP,2025-11-01 10:00:00,True,0.3585662789906821,end,0.1708047056928172,0.14703,True,10.0,1.0,1.0,10.0,5800.0,0.02,,,,,
ATUSDT,AT-USDT-SWAP,2025-11-01 11:00:00,True,0.0891884141095498,end,0.1794778811318259,0.3487,True,10.0,1.0,1.0,20.0,820.0,0.02,0.3483,0.52245,-0.5,stop,-11.471178663607917
CCUSDT,CC-USDT-SWAP,2025-11-03 12:00:00,True,0.111854103343465,end,0.266494504871223,0.1645,True,10.0,1.0,1.0,20.0,10000.0,0.02,0.16344,0.14584,0.1076847772883015,end,-64.4376899696053
MMTUSDT,MMT-USDT-SWAP,2025-11-07 12:00:00,True,0.0207720948461689,end,0.0799563419676893,0.5103,True,10.0,1.0,1.0,20.0,5500.0,0.02,0.513,0.501,0.023391812865497075,end,52.910052910053466
TRUSTUSDT,TRUST-USDT-SWAP,2025-11-08 09:00:00,True,0.2033582089552238,end,0.117260270366422,0.2144,True,10.0,1.0,1.0,10.0,10000.0,0.05,0.2134,0.171,0.19868791002811614,end,-46.641791044775836
ALLOUSDT,ALLO-USDT-SWAP,2025-11-14 14:00:00,True,0.3133281371784879,end,0.1988240578535715,0.2566,True,10.0,1.0,1.0,20.0,6500.0,0.02,0.2569,0.1763,0.3137407551576489,end,11.691348402183
BEATUSDT,BEAT-USDT-SWAP,2025-11-15 12:00:00,True,0.0176899494572874,end,0.138104303960159,0.48276,True,10.0,0.1,0.1,10.0,10000.0,0.02,0.48153,0.47339,0.01690445039769073,end,-25.47849863286156
