per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
IS,IMXUSDT,2022-05-12 07:22:00+00:00,1,634.304568396596,603.2345095928654,604.6974011496792,584.2534665421157,601.7720203161454,629.6282676811843,642.8743276410371
IS,NEARUSDT,2022-05-12 07:18:00+00:00,1,758.987950383804,1367.6885906360437,1367.6885906360437,1367.6885906360437,1365.5243064684144,1144.8596252966292,794.2638529056135
IS,FETUSDT,2023-12-11 02:13:00+00:00,1,556.593832977525,484.2325843603199,368.57487126259895,472.9999180666475,625.5415239027905,756.4818368201463,572.6792871635244
IS,ENSUSDT,2024-02-28 17:32:00+00:00,1,338.38679170949,1085.4447371075935,1155.958228297772,1001.1733219157746,948.7868440322554,838.1060794514071,382.307149722395
IS,IMXUSDT,2023-08-17 21:44:00+00:00,1,376.77293859961105,212.15158057757964,212.15158057757964,257.89069221307176,234.97026805986627,193.21323540391052,379.91933198928
IS,ICPUSDT,2023-06-10 04:25:00+00:00,1,-95.705939131055,-440.0593501565305,-440.0593501565305,-412.5522136240275,-329.0767992912876,-412.5522136240275,-99.23127974788522
IS,AXSUSDT,2024-04-13 19:57:00+00:00,1,417.71824226444,508.4531645481218,500.5425417716848,492.64379324138315,422.085015740883,425.20085019748035,425.20085019748035
IS,ATOMUSDT,2024-04-13 20:09:00+00:00,1,310.297472820198,244.94596642761678,242.13002232722516,242.13002232722516,415.3186255730248,448.90122456522374,327.28510538518464
IS,GALAUSDT,2022-05-11 13:07:00+00:00,1,-377.564879129774,-423.21296024791684,-430.1282258970324,-468.670469899743,-333.80944555486076,-364.7289979824293,-368.9300285541559
IS,STORJUSDT,2024-01-03 12:09:00+00:00,1,435.84831611734,236.18815917609592,404.12230031525917,602.0185718782287,132.77942837436083,-217.66901592878108,489.1662932966277
IS,BLURUSDT,2024-03-05 19:57:00+00:00,1,235.23724984765002,832.675035822538,876.0127014833589,935.6699841834308,1075.3907782190158,840.5289682295695,284.9228724099755
