per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,XPLUSDT,2025-10-09 02:37:00+00:00,1,233.68940207368598,131.67537579988257,120.39528090273447,111.63919539356496,104.14600979894466,230.49801990879385,240.74260678198536
OOS,WLFIUSDT,2025-10-10 15:32:00+00:00,1,573.166662886951,908.1771221443519,900.2132904226739,900.2132904226739,666.5810516832466,628.6109697653936,590.9097977761407
OOS,FARTCOINUSDT,2025-10-10 20:56:00+00:00,1,-2022.3467773446791,-2295.0704273113247,-2275.255134286546,-2302.1228390832975,-2232.450607105905,-1928.3816231077392,-1985.2767017404863
OOS,PUMPUSDT,2025-10-10 21:00:00+00:00,1,-1510.794309969904,-1462.3305206255952,-1425.2889498417796,-1548.135997841905,-1584.1301187418342,-1646.390475761632,-1493.5661328762594
OOS,LINEAUSDT,2025-10-10 21:00:00+00:00,1,-2368.804809448055,-2371.996150701485,-2379.411352878927,-2386.812212305543,-2401.571069038546,-2430.91848800378,-2357.1225509941105
OOS,AVNTUSDT,2025-10-10 21:00:00+00:00,1,-2748.480317173782,-2811.0553311011563,-2816.098846669458,-2812.0645986821446,-2832.190813529571,-2855.1975596412135,-2734.546797423638
OOS,SOLUSDT,2025-10-10 21:13:00+00:00,1,26.837215702640002,-69.45308153465433,-45.52098655117118,19.404348859901198,91.75060134653816,280.95560735440023,46.48043523296911
OOS,FARTCOINUSDT,2025-10-16 09:35:00+00:00,1,381.934755485137,564.9329320685802,529.106140892308,469.02565536676804,433.8442144584407,393.5424372818661,390.8667003409059
OOS,FARTCOINUSDT,2025-10-22 21:12:00+00:00,1,62.198122044,188.26667315085757,153.3361400442413,150.1724896118784,124.93396031715845,150.1724896118784,68.6028244684345
OOS,FARTCOINUSDT,2025-10-27 07:40:00+00:00,1,-28.397112731487,-53.105147074389706,-35.54824700630996,-40.570813926055635,-38.06016239458129,-38.06016239458129,-22.969678769170635
OOS,DOGEUSDT,2025-10-29 18:36:00+00:00,1,-46.128382990391,79.97935582307008,83.69210955196954,61.98473356310091,14.136702224849696,-17.163724303152883,-38.44025055003014
OOS,FARTCOINUSDT,2025-10-29 18:36:00+00:00,1,-31.149999999999,135.8120373179119,133.11433220703958,122.33783079280823,50.19064464487542,34.29713139366039,-13.083766319113924
