coin,t,te,tx,d,typ,prio,gross,perp_leg,hedge_leg,cost,fund,net,rank,pe,px,he,hx,ei,cost_e,nlegs,acc,dt,year
177,28404728,28404729,28404737,1,1,0.014666059985756874,0.1620085309359811,0.1620085309359811,0.0,0.00625,-0.0,0.1557585309359811,4,4.14386,4.29401,4.15426,4.2966500000000005,18851364,0.00471,1,True,2024-01-03 12:09:00+00:00,2024
22,28404728,28404729,28404734,1,1,0.013949659653007984,0.06231448051838373,0.06231448051838373,0.0,0.01069,-0.0,0.05162448051838373,60,-2.29165,-2.2312000000000003,-2.2867200000000003,-2.22934,2750218,0.00875,1,True,2024-01-03 12:09:00+00:00,2024
223,28404728,28404729,28404731,1,1,0.013824256137013435,0.05355483161173402,0.05355483161173402,0.0,0.009970000000000001,-0.0,0.04358483161173402,40,-0.6379,-0.5857300000000001,-0.63488,-0.58501,22219907,0.006430000000000001,1,True,2024-01-03 12:09:00+00:00,2024
97,28404730,28404731,28404736,1,1,0.020996175706386566,0.10344819551641393,0.10344819551641393,0.0,0.005300000000000001,-0.0,0.09814819551641393,34,-0.9755100000000001,-0.87707,-0.96996,-0.87611,11855845,0.0033650000000000004,1,True,2024-01-03 12:11:00+00:00,2024
5,28485691,28485692,28485693,1,1,0.06761590391397476,0.044689800788560774,0.044689800788560774,0.0,0.009355,-0.0,0.03533480078856077,34,-14.540310000000002,-14.496590000000001,-14.540970000000002,-14.493100000000002,882791,0.0055,1,True,2024-02-28 17:32:00+00:00,2024
148,28485691,28485692,28485696,1,1,0.024748632684350014,0.0394378103259605,0.0394378103259605,0.0,0.006630000000000001,-0.0,0.032807810325960494,32,1.43723,1.47591,1.43984,1.4754500000000002,16755955,0.0049700000000000005,1,True,2024-02-28 17:32:00+00:00,2024
54,28485691,28485692,28485714,1,1,0.01618110202252865,0.0770329586706262,0.0770329586706262,0.0,0.005675,-0.0,0.0713579586706262,24,-0.38141,-0.30720000000000003,-0.38024,-0.30706000000000006,6029295,0.004345,1,True,2024-02-28 17:32:00+00:00,2024
84,28485691,28485692,28485694,1,1,0.014955789782106876,0.042508679170949026,0.042508679170949026,0.0,0.00867,-0.0,0.03383867917094903,22,2.99548,3.03711,2.9957800000000003,3.0386,10214018,0.005755000000000001,1,True,2024-02-28 17:32:00+00:00,2024
26,28485691,28485692,28485696,1,1,0.014476479962468147,0.029023197160849445,0.029023197160849445,0.0,0.00665,-0.0,0.022373197160849446,44,0.56361,0.5922200000000001,0.56361,0.5933300000000001,3022454,0.0050550000000000005,1,True,2024-02-28 17:32:00+00:00,2024
3,28485692,28485693,28485732,1,1,0.021292993798851967,0.06031920544125624,0.06031920544125624,0.0,0.00804,-0.0,0.05227920544125624,59,-9.06719,-9.00862,-9.0639,-9.006580000000001,553267,0.0065450000000000005,1,True,2024-02-28 17:33:00+00:00,2024
