name,N,lbs,kind,hl,band,sharpe_is,sharpe_oos,cagr_is,cagr_oos,vol_is,vol_oos,maxdd_close_is,maxdd_close_oos,gross_is,turnover_is,cost_is,fund_is,cost_oos,fund_oos,sharpe_is_precost,sharpe_oos_precost,sum_2022,sum_2023,sum_2024,sum_2025,sum_2026
N20_short_z_hl60_b0.5,20,short,z,60,0.5,0.29485158443811005,0.48900667985135055,0.03990381404119092,0.07818857873151197,0.20102634700150585,0.19126011776366858,0.2552010719684825,0.2054896211030246,0.39483713878798,44.030439434356126,0.03814038276934479,-0.014062713655845787,0.03819511867957322,0.00430041205896961,0.48440927354086555,0.6881237675365136,0.017221561853727092,0.17581474207056125,-0.015055101534670719,-0.018635284235152216,0.17442899630846365
N40_all_z_hl60_b0.0,40,all,z,60,0.0,0.2925462045850945,0.4459104000813561,0.03968624161217216,0.07033034317078735,0.20369653065696644,0.1948814327682639,0.2461525216143845,0.17913168254493694,0.41913179266151074,52.08988721522575,0.056016938753892784,-0.008964057234113955,0.05788240083346784,-0.004743973776817053,0.5675794039737544,0.7421058584545704,0.09400917057703562,0.10085802094390972,-0.01593198868201877,0.026202514392977896,0.1185508879459472
N40_all_z_hl20_b0.0,40,all,z,20,0.0,0.28404092234923817,0.4641919322207743,0.03788555337733057,0.07537973094276729,0.20373340924966477,0.19911059224919464,0.24542912236599967,0.15692629242775924,0.42247887642535364,53.542897633621436,0.05763840440463368,-0.012817634307900333,0.0611974892780126,-0.006735978927553652,0.5668961589897441,0.770655116277062,0.10426927612330679,0.09091869237905469,-0.021423547893084618,0.06600943855613566,0.08794870546961796
N20_long_z_hl60_b0.5,20,long,z,60,0.5,0.24968840000933282,0.44744670321515617,0.03018078019927173,0.0685775836079614,0.19472954397651523,0.18747590061592986,0.2821374825458408,0.17506975845440242,0.39902151211281395,20.48234122405857,0.017994268019616524,-0.01649107428470944,0.014823655257351865,0.018853703742583862,0.34205233469353435,0.5261721410941808,0.0523161835873156,0.04996182715678674,0.043720324225670994,0.032705090948860656,0.10702742408411792
N20_short_z_hl60_b0.0,20,short,z,60,0.0,0.23956155658387274,0.5573064054783605,0.02856810927840514,0.0932621695455138,0.20540773086452194,0.1933404619490039,0.24546892919665553,0.16903666063710887,0.40067132412854295,59.095867495757744,0.05145309871922005,-0.014217038505603895,0.05193082665811086,0.001221284002954507,0.4898772641469625,0.8252140276193339,-0.007610931682520531,0.1641897436082969,-0.008820608826237713,-0.010989011851913748,0.19047373994082792
N40_long_z_hl60_b0.0,40,long,z,60,0.0,0.22798309983256018,0.5640459041323905,0.026204239448950783,0.09448718976717241,0.2076200081248119,0.1929806098077373,0.3233319212597071,0.16199876641091582,0.4238886578421065,36.82117852227021,0.03964002136054509,-0.010266016762021615,0.036877019206886345,0.006452924960500384,0.41881355415741733,0.7544247781481562,0.1218599252621106,-0.04465179734387093,0.06492311298957765,0.0671823378839163,0.11413479335917236
N40_long_sign_hl60_b0.5,40,long,sign,60,0.5,0.22552113149710476,0.7399582010056431,0.0254682395522281,0.127521396603969,0.19916783898081003,0.18525805643862717,0.3162004672707661,0.14273862571446871,0.45897570520061526,41.9369889270367,0.045070712337933264,-0.012375745433221461,0.04156303834418042,0.006230924218716147,0.4517066051865661,0.9631119829241533,0.045826041493005704,0.007569635861948548,0.08147705091804541,0.10983501720141832,0.11851182291855462
N40_long_z_hl20_b0.5,40,long,z,20,0.5,0.22552091504093746,0.7019831017220948,0.025407338030289495,0.11697980114758111,0.19707458598127106,0.18079260863274577,0.3160483350352674,0.13951052938211772,0.40994387761485485,23.275324362168,0.02486411507681013,-0.01411622171477636,0.022791240647713585,0.0051772882933313405,0.35158973215677,0.8273257011244545,0.12251179014529312,-0.0710447413911584,0.08198803972297197,0.1422435827762149,0.06916277490947753
N40_short_sign_hl60_b0.5,40,short,sign,60,0.5,0.22393955247683497,0.06888755313984943,0.02527088122190002,-0.004333194815428487,0.20646317662003194,0.18539722293488914,0.27183814987668575,0.16554214037962922,0.4591746772709023,74.9569091748715,0.08065011051860382,-0.011939383107992259,0.07934762882680972,-0.011363097264659417,0.614916120155798,0.4961944988219542,0.08011495533458945,0.10506135443571551,-0.04634382366822739,0.05751586890552874,-0.03624159735341951
N30_long_z_hl60_b0.0,30,long,z,60,0.0,0.21654666107714993,0.37152507410530033,0.02371748927422246,0.05445787140037184,0.2042986556652282,0.19254634851025476,0.31760028340632596,0.17256104727691746,0.4152232362461344,34.93897946855994,0.03526159424753228,-0.008680942100581457,0.03129208622201479,0.009692402062075268,0.38909039920929717,0.5337523947816628,0.07814004771213241,-0.016182563217195828,0.07088429675041581,0.025901436272917085,0.09325956156428364
