tsmom,scheme,sharpe_cis,sharpe_oos,y2025,y2026,tsmom_sharpe_oos
N30_short_sign_hl60_b0.5,inv_vol_book_tsmom,1.448446332954018,1.5482351669789172,0.3558172680726466,-0.043353794369958565,0.36703848800373146
N30_short_sign_hl60_b0.5,equal_capital_3,1.8434117832778385,1.32394470977804,0.19773467369470032,-0.01332726936186146,0.36703848800373146
N30_short_z_hl20_b0.0,inv_vol_3,9.388440220688599,4.709333161189506,0.07250931379284808,0.010797093904118649,0.6164051869476235
N30_short_z_hl20_b0.0,inv_vol_book_tsmom,1.3744169358559608,1.6957415590864202,0.33659692725576407,-0.0033714192908571583,0.6164051869476235
N30_short_z_hl20_b0.0,equal_capital_3,1.7485404293162259,1.5210402352817087,0.1794822672454408,0.02990935528863181,0.6164051869476235
N30_short_z_hl20_b0.5,inv_vol_3,9.50971006368119,4.787956796216364,0.0733287605616828,0.009925972312476272,0.6406006421325416
N30_short_z_hl20_b0.5,inv_vol_book_tsmom,1.4784031363860874,1.72212801421913,0.3470893386218503,-0.012260626991776546,0.6406006421325416
N30_short_z_hl20_b0.5,equal_capital_3,1.8861743703417697,1.5725676338247037,0.18974744974037838,0.020035695369881257,0.6406006421325416
N30_short_z_hl60_b0.0,inv_vol_3,9.545052473126493,4.633861913713915,0.0703985034763075,0.011503655933672308,0.4891070301215487
N30_short_z_hl60_b0.0,inv_vol_book_tsmom,1.5822591652852687,1.6108100593112207,0.3080557344554815,0.00406656561121066,0.4891070301215487
N30_short_z_hl60_b0.0,equal_capital_3,2.0234593258620923,1.415681226156591,0.154380690871198,0.03736378200643564,0.4891070301215487
N30_short_z_hl60_b0.5,inv_vol_3,9.592696478512208,4.721979376014702,0.07090171626589115,0.011735987971821737,0.5797311776485379
N30_short_z_hl60_b0.5,inv_vol_book_tsmom,1.6255250067687066,1.6723957054287761,0.31397562463491147,0.0066258659550568755,0.5797311776485379
N30_short_z_hl60_b0.5,equal_capital_3,2.0841988592939127,1.510995449597926,0.1607252026496977,0.03960692234861374,0.5797311776485379
N30_long_sign_hl20_b0.0,inv_vol_3,9.60911891052885,4.768845651427142,0.07461104396531781,0.010146102314621874,0.7467245333898206
N30_long_sign_hl20_b0.0,inv_vol_book_tsmom,1.4312257845757042,1.7797991739672705,0.3592222725602685,-0.009917369796959119,0.7467245333898206
N30_long_sign_hl20_b0.0,equal_capital_3,1.844702589148192,1.656240457826853,0.20489337786779438,0.020333881767957696,0.7467245333898206
N30_long_sign_hl20_b0.5,inv_vol_3,9.651512837895735,4.774919815960592,0.07437213374413965,0.010086454434717007,0.7275246259810002
N30_long_sign_hl20_b0.5,inv_vol_book_tsmom,1.4917335590452192,1.7735669199159387,0.35412867601898346,-0.010365901332060612,0.7275246259810002
N30_long_sign_hl20_b0.5,equal_capital_3,1.9328906739052647,1.6582671356173664,0.2020083840663882,0.018989528879956863,0.7275246259810002
N30_long_sign_hl60_b0.0,inv_vol_3,9.659136726247699,4.689527778959703,0.07349081197501106,0.010066089807216683,0.6244400215904897
N30_long_sign_hl60_b0.0,inv_vol_book_tsmom,1.5043660852159513,1.7016442030839467,0.34407629336350687,-0.0107226325187183,0.6244400215904897
N30_long_sign_hl60_b0.0,equal_capital_3,1.9407981943962425,1.5490799147158898,0.19166694116513816,0.01935888413771769,0.6244400215904897
N30_long_sign_hl60_b0.5,inv_vol_3,9.753002309589938,4.720740213597971,0.07264622294226286,0.010482342755333551,0.5951494091430954
N30_long_sign_hl60_b0.5,inv_vol_book_tsmom,1.5734238148657747,1.6957914834313104,0.33370742919951235,-0.006431835114162121,0.5951494091430954
N30_long_sign_hl60_b0.5,equal_capital_3,2.0258807471998126,1.537029115118898,0.1819009309132935,0.024033732940561325,0.5951494091430954
N30_long_z_hl20_b0.0,inv_vol_3,9.679111713610757,4.623048537735664,0.07390666751386177,0.00889043045232274,0.5565305196008515
N30_long_z_hl20_b0.0,inv_vol_book_tsmom,1.448423252656371,1.6547144980432829,0.3506800537991588,-0.02282672859382817,0.5565305196008515
