mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2025,y2026,period
exCRV,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exSAND,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.0458292276653427,-0.018955943591683844,-0.009198616355166389,1.3938238765708362,0,1,5,0.11722613937766808,0.023327328825083937,-0.002837188500687815,0.08050950669842494,OOS
exAXS,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.00379691191840692,-0.013023979686517917,-0.006496649413430422,0.47622802634294104,0,2,4,0.03193988936246601,0.017876056942389383,0.002310335834568189,0.004008764170873036,OOS
exGALA,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exXLM,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exAPT,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.0348804141777177,-0.02055712762487616,-0.009165756190656182,1.0672366708004426,0,1,5,0.09599193816324228,0.0208044994373228,-0.006888887405284927,0.06607689373695691,OOS
exARB,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exOP,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exSUI,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exINJ,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exSHIB,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exPEPE,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exWIF,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exLDO,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exTIA,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.044230163603816486,-0.0189718953546254,-0.00917151679150452,1.3431755560993273,0,1,5,0.11540697285461883,0.02384417228123723,-0.00012309615173744515,0.07483531080717953,OOS
exBNB,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exAPE,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.04399024390211914,-0.018955943591683844,-0.007720058765312343,1.3717911544794863,0,0,5,0.10376987946971016,0.014892713794429064,-0.002837188500687815,0.07734864719007728,OOS
exDYDX,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exORDI,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exWLD,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exBTC,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exETH,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exSOL,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exXRP,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exDOGE,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exADA,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exLINK,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exAVAX,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.02501448152055752,-0.12324754033341978,-0.03830075805276956,0.4345508714464457,0,3,10,0.15787018368263311,0.11783823311476621,0.0,0.041984607075765235,OOS
exLTC,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exDOT,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exBCH,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exTRX,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exATOM,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exETC,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exFIL,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exNEAR,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exUNI,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exAAVE,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exCRV,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.037170135930159054,-0.10728632356234236,-0.025101457645486658,0.7079416091223,0,3,10,0.156938050771419,0.082006795034544,0.0026485939435350048,0.059827973002010815,OOS
exSAND,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exAXS,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,-0.015387113427170251,-0.09302040904858044,-0.02362086265835539,-0.5973680247215435,0,2,8,0.015982114404602822,0.05216418868693232,0.0026485939435350048,-0.028056682786194886,OOS
exGALA,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exXLM,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exAPT,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,-0.025518118828010916,-0.12047288387936927,-0.03581775236663676,-0.555776198487496,0,3,13,0.0633528904601644,0.11220980213643689,-0.007488869270019682,-0.03488896962923216,OOS
exARB,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exOP,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exSUI,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exINJ,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.027833899784427407,-0.11511545204315576,-0.035887057009496015,0.48343842342131926,0,3,12,0.16525184614477156,0.12012577804602942,0.0026485939435350048,0.04399479086019453,OOS
exSHIB,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exPEPE,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exWIF,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exLDO,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exTIA,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
exBNB,10.0,2025-01-01,,12.0,,720,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,0.0026485939435350048,0.04199255397457624,OOS
