check,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,worst_day_IS,worst_day_OOS,sharpe_OOS,liq_IS,liq_OOS,y2022,y2023,y2024,y2025,y2026,note
funding|intrabar|lag8,20.0,-0.2666118869428691,-0.018094406770214,-0.6171202725287466,-0.268319210961305,-0.1296718355045132,-0.0513345321824352,-0.1599467898027427,0.0,0.0,-0.306610438312859,-0.1241364468180695,-0.3505789139763934,0.0050921442901774,-0.0348533789901864,
spread|intrabar|base,1.0,0.0225699017749219,0.0016225464488359,-0.0660943940235059,-0.0033059852939231,-0.0066893431803646,-0.0008,0.582771689673084,0.0,0.0,0.0671867674306068,0.0019429850412207,0.0,0.0027023685127549,0.0,
spread|intrabar|base,3.0,0.0848285473627148,0.0048564228655392,-0.1317260451203512,-0.0098549611926035,0.0,-0.0023999999999999,0.582902620831784,0.0,0.0,0.2693322671695184,0.0058289551236614,0.0,0.0080971055382648,0.0,
spread|intrabar|base,5.0,0.2508073551060552,0.0080893724436741,-0.2007580041557045,-0.0163439233425797,0.0,-0.004,0.5833019142222208,0.0,0.0,0.9382815399706248,0.009714925206103,0.0,0.0135018425637747,0.0,
spread|intrabar|base,10.0,0.3232946223342847,0.0161417746156797,-0.2284289595957753,-0.0322675280035198,-0.0434117793717262,-0.0080000000000001,0.5841655400859255,0.0,0.0,1.273357930823794,0.0194298504122065,0.0,0.0270136851275493,0.0,
spread|intrabar|base,15.0,0.2122646605867735,-0.0070801945525649,-0.3073208660164224,-0.0120000000000003,-0.0839744022457179,-0.0120000000000003,-0.7588126393980378,0.0,0.0,0.7312269892275993,0.0291447756183098,0.0,-0.011758034869006,0.0,
spread|intrabar|base,20.0,0.1250679812339261,-0.0061822142988657,-0.3650803592738512,-0.0160000000000002,-0.1512670437933851,-0.0160000000000002,-0.4628474453556583,0.0,0.0,0.3708904563661932,0.0388597008244115,0.0,-0.0102698401221205,0.0,
spread|intrabar|spr_delay1,1.0,0.0230120998447909,-0.0010631077195294,-0.0660945190696122,-0.0020753801307806,-0.0057354592571662,-0.0017690380524698,-0.7748089747598571,0.0,0.0,0.0722442210515419,-0.0014884185422564,0.0,-0.0017690380524698,0.0,
spread|intrabar|spr_delay1,3.0,0.0629936357703637,-0.0031915824584465,-0.1514996413391306,-0.0062261403923418,-0.0059771153709083,-0.0053071141574092,-0.7748089747598572,0.0,0.0,0.2065565448100794,-0.0044652556267695,0.0,-0.0053071141574092,0.0,
spread|intrabar|spr_delay1,5.0,0.1289909601691337,-0.0053291108639595,-0.2386829161311848,-0.0103769006539033,-0.0099548756117507,-0.0088551902623489,-0.7748089747598572,0.0,0.0,0.4499051327759289,-0.0074420927112829,0.0,-0.0088551902623489,0.0,
spread|intrabar|spr_delay1,10.0,0.2094625741974987,-0.0106712150995319,-0.283134994421016,-0.0207538013078069,-0.0199074762626099,-0.0177003805246981,-0.7748089747598571,1.0,0.0,0.7960883879684755,-0.0148841854225654,0.0,-0.0177003805246981,0.0,
