mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2022,y2023,y2024,y2025,y2026,period
exAXS,20.0,2025-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.19707694813896715,-0.400171854042253,-0.1820725192450836,-1.1848284817417374,3,0,14,0.033415948618196585,0.07827053365108996,,,,0.005167187887070268,-0.309632017380141,OOS
base,1.0,2022-01-01,spread,12.0,,,,,1,majors,,4,,0.022569901774921908,-0.06609439402350592,-0.006689343180364626,0.8826373848753531,0,0,15,-0.05247303459618375,0.02526686769461177,0.06718676743060681,0.0019429850412207017,0.0,,,IS
base,1.0,2025-01-01,spread,12.0,,,,,1,majors,,4,,0.0016225464488359709,-0.0033059852939231194,-0.0008000000000000229,0.582771689673084,0,0,1,0.0008341638011382522,0.001624890333062551,,,,0.00270236851275496,0.0,OOS
spr_delay1,1.0,2022-01-01,spread,12.0,,,,,1,majors,,4,,0.023012099844790912,-0.06609451906961228,-0.005735459257166231,0.8146237242705916,0,0,15,-0.03301251879931033,0.025690433077715333,0.07224422105154193,-0.0014884185422564533,0.0,,,IS
spr_delay1,1.0,2025-01-01,spread,12.0,,,,,1,majors,,4,,-0.0010631077195294436,-0.0020753801307806796,-0.0017690380524698623,-0.7748089747598571,0,0,1,0.0,0.001611470889466635,,,,-0.0017690380524698623,0.0,OOS
base,3.0,2022-01-01,spread,2.0,,,,,1,majors,,1,,0.08482854736271483,-0.13172604512035124,0.0,0.9840865603462721,0,19,16,-0.13574550129353224,0.12482254036627631,0.2693322671695184,0.005828955123661439,0.0,,,IS
base,3.0,2025-01-01,spread,2.0,,,,,1,majors,,1,,0.004856422865539223,-0.00985496119260354,-0.0023999999999999577,0.582902620831784,0,0,1,0.002502491403414756,0.004874670999187652,,,,0.008097105538264815,0.0,OOS
spr_delay1,3.0,2022-01-01,spread,2.0,,,,,1,majors,,1,,0.06299363577036377,-0.15149964133913063,-0.005977115370908392,0.9639007167235654,0,17,16,-0.09194798892286289,0.11756265653550763,0.20655654481007946,-0.004465255626769582,0.0,,,IS
spr_delay1,3.0,2025-01-01,spread,2.0,,,,,1,majors,,1,,-0.003191582458446529,-0.006226140392341817,-0.005307114157409254,-0.7748089747598572,0,0,1,0.0,0.0048344126683999055,,,,-0.005307114157409254,0.0,OOS
base,5.0,2022-01-01,spread,12.0,,,,,1,majors,,1,,0.25080735510605523,-0.20075800415570455,0.0,1.082632708384224,0,23,16,-0.18197876867112292,0.38978167708998646,0.9382815399706248,0.009714925206103064,0.0,,,IS
base,5.0,2025-01-01,spread,12.0,,,,,1,majors,,1,,0.008089372443674137,-0.016343923342579725,-0.0040000000000000036,0.5833019142222208,0,0,1,0.00417081900569126,0.008124451665312754,,,,0.013501842563774735,0.0,OOS
spr_delay1,5.0,2022-01-01,spread,12.0,,,,,1,majors,,1,,0.1289909601691337,-0.23868291613118486,-0.00995487561175079,0.9939610832084299,0,25,16,-0.2516728290439369,0.36593500719963057,0.4499051327759289,-0.007442092711282933,0.0,,,IS
spr_delay1,5.0,2025-01-01,spread,12.0,,,,,1,majors,,1,,-0.005329110863959596,-0.010376900653903398,-0.008855190262348933,-0.7748089747598572,0,0,1,0.0,0.008057354447333177,,,,-0.008855190262348933,0.0,OOS
base,10.0,2022-01-01,spread,12.0,,,,,1,majors,,1,,0.32329462233428474,-0.22842895959577536,-0.043411779371726245,1.0511762188066758,0,40,16,-0.281938812007165,1.0183784282563975,1.273357930823794,0.019429850412206573,0.0,,,IS
