config,L,variant,period,cagr,maxdd,worst_day,sharpe,trades,liq,win_rate,pnl_total,pnl_top5_coins,pnl_worst5_coins,top5,worst5,mean_hold_h,years
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,funding_x0.8,IS,0.7708985081396065,-0.6861870189226809,-0.4461222081629824,1.060287614792191,802,42,0.3802992518703242,4.5623844066460055,12.272145760988314,-4.736503692695987,"BLZUSDT:0.98,SXPUSDT:1.09,HNTUSDT:1.57,TRBUSDT:3.31,RAYUSDT:5.33","FTTUSDT:-1.45,BONDUSDT:-0.97,ARKUSDT:-0.92,TOKENUSDT:-0.71,NKNUSDT:-0.69",119.50623441396509,"{""2022"": 1.404227027568258, ""2023"": 0.7292404756660136, ""2024"": 0.337919955746961}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,funding_x0.8,OOS,-0.8492517179854994,-0.9889532619145217,-0.5787768767002541,0.2806826670168724,1228,143,0.36319218241042345,-0.9572268658780771,2.2308682862944487,-1.3842873995809348,"AERGOUSDT:0.37,AUCTIONUSDT:0.38,VANRYUSDT:0.41,IPUSDT:0.47,FUNUSDT:0.60","BROCCOLIF3BUSDT:-0.39,TRUSTUSDT:-0.27,VTHOUSDT:-0.25,VIDTUSDT:-0.24,JELLYJELLYUSDT:-0.23",101.62052117263843,"{""2025"": -0.38882834893926266, ""2026"": -0.9300145318460256}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,mark_liq,IS,0.2021888913295542,-0.888847663786423,-0.44304301285877923,0.775904200095822,1223,56,0.3851185609157809,0.7383500529340186,14.292884401259666,-6.969738844811626,"CKBUSDT:1.05,HNTUSDT:1.73,RAREUSDT:1.80,BLZUSDT:2.68,TRBUSDT:7.03","HIFIUSDT:-2.06,FTTUSDT:-1.73,BONDUSDT:-1.35,ARKUSDT:-0.98,FLMUSDT:-0.85",86.43581357318071,"{""2022"": 2.025182397192569, ""2023"": 0.13311787593122637, ""2024"": -0.49288018598255523}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,mark_liq,OOS,-0.40547184129374314,-0.9501910700884199,-0.6483517760793736,0.8062531057064101,1110,110,0.3837837837837838,-0.5794409817530601,4.710815751235929,-3.5052578051894323,"SAHARAUSDT:0.70,AERGOUSDT:0.70,BSWUSDT:0.75,FUNUSDT:1.06,MUSDT:1.51","BROCCOLIF3BUSDT:-1.05,JELLYJELLYUSDT:-0.83,STOUSDT:-0.61,AIOUSDT:-0.53,DOODUSDT:-0.49",108.91171171171172,"{""2025"": 1.0376421535885525, ""2026"": -0.7936050657833701}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,slip_x2,IS,0.8360271596718087,-0.676123883673108,-0.4468951565861854,1.0921836939747829,894,42,0.378076062639821,5.199551331474024,17.119801188124477,-5.557668998933097,"BLZUSDT:1.27,SXPUSDT:1.31,HNTUSDT:1.76,RAYUSDT:5.94,TRBUSDT:6.84","FTTUSDT:-1.50,BONDUSDT:-1.19,HIFIUSDT:-1.18,AEVOUSDT:-0.92,TIAUSDT:-0.75",115.97091722595079,"{""2022"": 1.671772849919145, ""2023"": 0.9855064783907617, ""2024"": 0.16866333652355836}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,slip_x2,OOS,-0.1966085995062855,-0.9586556726719833,-0.5348260036240766,0.9894128807260225,1244,128,0.3745980707395498,-0.30556416705428113,8.8504774309854,-5.178499967931388,"0GUSDT:1.18,FUNUSDT:1.31,MUSDT:1.98,TNSRUSDT:2.06,RAVEUSDT:2.32","BROCCOLIF3BUSDT:-1.48,LIGHTUSDT:-1.21,BEATUSDT:-0.98,PIPPINUSDT:-0.78,SKYAIUSDT:-0.73",104.32717041800643,"{""2025"": 4.324303358343753, ""2026"": -0.8695724517917514}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,base,IS,-0.6700507625148004,-0.992695930372599,-0.6298345250874536,0.31294623199630367,1037,146,0.37319189971070393,-0.9641885369460649,3.8606710136586773,-3.127132519743896,"RLCUSDT:0.46,BANDUSDT:0.66,HNTUSDT:0.68,RAREUSDT:0.70,TRBUSDT:1.36","FTTUSDT:-1.09,1000LUNCUSDT:-0.62,LUNAUSDT:-0.54,NKNUSDT:-0.47,LOOMUSDT:-0.42",84.11475409836065,"{""2022"": -0.29876426579665316, ""2023"": -0.15446772794962982, ""2024"": -0.9396012658398527}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,base,OOS,-0.9820740555069863,-0.9998915696923646,-0.9621291931819957,0.5875863265682826,1230,299,0.3699186991869919,-0.9987676566125179,7.119100887863354,-4.844083846728013,"GASUSDT:0.91,MYXUSDT:0.99,OMUSDT:1.10,ALPACAUSDT:1.25,FUNUSDT:2.86","AERGOUSDT:-1.29,VIDTUSDT:-1.24,BROCCOLIF3BUSDT:-1.06,ACXUSDT:-0.64,AIOTUSDT:-0.61",77.54146341463415,"{""2025"": -0.8452812202505798, ""2026"": -0.9920349463104707}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,funding_x0.8,IS,-0.7975189292797417,-0.9980183281329456,-0.6243678894904268,0.039738641350482315,1022,144,0.3649706457925636,-0.9917348075656811,2.5921544506032683,-2.9136662734272156,"BLZUSDT:0.42,RLCUSDT:0.42,HNTUSDT:0.46,BANDUSDT:0.64,TRBUSDT:0.66","FTTUSDT:-1.01,1000LUNCUSDT:-0.62,LUNAUSDT:-0.52,NKNUSDT:-0.40,ETCUSDT:-0.36",81.6624266144814,"{""2022"": -0.4813394707574329, ""2023"": -0.3312976874815752, ""2024"": -0.9761692919837354}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,funding_x0.8,OOS,-0.999904642084858,-0.9999999487467853,-0.8390506313191116,-0.2981239512345794,1174,318,0.34582623509369675,-0.9999997992758017,3.1250703212986872,-1.9804212327147033,"GASUSDT:0.49,IPUSDT:0.51,REDUSDT:0.52,VANRYUSDT:0.61,FUNUSDT:1.00","TROYUSDT:-0.54,BROCCOLIF3BUSDT:-0.40,ACXUSDT:-0.35,MOVEUSDT:-0.35,SPELLUSDT:-0.35",78.48126064735945,"{""2025"": -0.9874274550514194, ""2026"": -0.9999840347201504}"
