method,hedge,Wf,K,Wz,zin,zout,zstop,exec,liq,margin,lev,period,cagr,final,sharpe,worst_day,maxdd_intrabar,trades,liqs,stops,timeouts,forced,fees,funding,exposure,avg_gross_lev,legged,maker_miss,wbars,fbbars,nan_flag,per_year
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,3,OOS,0.15146626724078538,1.264618682655122,0.7494817966620865,-0.07495307140624796,0.4472492745232911,394,0,26,23,10,0.1392514097129044,-0.015914082568214933,0.49335252192982454,0.4421743251560009,30,0,0,0,0,"{""2025"": 0.4729, ""2026"": -0.1414}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,5,OOS,0.23417261381756393,1.4194024325660743,0.7542616895718578,-0.12253973227601711,0.6589797347145423,394,0,26,23,10,0.26996308709196504,-0.03101015474514529,0.49335252192982454,0.7386035025170006,30,0,0,0,0,"{""2025"": 0.8577, ""2026"": -0.2359}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,10,OOS,0.33841291137457064,1.6245144942285756,0.7631046089378923,-0.23371735118051307,0.9630150926484752,394,0,26,23,10,0.7364978979709693,-0.08413266851730597,0.49335252192982454,1.4875993598361497,30,0,0,0,0,"{""2025"": 2.0066, ""2026"": -0.4597}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,15,OOS,-1.0,0.0,-3.451529271452474,-1.0,1.0,8,1,0,0,0,0.00755503682106694,-0.0015120056790943327,0.0066474780701754384,0.02813292607224857,1,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,20,OOS,-1.0,0.0,-3.494180158653322,-1.0,1.0,8,1,0,0,0,0.010128970856236926,-0.0020398308374952,0.0066474780701754384,0.03790053157241602,1,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,10,72,3.0,0.5,4.5,taker,h1,cross,1,IS,-0.04419623418528362,0.8731578744619817,-0.4046964510731882,-0.035606831298603536,0.36768884041125427,872,0,90,44,16,0.15154729691242244,-0.008356458175629819,0.5941681873479319,0.1899772709162111,0,0,0,0,0,"{""2022"": -0.0984, ""2023"": -0.1304, ""2024"": 0.1136}"
coint,lvl,60,10,72,3.0,0.5,4.5,taker,h1,cross,3,IS,-0.14694377160020056,0.6207056969720107,-0.37798142080717895,-0.10691673505506438,0.7630096769015935,872,0,90,44,16,0.3481479030456821,-0.020290415280744392,0.5941681873479319,0.5722416656945252,0,0,0,0,0,"{""2022"": -0.2842, ""2023"": -0.3552, ""2024"": 0.345}"
coint,lvl,60,10,72,3.0,0.5,4.5,taker,h1,cross,5,IS,-0.2624686202848967,0.401098473863377,-0.34813837726239427,-0.17836231182497375,0.91908849803893,872,0,90,44,16,0.4585292657064125,-0.02742372766055536,0.5941681873479319,0.9579358362538988,0,0,0,0,0,"{""2022"": -0.4501, ""2023"": -0.5351, ""2024"": 0.569}"
coint,lvl,60,10,72,3.0,0.5,4.5,taker,h1,cross,10,IS,-0.557623289041229,0.08652354883037056,-0.25631622437299134,-0.3576311574158806,0.9970603192958263,872,0,90,44,16,0.6088185345374671,-0.03087520774570875,0.5941681873479319,1.940373677449955,0,0,0,0,0,"{""2022"": -0.7562, ""2023"": -0.821, ""2024"": 0.9832}"
coint,lvl,60,10,72,3.0,0.5,4.5,taker,h1,cross,15,IS,-1.0,0.0,-1.345986402575587,-1.0,1.0,473,1,56,30,11,0.723830397933285,-0.02091271654010561,0.31554136253041365,1.6666783218824337,0,0,0,0,0,"{""2022"": -0.9163, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,10,72,3.0,0.5,4.5,taker,h1,cross,20,IS,-1.0,0.0,-0.5554474740780422,-1.0,1.0,130,1,12,7,2,0.6860038185799079,0.012125115245166563,0.08447384428223845,0.5931909782988951,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,10,72,3.0,0.5,4.5,maker,h1,cross,1,IS,0.052962676546393306,1.1674929669893868,0.5614469616755529,-0.03537917483715358,0.23345462899968716,872,0,90,44,16,0.08051433240053378,-0.009219204299136788,0.5941681873479319,0.1898881757314158,67,1,0,0,0,"{""2022"": 0.0045, ""2023"": -0.0532, ""2024"": 0.2276}"
coint,lvl,60,10,72,3.0,0.5,4.5,maker,h1,cross,3,IS,0.13966819022078725,1.4803831822608329,0.5821234474207836,-0.10614717264145057,0.5732672329780482,872,0,90,44,16,0.2356537940490894,-0.026670912907090963,0.5941681873479319,0.5714977344470237,67,1,0,0,0,"{""2022"": -0.0111, ""2023"": -0.168, ""2024"": 0.7992}"
coint,lvl,60,10,72,3.0,0.5,4.5,maker,h1,cross,5,IS,0.19401049446568264,1.702460879009359,0.6049012174166427,-0.1769328676956844,0.7846102301739968,872,0,90,44,16,0.3739522765708732,-0.04234376983277502,0.5941681873479319,0.9558898190047267,67,1,0,0,0,"{""2022"": -0.0585, ""2023"": -0.289, ""2024"": 1.5432}"
