pick,method,hedge,Wf,K,Wz,zin,zout,zstop,exec,lev,period,variant,cagr,final,sharpe,worst_day,maxdd,trades,liqs,legged,maker_miss,wbars,fbbars,per_year,cagr_reported,final_reported
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,5,IS,base,1.6129605867459986,17.851885342879037,1.4418326393991667,-0.29952909641941006,0.7327448186537744,222,0,14,0,14399,141,"{""2022"": 0.0329, ""2023"": 1.313, ""2024"": 6.4725}",1.6129605867459986,17.851885342879037
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,5,IS,tick5bp,1.2542004111075635,11.460912165126551,1.3018248256539853,-0.3018482571592863,0.7430232514326617,222,0,44,1,14403,141,"{""2022"": -0.0948, ""2023"": 1.0087, ""2024"": 5.3034}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,5,IS,tick10bp,-1.0,0.0,0.5144748355920974,-1.0,1.0,166,1,52,3,10546,238,"{""2022"": -0.1653, ""2023"": 0.6876, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,5,IS,lenient_liq,1.6129605867459986,17.851885342879037,1.4418326393991667,-0.29952909641941006,0.7327448186537744,222,0,14,0,14399,141,"{""2022"": 0.0329, ""2023"": 1.313, ""2024"": 6.4725}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,10,IS,base,-1.0,0.0,0.9378202723603023,-1.0,1.0,123,1,9,0,7358,141,"{""2022"": -0.3852, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,10,IS,tick5bp,-1.0,0.0,0.795305838056128,-1.0,1.0,123,1,25,1,7362,141,"{""2022"": -0.5183, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,10,IS,tick10bp,-1.0,0.0,0.6807989992380753,-1.0,1.0,122,1,38,2,7361,141,"{""2022"": -0.5919, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,10,IS,lenient_liq,-1.0,0.0,0.9378202723603023,-1.0,1.0,123,1,9,0,7358,141,"{""2022"": -0.3852, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,15,IS,base,-1.0,0.0,-0.1569414086498896,-1.0,1.0,37,1,1,0,1759,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,15,IS,tick5bp,-1.0,0.0,-0.2660282494698226,-1.0,1.0,37,1,7,0,1759,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,15,IS,tick10bp,-1.0,0.0,-0.3064668904600025,-1.0,1.0,37,1,9,0,1759,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,15,IS,lenient_liq,-1.0,0.0,0.082622998216732,-1.0,1.0,114,5,9,0,6078,31,"{""2022"": -0.9982, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,20,IS,base,-1.0,0.0,1.8764543456315994,-1.0,1.0,14,1,1,0,721,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",-1.0,0.0
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,20,IS,tick5bp,-1.0,0.0,-1.212172015051251,-1.0,1.0,8,1,3,0,328,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,20,IS,tick10bp,-1.0,0.0,-1.212172015051251,-1.0,1.0,8,1,3,0,328,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,maker,20,IS,lenient_liq,-1.0,0.0,-0.7882651109085917,-1.0,1.0,70,6,4,0,3353,6,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,taker,1,IS,base,0.19141206349613515,1.69136773315341,0.9660340506803736,-0.06479533565995299,0.21612386337022604,222,0,0,0,14401,139,"{""2022"": -0.0247, ""2023"": 0.1587, ""2024"": 0.4966}",0.1914120634961351,1.69136773315341
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,taker,1,IS,lenient_liq,0.19141206349613515,1.69136773315341,0.9660340506803736,-0.06479533565995299,0.21612386337022604,222,0,0,0,14401,139,"{""2022"": -0.0247, ""2023"": 0.1587, ""2024"": 0.4966}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,taker,3,IS,base,0.5522231828123461,3.741047283387319,1.0228623224939621,-0.19102236414518814,0.5306884912592369,222,0,0,0,14401,139,"{""2022"": -0.1275, ""2023"": 0.4453, ""2024"": 1.9666}",0.5522231828123461,3.741047283387319
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,taker,3,IS,lenient_liq,0.5522231828123461,3.741047283387319,1.0228623224939621,-0.19102236414518814,0.5306884912592369,222,0,0,0,14401,139,"{""2022"": -0.1275, ""2023"": 0.4453, ""2024"": 1.9666}",,
pick5,coint,lvl,60,3,336,2.5,0.5,4.0,taker,5,IS,base,0.8027450906499853,5.861086651194693,1.0906127557505054,-0.31291996816878964,0.7464897584132987,222,0,0,0,14401,139,"{""2022"": -0.2817, ""2023"": 0.6292, ""2024"": 4.0087}",0.8027450906499853,5.861086651194693
