L,band,per,intrabar,cagr,maxdd,worst_day,sharpe,liq,liq_dates,trades,imr_rejects,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026,band_source
10,0.2,OOS,closes+highs,0.0032985508688456733,0.1370811733969639,-0.018892265159204058,0.11471836016204912,0,,52,12,,,,0.0573706751444476,-0.04905928295467543,IS-reselected
10,0.2,FULL,closes+highs,0.19804979224689423,0.2743064357611785,-0.03315031235293753,3.707880524741668,0,,138,33,0.039145611523055734,0.4835681981153648,0.4753234000084845,0.0741969090158241,-0.04905899874636632,IS-reselected
15,0.1,IS,closes+highs,-0.1472186922946852,0.7840391812608255,-0.7437484182933248,0.11526072974976413,1,2023-01-14 00,456,108,-0.06620227724441108,-0.5773273981100491,0.5711178773450014,,,IS-reselected
15,0.2,IS,closes+highs,-0.15274807558944647,0.8198539912186612,-0.7986043675098807,0.22564636491732454,1,2023-01-14 00,104,27,0.04909317980530048,-0.6538279453159781,0.6744891955407974,,,researcher
15,0.1,OOS,closes+highs,-0.05779442205409313,0.21908640559262793,-0.028430300793949925,-1.1313608806173863,0,,194,44,,,,0.0029902901924980796,-0.0970456139553898,IS-reselected
15,0.2,OOS,closes+highs,-0.009392596088695804,0.20385420970283485,-0.028430300793949925,-0.16038518095225598,0,,52,12,,,,0.06247450135877486,-0.07347064761760869,researcher
15,0.1,FULL,closes+highs,-0.11033175662228978,0.7840391812608255,-0.7437484182933248,0.05222517142639363,1,2023-01-14 00,642,154,-0.06620227724441108,-0.5773273981100491,0.5711178773450014,0.03514795159317319,-0.09704561395533429,IS-reselected
15,0.2,FULL,closes+highs,-0.09939555953137502,0.8198539912186612,-0.7986043675098807,0.18659172667626883,1,2023-01-14 00,146,37,0.04909317980530048,-0.6538279453159781,0.6744891955407974,0.09263397250132988,-0.07652563173758642,researcher
20,0.02,IS,closes+highs,-0.8430446186430476,0.9973910121502698,-0.9389864659387525,-1.0489936001049283,3,2023-01-14 00;2023-10-16 13;2023-10-23 22,6256,1208,-0.4997540671356564,-0.9935610135097953,0.19888379487512675,,,IS-reselected
20,0.05,IS,closes+highs,-0.8495522419134568,0.9984203545049386,-0.9731527878126088,-0.7172551023516474,3,2023-01-14 00;2023-10-16 13;2023-10-23 22,1468,322,-0.2422115292037983,-0.9971733831959751,0.5877392557183148,,,researcher
