sym,other,lag,year,cc,n
AVAXUSDT,bin,-2,2022,-0.02439131576259468,76209
AVAXUSDT,bin,-2,2023,-0.0037948899013747644,66249
AVAXUSDT,bin,-2,2024,-0.019177714091840825,55422
AVAXUSDT,bin,-2,2025,0.043995668263103714,57409
AVAXUSDT,bin,-2,2026,-0.0473127467450468,44858
AVAXUSDT,bin,-1,2022,0.0028441938217790316,76457
AVAXUSDT,bin,-1,2023,0.02764489123997834,66468
AVAXUSDT,bin,-1,2024,-0.007388705960867255,55611
AVAXUSDT,bin,-1,2025,0.5094707981529676,57607
AVAXUSDT,bin,-1,2026,0.028968143136959976,45010
AVAXUSDT,bin,0,2022,0.9774307448770373,76705
AVAXUSDT,bin,0,2023,0.9710624966168325,66687
AVAXUSDT,bin,0,2024,0.9920613070633845,55800
AVAXUSDT,bin,0,2025,0.9217098541456226,57805
AVAXUSDT,bin,0,2026,0.9872507885897273,45162
AVAXUSDT,bin,1,2022,-0.006465107599402479,76457
AVAXUSDT,bin,1,2023,0.01266216317680498,66469
AVAXUSDT,bin,1,2024,-0.018967000933256074,55610
AVAXUSDT,bin,1,2025,0.13163316057209448,57607
AVAXUSDT,bin,1,2026,0.00505065805078747,45010
AVAXUSDT,bin,2,2022,-0.025141414986714707,76209
AVAXUSDT,bin,2,2023,-0.0040067190609756305,66251
AVAXUSDT,bin,2,2024,-0.018040155657586297,55420
AVAXUSDT,bin,2,2025,-0.14793017465240804,57409
AVAXUSDT,bin,2,2026,-0.04690637545633875,44858
AVAXUSDT,spot,-2,2022,-0.02371061695231871,76177
AVAXUSDT,spot,-2,2023,-0.00755993040869113,66249
AVAXUSDT,spot,-2,2024,-0.014726830500365619,55422
AVAXUSDT,spot,-2,2025,-0.028477405572806768,57409
AVAXUSDT,spot,-2,2026,-0.04273517726297715,44858
AVAXUSDT,spot,-1,2022,-0.0023332576174177654,76425
AVAXUSDT,spot,-1,2023,0.0188861633842046,66468
