coin,yr,days,mean,meanabs,cap7,fb,fo
TRX,2022,362,0.01238797551815585,0.10744086318079121,0.01962956161937387,-0.15913404102209947,-0.14765890710865354
TRX,2023,365,0.018678588190582397,0.0855246989263082,0.032214714791056406,-0.03618594,-0.0175073518094176
TRX,2024,366,0.0011436529836097932,0.08730339967553118,0.03826793635029621,0.03398862049180329,0.035132273475413076
TRX,2025,365,0.0147514027719688,0.043807570009347596,0.0213820113542766,-0.004726409999999996,0.010024992771968805
TRX,2026,244,0.015849722835302088,0.047190099767169515,0.01872175092593587,-0.07945032786885246,-0.06360060503355038
ATOM,2022,362,-0.05627660756613014,0.09664534297468029,0.06469694365665708,-0.04488186201657459,-0.1016034707525666
ATOM,2023,365,-0.0137528549008273,0.0817320391793055,0.0181294247874493,0.012993390000000004,-0.0007594649008272978
ATOM,2024,366,-0.012250525618289775,0.0784965252365441,0.04280504642235762,0.08347514098360656,0.0712246153653168
ATOM,2025,365,0.009790672357887,0.058958319183788604,0.0263873391690208,-0.08960244,-0.079811767642113
ATOM,2026,244,0.01744924811211104,0.06510730448954691,0.011765370940941915,-0.11043906721311474,-0.0929898191010037
ETC,2022,362,0.019522969675233474,0.11154541731909048,0.02470946830856143,-0.08287922914364641,-0.06406935920816431
ETC,2023,365,-0.007313444419470902,0.0715367257647723,0.0324696769580199,0.10164863999999998,0.09433519558052911
ETC,2024,366,0.01312273727230427,0.07305014214159712,0.02300393547808961,0.14820014221311475,0.161322879485419
ETC,2025,365,0.010320234654677598,0.0502492552750448,0.006824506050450201,0.04301958,0.053339814654677596
ETC,2026,244,-0.025475540103767107,0.04736266854367471,0.01875559541604383,0.0249849381147541,-0.0004906019890130072
FIL,2022,362,0.02716219419379739,0.07918933871236362,0.03500810819325264,0.022495484392265203,0.049455828901559834
FIL,2023,365,-0.0177921278833605,0.06983771075866191,0.0216226539834433,0.11525245000000002,0.0974603221166395
FIL,2024,366,-0.014068156628130112,0.06520322588873048,0.03485443812442311,0.15595836680327868,0.14189021017514855
FIL,2025,365,0.008567455490937698,0.0539346584188645,0.024511304503122503,0.024728970000000006,0.033296425490937705
FIL,2026,244,0.004299546881224295,0.05937771497045218,0.018280300031096573,-0.003326286885245899,0.0009732599959783941
NEAR,2022,362,0.009984634922755397,0.09145977173286542,0.023071753192435825,-0.04256381961325967,-0.0326283664546274
NEAR,2023,365,0.005985111908135901,0.09212684748519952,0.0184060365292895,0.06852973000000001,0.0745148419081359
NEAR,2024,366,-0.015211393718180116,0.0770916439258567,0.04543609040060209,0.14014438278688526,0.12493298906870516
NEAR,2025,365,9.925917997899089e-06,0.05363459031674431,0.019711226515178502,0.021163410000000007,0.0211733359179979
NEAR,2026,244,0.004121499207406323,0.049036103604586115,0.015347433662698801,0.03453766127049181,0.038659160477898136
UNI,2022,362,-0.048927002355497344,0.10104133754402206,0.07426008479986056,0.06577563162983427,0.016270859946339672
UNI,2023,365,-0.008876366778816803,0.0768109056164728,0.022344246728681003,0.09936636000000001,0.0904899932211832
UNI,2024,366,-0.013343969065483012,0.07499237440429912,0.044408766740026036,0.1345506680327869,0.12120669896730388
UNI,2025,365,-0.0199110722420116,0.036799826999883406,0.0217109680056788,0.06272810000000001,0.04281702775798841
UNI,2026,244,-0.003353189178858893,0.03192469093530274,0.009006655828787562,0.037904457172131145,0.03455126799327225
AAVE,2022,362,-0.0869756410167165,0.11784397320617793,0.07977402910794844,0.0473415687845304,-0.03947968742193747
AAVE,2023,365,-0.029078588479788503,0.08856022873106689,0.0366738284281483,0.09669544000000002,0.06761685152021149
AAVE,2024,366,-0.007469199580410726,0.07347413704756602,0.04353974202348251,0.11002146133879784,0.10255226175838708
AAVE,2025,365,-0.0046653088402537,0.02975315298014671,0.010836075154054901,0.05259023,0.04792492115974631
AAVE,2026,244,-0.0015435306438438263,0.03065599284683986,0.004459891002781674,0.02153609200819672,0.019992561364352898
CRV,2022,362,-0.0571664689208324,0.1653802125264873,0.08393523191080558,-0.1347401029005525,-0.1931162951629595
CRV,2023,365,-0.0117626609568101,0.1401939677922555,0.07326039305773151,0.04439884000000001,0.0326361790431899
CRV,2024,366,0.009702481766298322,0.10316813984662525,0.05960245923590711,0.13271254398907104,0.14241502575536935
CRV,2025,365,-0.002809680872253802,0.0465700781522502,0.005657635308627101,0.04090645000000001,0.038096769127746205
CRV,2026,244,-0.007777293857189093,0.05593315404420572,0.03679236956262042,0.05021305,0.042435756142810914
SAND,2022,362,-0.04656433887870834,0.08949754897951866,0.03725716750694178,-0.02921991367403315,-0.07552278632588193
SAND,2023,365,-0.0144203532738061,0.0737189537902581,0.0270209662321537,0.09333426000000002,0.07891390672619389
SAND,2024,366,-0.008494218501987208,0.0721142556603337,0.036098991951710804,0.14750483715846996,0.13901061865648276
SAND,2025,365,-0.002854962711574301,0.0389514120769265,0.0129838094217695,0.046820440000000005,0.0439654772884257
SAND,2026,244,0.039043674221779776,0.08936756451309955,0.04869614993303472,-0.12972315409836063,-0.0906794798765809
AXS,2022,362,-0.1089434257661455,0.2720636603878996,0.09611442139724778,-0.5456022924033149,-0.6541369235668223
AXS,2023,365,-0.0321088222757902,0.16939728415364141,0.037068368937470605,-0.13041109,-0.16251991227579018
AXS,2024,366,-0.033468605659213856,0.1260491347327758,0.043294733788297665,-0.06638106407103825,-0.09984966973025211
AXS,2025,365,-0.001504671015122,0.08041173722093001,0.0412040038108198,-0.06872053,-0.070225201015122
AXS,2026,244,-0.22381260379874215,0.34406593507306904,0.1440741301376541,-1.445567795286885,-1.6693803990856275
GALA,2022,362,-0.05586427304945668,0.10888282446163441,0.05651047404294875,0.016069377071823213,-0.039577275652640354
GALA,2023,365,-0.03736347697735641,0.11735041586490999,0.020131931944001,0.07750241000000001,0.04013893302264359
GALA,2024,366,-0.020037009883759747,0.0820148625204923,0.04049675067565978,0.15159774371584703,0.13156073383208725
GALA,2025,365,0.0045191370778745995,0.0457720862010636,0.0153185000485211,0.05176308000000001,0.056282217077874605
GALA,2026,244,0.012309686028147948,0.05803842470546445,0.017390374559700997,0.010958062909836074,0.023267748937984018
XLM,2022,362,-0.08705880998255441,0.12125629256489633,0.07510261176518603,0.01323944737569061,-0.07428937448519254
XLM,2023,365,-0.0168768306408349,0.0863607562571411,0.0361684683795629,0.04223761000000001,0.025360779359165107
XLM,2024,366,0.018727505081782427,0.08304086574039943,0.0376844792176118,0.11758671461748633,0.13631421969926874
XLM,2025,365,0.0140176475097488,0.044383142713581604,0.022521040227730597,-0.023193529999999997,-0.009175882490251197
XLM,2026,244,0.021126533580952733,0.03996597632128368,0.01810706219020973,-0.015040946926229508,0.006085586654723227
APT,2022,74,0.02049086077098035,0.1695056057594687,0.0524717204360481,-0.31997172567567567,-0.26347410814793865
APT,2023,365,-0.024635455156525897,0.09483573444962391,0.0270135343060823,0.025519520000000004,0.0008840648434740981
APT,2024,366,-0.05220088728477248,0.07780254574460713,0.052588553002268126,0.16348195423497272,0.11128106695020021
APT,2025,365,0.021554557778174995,0.0739807639422442,0.0620917586319024,-0.12684457,-0.10529001222182499
APT,2026,244,0.04456316726787923,0.06466300616408541,0.04029788571737812,-0.07482797684426229,-0.030264809576383053
ARB,2023,283,-0.0017405307901750772,0.06253344057040093,0.02585398373489415,0.10938474770318021,0.10662536390947157
ARB,2024,366,-0.022546715178619527,0.06621666878376588,0.041440614820683536,0.1594820030054645,0.13693528782684494
ARB,2025,365,-0.0044124810882781,0.0378917164525759,0.014618756287392102,0.04902834000000001,0.04461585891172191
ARB,2026,244,0.005403301448549189,0.05257975430622075,0.011236206072977517,0.01550965778688525,0.020912959235434434
