sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
MSN-USDT-SWAP,46,0,21150,2.89,0.06211213258001773,1.2622477152534632,21294,0.48027681660899657,end,0.4947893362659457
MSN-USDT-SWAP,46,1,21198,1.91,0.08019530415653649,1.27745559047809,21294,0.21361256544502616,end,0.3313195413809254
ZERO-USDT-SWAP,47,0,21320,0.0007194,0.03947947878679046,1.319597936073805,21464,0.3098415346121769,end,0.2683258677128796
ZERO-USDT-SWAP,47,1,21368,0.0005329,0.059328373454873705,1.3281178387903674,21464,0.06830549821730159,end,0.06230256327105258
ZENT-USDT-SWAP,48,0,21392,0.03338,0.13351923624484222,1.334911972052308,21536,-0.19203115638106638,end,-0.14713716567126528
ZENT-USDT-SWAP,48,1,21440,0.03296,0.13160303613458782,1.3157539949699955,21536,-0.20722087378640763,end,-0.1207568963528529
ULTI-USDT-SWAP,49,0,22087,0.06465,0.05830133940459066,1.2983104691318839,22231,0.31879350348027835,end,0.28519144129726104
ULTI-USDT-SWAP,49,1,22135,0.05326,0.08760495877248625,1.308606173186984,22231,0.17311303041682313,end,0.13642398005704878
ATH-USDT-SWAP,50,0,22227,0.06909,0.06258859759522065,1.3274994865093024,22371,0.01592126212187006,end,-0.03166124056694021
ATH-USDT-SWAP,50,1,22275,0.06339,0.08454489807970066,1.3303011515455097,22371,-0.07256665089130765,end,-0.09635014278972968
UXLINK-USDT-SWAP,51,0,23073,0.2572,0.04634414069897038,1.3167864937646634,23217,0.37363919129082424,end,0.3514810706683286
UXLINK-USDT-SWAP,51,1,23121,0.2074,0.07836885826553121,1.326883502551304,23217,0.2232401157184185,end,0.1724683513369124
MAX-USDT-SWAP,52,0,23528,0.33905,0.053495958268207744,1.346576710921061,23672,0.13119008995723347,end,0.1590892019994031
MAX-USDT-SWAP,52,1,23576,0.33923,0.07764903019470741,1.3497794280922568,23672,0.13165109217934734,end,0.09797749082347562
CAT-USDT-SWAP,53,0,24274,2.674e-05,0.09893353732564758,1.3625997784594788,24418,-0.21619296933433052,end,-0.16975865923759334
CAT-USDT-SWAP,53,1,24322,2.8174e-05,0.11807561072313907,1.3566236651437933,24418,-0.15429119045928874,end,-0.10441584608936193
MOODENG-USDT-SWAP,54,0,24919,0.17441,0.10885986632798524,1.3334551437223665,25063,0.22578980563041107,end,0.23954923520201843
MOODENG-USDT-SWAP,54,1,24967,0.13733,0.09473505314374309,1.358700369224099,25063,0.016747979319886364,end,0.012223268563527644
PUFFER-USDT-SWAP,55,0,25188,0.5358,0.034022975479041886,1.3608475709131693,25332,0.34901082493467717,end,0.35452919561132806
