sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
MORPHO-USDT-SWAP,61,0,26194,0.9866,0.026611542025324564,1.1172481969049617,26223,-0.5,stop,-0.4808222447746084
MAJOR-USDT-SWAP,62,0,26269,1.2333,0.0286781020639006,1.0867366727568624,26413,0.06689369982972515,end,0.1338587965868497
MAJOR-USDT-SWAP,62,1,26317,1.211,0.03729731030110155,1.0872407125895098,26413,0.04971098265895957,end,0.11463364133125771
SUNDOG-USDT-SWAP,64,0,26578,0.1528,0.054745561974677004,1.0947962738133932,26722,0.1688481675392669,end,0.20088439995064356
SUNDOG-USDT-SWAP,64,1,26626,0.1437,0.05492875928261835,1.0984598352578736,26722,0.116214335421016,end,0.13795587695335912
AI16Z-USDT-SWAP,65,0,26793,0.8122,0.02515928832481375,1.1134336795120943,26937,-0.08138389559221859,end,-0.09591161040818945
AI16Z-USDT-SWAP,65,1,26841,0.5972,0.03531165421411915,1.119509573819571,26937,-0.4706965840589419,end,-0.46271022424999564
ZEREBRO-USDT-SWAP,67,0,26959,0.3135,0.0538424943457347,1.094506535877479,27012,-0.5,stop,-0.4973019146542778
ZEREBRO-USDT-SWAP,67,1,27007,0.4043,0.03527534219721826,1.0783095434095107,27012,-0.1631214444719269,stop,-0.16798221632634802
GRIFFAIN-USDT-SWAP,66,0,26959,0.2295,0.05465600093361259,1.0946196051156052,27038,-0.5,stop,-0.48379159605602795
GRIFFAIN-USDT-SWAP,66,1,27007,0.2329,0.05070890823323657,1.0783836216281248,27038,-0.47810218978102204,stop,-0.4617885750604416
ALCH-USDT-SWAP,68,0,27127,0.1701,0.04822051491507386,1.0120726055427787,27271,0.19223985890652562,end,0.17684846476685498
ALCH-USDT-SWAP,68,1,27175,0.1635,0.042122517383153216,1.015313752520295,27271,0.15963302752293584,end,0.1145422535806413
DUCK-USDT-SWAP,69,0,27443,0.009927,0.025915054969917573,1.0254719791092182,27587,0.4256069305933313,end,0.42371999636935154
DUCK-USDT-SWAP,69,1,27491,0.006657,0.03735975070479475,1.0426928130771664,27587,0.14345801412047476,end,0.11338932449145489
NC-USDT-SWAP,70,0,27467,0.20843,0.02703734233200165,1.0303908092508403,27611,0.4416830590605959,end,0.462513948074885
NC-USDT-SWAP,70,1,27515,0.12632,0.03218652625066881,1.0577323649810935,27611,0.07876820772640902,end,0.050762259270900514
J-USDT-SWAP,71,0,27587,0.4686,0.0520819934259578,1.0415304963329615,27731,0.33909517712334625,end,0.3423243851490709
J-USDT-SWAP,71,1,27635,0.2964,0.047140395378443285,1.0752942208499248,27731,-0.04487179487179471,end,-0.07066067377922487
BUZZ-USDT-SWAP,72,0,27707,0.08023,0.02762243569683237,1.0501969852039714,27851,0.4763804063317961,end,0.3977859811630305
BUZZ-USDT-SWAP,72,1,27755,0.06956,0.036975161187229634,1.0732650484951716,27851,0.39606095457159285,end,0.30749436342802017
PI-USDT-SWAP,73,0,28281,0.6784,0.013646722112136352,1.0917091108544728,28308,-0.5,stop,-0.5454518206478538
PI-USDT-SWAP,73,1,28329,1.6034,0.017739328080245052,1.0852849482408466,28407,-0.5,stop,-0.597307311455125
HYPE-USDT-SWAP,74,0,28303,24.76,0.05446543681416455,1.0891943588659811,28447,0.2320274636510501,end,0.05806822517835812
HYPE-USDT-SWAP,74,1,28351,21.913,0.05449523753092195,1.089790310619624,28447,0.13225026240131432,end,-0.040058406391205816
LAUNCHCOIN-USDT-SWAP,75,0,30754,0.118,0.05373390140321497,1.0745651868713526,30819,-0.5,stop,-0.5111990934953509
LAUNCHCOIN-USDT-SWAP,75,1,30802,0.1489,0.03473285926015204,1.0594470365403221,30819,-0.188717259905977,stop,-0.1811428813143409
USELESS-USDT-SWAP,76,0,32002,0.4034,0.05204588480871688,1.0408083998162394,32146,0.4003470500743679,end,0.37715297412319676
USELESS-USDT-SWAP,76,1,32050,0.3926,0.05214242315910267,1.0427389640934193,32146,0.38385124808965865,end,0.34817886143760834
MET-USDT-SWAP,79,0,33848,1.4336,0.02855875019727979,1.0786418725735394,33992,0.2021484375,end,0.15619217084120207
PIGGY-USDT-SWAP,80,0,34304,1.9906,0.01830818992848266,1.0831240519399288,34448,0.20948457751431726,end,0.0063328944090730345
PIGGY-USDT-SWAP,80,1,34352,1.6867,0.025813457641696937,1.0839111067158096,34448,0.0670540107903006,end,-0.03370074183314026
TRIA-USDT-SWAP,81,0,36679,0.0218,0.015875469950707273,1.0823751718137162,36823,0.21467889908256876,end,0.23214550380755025
UP-USDT-SWAP,82,0,38171,0.224,0.05430469646352506,1.0859798894079278,38315,0.22499999999999998,end,0.2604994050111491
UP-USDT-SWAP,82,1,38219,0.2268,0.049120285335982186,1.0855174695810808,38315,0.23456790123456783,end,0.24771860622463598
OFC-USDT-SWAP,83,0,38195,0.04589,0.02878507763141529,1.0870037851218448,38339,-0.0655916321638701,end,-0.04793161863549036
OFC-USDT-SWAP,83,1,38243,0.05227,0.030976109704531452,1.0943585722900475,38339,0.06447292902238377,end,0.08951932088343924
BLEND-USDT-SWAP,85,0,38674,0.1444,0.040296888852483406,1.113716900483695,38818,0.16689750692520777,end,0.24065309011234157
BLEND-USDT-SWAP,85,1,38722,0.1161,0.051595389609038936,1.1226528670857494,38818,-0.036175710594315236,end,0.0076356346572846
RE-USDT-SWAP,87,0,39850,0.56163,0.018510154751621235,1.1237361782234996,39876,-0.5,stop,-0.5507065293608533
GRAM-USDT-SWAP,86,0,39850,1.66,0.05619465291598008,1.123775049548478,39994,0.0475903614457831,end,0.0217449790461992
GRAM-USDT-SWAP,86,1,39898,1.601,0.0553863971586178,1.107611631738323,39994,0.012492192379762623,end,-0.006682980839204288
O-USDT-SWAP,88,0,39856,0.6702,0.03123561916032596,1.1252603884413197,40000,-0.01611459265890791,end,-0.039394530768085544
O-USDT-SWAP,88,1,39904,0.7567,0.02605732924837343,1.1110666951890893,40000,0.10003964583058012,end,0.03732277252912851
NES-USDT-SWAP,89,0,40021,0.2467,0.02125786471818137,1.1142485782538798,40165,0.2655046615322254,end,0.21337298588659642
NES-USDT-SWAP,89,1,40069,0.1755,0.030167176693409587,1.119944878940647,40165,-0.032478632478632585,end,-0.06761414884477725
AEON-USDT-SWAP,91,0,40811,0.10028,0.02768881649893786,1.116731199348457,40955,0.31292381332269636,end,0.28426200295240894
AEON-USDT-SWAP,91,1,40859,0.09694,0.03406321244195586,1.1179406542920283,40955,0.2892510831442129,end,0.24820469013528457
DOS-USDT-SWAP,92,0,41148,0.5003,0.03186234289475182,1.1330479624695655,41292,0.5246851888866679,end,0.4866990590428813
