i,sym,base,t0,bn_spot,okx_preMktSw,bybit_first,bybit_10th,bybit_file,gate_start,gate_name,gate_status,okx_spot_day,okx_spot_off,okx_spot_first
276,ANIMEUSDT,ANIME,2025-01-23 17:00:00,2025-01-23,,2025-01-23 14:00:00.668,2025-01-23 14:00:00.700,ANIMEUSDT-2025-01.csv.gz,2025-01-23 14:00:00,Animecoin,tradable,2025-01-23,-1.0,2025-01-23 14:00:00.020
278,VINEUSDT,VINE,2025-01-24 10:00:00,,,,,,2025-01-23 10:00:00,Vine,tradable,2025-01-26,2.0,2025-01-26 10:00:00.121
280,BERAUSDT,BERA,2025-02-06 15:00:00,2025-02-06,,2025-02-06 13:00:00.728,2025-02-06 13:00:02.188,BERAUSDT-2025-02.csv.gz,2025-02-06 13:00:00,Berachain,tradable,2025-02-06,0.0,2025-02-06 13:00:00.151
282,LAYERUSDT,LAYER,2025-02-11 15:00:00,2025-02-11,,2025-02-11 14:00:00.709,2025-02-11 14:00:02.650,LAYERUSDT-2025-02.csv.gz,2025-02-11 14:00:00,Solayer,tradable,2025-04-25,73.0,2025-04-25 10:00:00.178
285,IPUSDT,IP,2025-02-13 17:00:00,,,2025-02-13 09:00:00.640,2025-02-13 09:00:00.654,IPUSDT-2025-02.csv.gz,,,,2025-02-13,-1.0,2025-02-13 09:00:00.092
288,KAITOUSDT,KAITO,2025-02-20 13:00:00,2025-02-20,,,,,2025-02-20 13:00:00,Kaito,tradable,2025-02-20,0.0,2025-02-20 13:00:00.089
299,BRUSDT,BR,2025-03-21 12:00:00,,,2025-03-20 13:00:00.458,2025-03-20 13:00:03.772,BRUSDT-2025-03.csv.gz,2025-03-20 13:00:00,Bedrock,tradable,,,
304,PARTIUSDT,PARTI,2025-03-25 13:00:00,2025-03-25,,2025-03-25 13:00:00.509,2025-03-25 13:00:02.751,PARTIUSDT-2025-03.csv.gz,2025-03-25 13:00:00,Particle Network,tradable,2025-03-25,0.0,2025-03-25 13:00:00.072
305,JELLYJELLYUSDT,JELLYJELLY,2025-03-26 16:00:00,,,,,,2025-01-30 06:00:00,jelly-my-jelly,tradable,,,
310,GUNUSDT,GUN,2025-03-31 13:00:00,2025-03-31,,,,,2025-03-31 13:00:00,GUNZ,tradable,,,
311,ATHUSDT,ATH,2025-04-02 15:00:00,,,2024-06-12 06:54:55.747,2024-06-12 10:00:01.187,ATHUSDT-2024-06.csv.gz,2024-06-12 10:00:00,Aethir,tradable,2025-03-30,-3.0,
314,PROMPTUSDT,PROMPT,2025-04-11 06:00:00,,,,,,2025-04-10 13:00:00,Wayfinder,tradable,2025-04-10,-1.0,2025-04-10 13:00:00.361
320,WCTUSDT,WCT,2025-04-15 11:00:00,2025-04-15,,2025-04-15 11:00:00.371,2025-04-15 11:00:00.398,WCTUSDT-2025-04.csv.gz,2025-04-15 11:00:00,WalletConnect,tradable,2025-04-15,0.0,2025-04-15 11:00:00.080
327,MEMEFIUSDT,MEMEFI,2025-04-25 07:00:00,,,2024-11-22 13:00:00.509,2024-11-22 13:00:01.990,MEMEFIUSDT-2024-11.csv.gz,,,,2025-04-22,-3.0,
329,SIGNUSDT,SIGN,2025-04-28 11:00:00,2025-04-28,,2025-04-28 11:00:00.529,2025-04-28 11:00:00.529,SIGNUSDT-2025-04.csv.gz,2025-04-28 11:00:00,Sign,tradable,,,
349,SOONUSDT,SOON,2025-05-23 08:00:00,,,,,,2025-05-23 09:00:00,Soon,tradable,,,
350,HUMAUSDT,HUMA,2025-05-26 13:00:00,2025-05-26,,2025-05-26 13:00:00.650,2025-05-26 13:00:02.091,HUMAUSDT-2025-05.csv.gz,2025-05-26 13:00:00,Huma Finance,tradable,2025-05-26,0.0,2025-05-26 13:00:00.087
351,AUSDT,A,2025-05-28 08:00:00,2025-05-28,,2025-05-28 08:00:02.536,2025-05-28 08:00:06.370,AUSDT-2025-05.csv.gz,2025-05-28 08:00:00,Vaulta,tradable,2025-05-29,1.0,2025-05-29 10:00:00.247
352,SOPHUSDT,SOPH,2025-05-28 13:00:00,2025-05-28,,,,,2025-05-28 13:00:00,Sophon,tradable,2025-05-28,0.0,2025-05-28 13:00:00.294
353,MERLUSDT,MERL,2025-05-29 08:00:00,,,2024-04-19 05:00:05.269,2024-04-19 10:00:00.738,MERLUSDT-2024-04.csv.gz,2024-04-19 10:00:00,Merlin Chain,tradable,2025-05-26,-3.0,
354,HYPEUSDT,HYPE,2025-05-30 10:00:00,,,2025-07-11 09:00:02.761,2025-07-11 09:00:07.359,HYPEUSDT-2025-07.csv.gz,2024-12-23 06:00:00,Hyperliquid,tradable,2025-11-04,158.0,2025-11-04 14:00:01.042
