sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status
GRAM-USDT-SWAP,GRAM,2026-06-17 10:30:02.885,2026-06-17 10:30:00.000,,normal,2026-06-22 08:01:03.167,2026-06-22 08:01:58.222,GRAMUSDT-2026-06.csv.gz,2026-06-17,0.0,2026-06-17 10:00:05.676,2026-07-02,2026-06-16 14:00:00,GRAM (prev. Toncoin),tradable
RE-USDT-SWAP,RE,2026-06-17 10:30:14.752,2026-06-17 10:30:00.000,2026-06-18 14:20:00,normal,,,,2026-06-18,1.0,2026-06-18 14:00:01.883,2026-06-18,2026-06-18 14:00:00,Re,tradable
O-USDT-SWAP,O,2026-06-17 16:30:00.852,2026-06-17 16:30:00.000,,normal,,,,,,,,2026-06-17 16:00:00,o1.exchange,tradable
NES-USDT-SWAP,NES,2026-06-24 13:30:01.259,2026-06-24 13:30:00.000,,normal,,,,2026-06-24,0.0,2026-06-24 13:00:03.837,,2026-07-01 10:00:00,NESA,tradable
DATA-USDT-SWAP,DATA,2026-07-02 12:30:02.421,2026-07-02 12:30:00.000,,normal,2026-07-09 08:25:37.212,2026-07-09 08:26:03.105,DATAUSDT-2026-07.csv.gz,2026-07-02,0.0,2026-07-02 12:00:04.777,2018-06-08,2026-06-30 13:00:00,DATA Network,tradable
AEON-USDT-SWAP,AEON,2026-07-27 11:30:37.205,2026-07-27 11:30:00.000,,normal,,,,2026-07-27,0.0,2026-07-27 11:00:08.523,,2026-07-27 11:00:00,AEON,tradable
DOS-USDT-SWAP,DOS,2026-08-10 12:00:00.783,2026-08-10 12:00:00.000,,normal,,,,2026-08-13,3.0,2026-08-13 10:00:06.278,,2026-08-10 11:00:00,DAPPOS,tradable
CP-USDT-SWAP,CP,2026-09-02 15:40:05.239,2026-09-02 15:40:00.000,,normal,,,,2026-09-02,0.0,2026-09-02 14:30:04.423,,2026-09-02 15:00:00,Cluster Protocol,tradable
CASHCAT-USDT-SWAP,CASHCAT,2026-09-03 03:30:00.382,2026-09-03 03:30:00.000,,normal,,,,,,,,2026-08-25 08:00:00,Cash Cat,tradable
DGAI-USDT-SWAP,DGAI,2026-09-03 03:00:02.142,2026-09-03 03:00:00.000,,normal,,,,,,,,2026-08-24 08:00:00,DGrid AI,tradable
PONS-USDT-SWAP,PONS,2026-09-05 03:00:04.739,2026-09-05 03:00:00.000,,normal,,,,2026-09-15,10.0,2026-09-15 14:30:06.881,,2026-08-27 09:00:00,Pons,tradable
CNPY-USDT-SWAP,CNPY,2026-09-07 13:00:00.559,2026-09-07 13:00:00.000,,normal,,,,,,,,2026-09-07 12:00:00,Canopy,tradable
KII-USDT-SWAP,KII,2026-09-24 11:00:00.620,2026-09-24 11:00:00.000,,normal,2026-08-14 13:00:00.533,2026-08-14 13:00:00.533,KIIUSDT-2026-08.csv.gz,,,,,,,
