sym,t0_exact,cls,newtok,gate_name,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,gap_h,verdict
O-USDT-SWAP,2026-06-17 16:30:00.852,okx_first,True,o1.exchange,,,-0.5,,,-0.5,spot existed at/before perp start
NES-USDT-SWAP,2026-06-24 13:30:01.259,okx_only,True,NESA,-0.5,,164.5,,,-0.5,spot existed at/before perp start
DATA-USDT-SWAP,2026-07-02 12:30:02.421,okx_only,False,DATA Network,-0.5,163.9,-47.5,-70716.5,,-70716.5,"Gate ""DATA Network"" -47.5h; newtok=False via ticker collision with Binance DATA (Streamr, 2018)"
AEON-USDT-SWAP,2026-07-27 11:30:37.205,okx_only,True,AEON,-0.5,,-0.5,,,-0.5,spot existed at/before perp start
DOS-USDT-SWAP,2026-08-10 12:00:00.783,okx_first,True,DAPPOS,70.0,,-1.0,,,-1.0,spot existed at/before perp start
CP-USDT-SWAP,2026-09-02 15:40:05.239,okx_only,True,Cluster Protocol,-1.2,,-0.7,,,-1.2,spot existed at/before perp start
CASHCAT-USDT-SWAP,2026-09-03 03:30:00.382,okx_only,True,Cash Cat,,,-211.5,,,-211.5,spot existed at/before perp start
DGAI-USDT-SWAP,2026-09-03 03:00:02.142,okx_only,True,DGrid AI,,,-235.0,,,-235.0,spot existed at/before perp start
PONS-USDT-SWAP,2026-09-05 03:00:04.739,okx_only,True,Pons,251.5,,-210.0,,,-210.0,spot existed at/before perp start
CNPY-USDT-SWAP,2026-09-07 13:00:00.559,okx_only,True,Canopy,,,-1.0,,,-1.0,spot existed at/before perp start
KII-USDT-SWAP,2026-09-24 11:00:00.620,okx_only,True,,,-982.0,,,,-982.0,spot existed at/before perp start
