sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status,okx_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,spot_min,gap_h,cls,newtok
FOXY-USDT-SWAP,FOXY,2024-04-12 08:26:39.968,,,,2024-04-12 05:07:52.689,2024-04-12 08:00:00.962,FOXYUSDT-2024-04.csv.gz,2024-04-12,0.0,2024-04-12 08:00:00.003,,2024-04-12 08:00:00,Foxy Linea,tradable,2024-04-12 08:00:00.003,-0.4,-0.4,-0.4,,,2024-04-12 08:00:00.000,-0.4,okx_only,True
MEW-USDT-SWAP,MEW,2024-04-15 08:25:37.061,2024-04-15 08:25:00.531,,normal,2024-04-19 04:59:30.929,2024-04-19 08:00:03.224,MEWUSDT-2024-04.csv.gz,2024-04-15,0.0,2024-04-15 08:00:00.014,,2024-03-30 12:00:00,Cat in a dogs world,tradable,2024-04-15 08:00:00.014,-0.4,95.6,-380.4,,,2024-03-30 12:00:00.000,-380.4,okx_first,True
PRCL-USDT-SWAP,PRCL,2024-04-16 13:26:46.700,,,,2024-04-16 03:13:22.332,2024-04-16 13:00:00.618,PRCLUSDT-2024-04.csv.gz,2024-04-16,0.0,2024-04-16 13:00:00.003,,2024-04-16 13:00:00,Parcl,tradable,2024-04-16 13:00:00.003,-0.4,-0.4,-0.4,,,2024-04-16 13:00:00.000,-0.4,okx_only,True
MERL-USDT-SWAP,MERL,2024-04-19 10:26:04.126,2024-04-19 10:25:00.606,,normal,2024-04-19 05:00:05.269,2024-04-19 10:00:00.738,MERLUSDT-2024-04.csv.gz,2024-04-19,0.0,2024-04-19 10:00:00.003,,2024-04-19 10:00:00,Merlin Chain,tradable,2024-04-19 10:00:00.003,-0.4,-0.4,-0.4,,,2024-04-19 10:00:00.000,-0.4,okx_first,True
MSN-USDT-SWAP,MSN,2024-04-29 06:25:55.869,,,,,,,2024-04-29,0.0,2024-04-29 06:00:00.003,,,,,2024-04-29 06:00:00.003,-0.4,,,,,2024-04-29 06:00:00.003,-0.4,okx_only,True
ZERO-USDT-SWAP,ZERO,2024-05-06 08:27:23.540,,,,2024-05-06 06:22:31.482,2024-05-06 08:00:00.693,ZEROUSDT-2024-05.csv.gz,2024-05-06,0.0,2024-05-06 08:00:00.003,,,,,2024-05-06 08:00:00.003,-0.5,-0.5,,,,2024-05-06 08:00:00.003,-0.5,okx_only,True
ZENT-USDT-SWAP,ZENT,2024-05-09 08:28:49.479,,,,2024-04-30 03:33:17.023,2024-04-30 10:00:00.839,ZENTUSDT-2024-04.csv.gz,2024-05-06,-3.0,,,2024-05-07 09:00:00,Zentry,tradable,2024-05-05 16:00:00.000,-88.5,-214.5,-47.5,,,2024-04-30 10:00:00.839,-214.5,okx_only,True
ULTI-USDT-SWAP,ULTI,2024-06-07 07:25:56.057,,,,2024-06-06 07:12:37.489,2024-06-06 10:00:00.915,ULTIUSDT-2024-06.csv.gz,2024-06-06,-1.0,2024-06-06 10:00:00.003,,,,,2024-06-06 10:00:00.003,-21.4,-21.4,,,,2024-06-06 10:00:00.003,-21.4,okx_only,True
ATH-USDT-SWAP,ATH,2024-06-13 03:59:55.691,2024-06-13 03:55:00.308,,normal,2024-06-12 06:54:55.747,2024-06-12 10:00:01.187,ATHUSDT-2024-06.csv.gz,2024-06-12,-1.0,2024-06-12 10:00:00.004,,2024-06-12 10:00:00,Aethir,tradable,2024-06-12 10:00:00.004,-18.0,-18.0,-18.0,,,2024-06-12 10:00:00.000,-18.0,okx_first,True
UXLINK-USDT-SWAP,UXLINK,2024-07-18 09:01:19.572,,,,2024-07-18 08:00:00.901,2024-07-18 08:00:03.685,UXLINKUSDT-2024-07.csv.gz,2024-07-18,0.0,2024-07-18 08:00:00.150,,2024-07-18 08:00:00,UxLink,tradable,2024-07-18 08:00:00.150,-1.0,-1.0,-1.0,,,2024-07-18 08:00:00.000,-1.0,okx_first,True
