instId,groups,listTime,age_days,state,lever_inst,t1_mmr,t1_imr,t1_maxLever,t1_maxSz,ctVal,last,t1_cap_usdt,n_tiers,min_order_usdt,lot_usdt,max_mmr
BIO-USDT-SWAP,oos_traded|book,2025-01-03 10:45:00.474000+00:00,629,live,20.0,0.02,0.05,20.0,380000.0,1.0,0.03047,11578.6,87,0.03047,0.03047,0.46
BLEND-USDT-SWAP,new180,2026-04-29 10:00:00+00:00,148,live,20.0,0.02,0.05,20.0,10000.0,10.0,0.06881,6881.0,87,0.6880999999999999,0.6880999999999999,0.46
BMNR-USDT-SWAP,new180,2026-04-27 15:00:00+00:00,150,live,25.0,0.02,0.04,25.0,1500.0,1.0,28.05,42075.0,93,2.805,2.805,0.49
BNB-USDT-SWAP,book,2022-12-23 06:53:48.049000+00:00,1371,live,50.0,0.0065,0.02,50.0,20000.0,0.01,774.0,154800.0,93,7.74,7.74,0.465
BOME-USDT-SWAP,book,2024-08-15 10:20:02.042000+00:00,770,live,20.0,0.02,0.05,20.0,22000.0,1000.0,0.0010281,22618.2,87,1.0281,1.0281,0.46
BOT-USDT-SWAP,new180,2026-07-02 10:00:00+00:00,84,live,20.0,0.02,0.05,20.0,400.0,1.0,30.16,12064.0,87,3.016,3.016,0.46
BREV-USDT-SWAP,oos_traded,2025-12-30 13:00:00+00:00,268,live,20.0,0.02,0.05,20.0,82000.0,1.0,0.08684,7120.88,87,0.08684,0.08684,0.46
BRKB-USDT-SWAP,new180,2026-08-06 11:15:00+00:00,49,live,20.0,0.02,0.05,20.0,15.0,1.0,506.59,7598.849999999999,87,5.0659,5.0659,0.46
BSB-USDT-SWAP,new180|book,2026-04-02 10:00:00+00:00,175,live,10.0,0.02,0.1,10.0,8800.0,10.0,0.11,9680.0,87,1.1,1.1,0.46
BSP-USDT-SWAP,new180,2026-07-06 09:00:00+00:00,80,live,10.0,0.02,0.1,10.0,90.0,1.0,33.13,2981.7000000000003,87,3.3130000000000006,3.3130000000000006,0.46
BX-USDT-SWAP,new180,2026-06-12 09:15:00+00:00,104,live,10.0,0.02,0.1,10.0,20.0,1.0,117.21,2344.2,87,1.1721,1.1721,0.46
CAP-USDT-SWAP,new180|oos_traded,2026-06-26 12:30:00+00:00,90,live,10.0,0.02,0.1,10.0,10000.0,100.0,0.0517,51700.0,87,5.17,5.17,0.46
